Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																								
Дата голосования: 02.12.2007																																																																								
																																																																								
Наименование Избирательной комиссии:    Московская N19																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089					
1	"Число избирателей, внесенных в списки избирателей"	130486	1896	1898	1894	2381	1529	1341	1940	1937	1880	1266	1690	1960	2141	1694	1876	1725	1871	2185	1583	2202	1938	2327	2541	1731	2062	1952	2664	2460	2406	2156	2486	2442	2552	2056	2560	2560	2520	2385	2408	2544	1962	1940	2035	1502	1820	1647	1658	2250	2198	2287	2251	2599	1629	1301	1904	2503	2331	2327	2035	2472	1985	1725	2000	344	142					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	127150	1800	1800	1800	2400	1500	1200	1550	1900	1900	1200	1500	1900	2100	1600	1800	1700	1800	1900	1500	2100	1900	2300	2500	1700	2000	1900	2600	2400	2400	2100	2400	2400	2500	2000	2500	2500	2500	2400	2400	2600	1900	1900	2000	1500	1800	1600	1600	2200	2200	2200	2200	2600	1600	1300	1900	2300	2300	2300	2000	2400	1900	1700	2000	500	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66348	716	726	780	1050	799	686	1537	883	924	625	826	906	964	778	974	1176	960	1274	775	1189	904	1185	1324	844	1139	1154	1453	1200	1202	1181	1230	1231	1273	1201	1321	1333	1264	1281	1205	1215	1016	938	1033	795	870	824	944	1177	1051	1145	1143	1296	777	639	993	1332	1119	1165	1067	1283	1038	865	747	264	139					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1530	14	14	24	18	19	11	3	11	27	19	10	10	9	16	41	6	19	15	23	21	21	36	35	28	38	30	56	32	35	27	42	29	28	26	38	21	36	27	40	37	26	29	31	26	33	30	15	15	25	36	23	28	16	9	7	14	37	21	31	33	20	22	11	0	0					
6	Число погашенных избирательных бюллетеней	59272	1070	1060	996	1332	682	503	10	1006	949	556	664	984	1127	806	785	518	821	611	702	890	975	1079	1141	828	823	716	1091	1168	1163	892	1128	1140	1199	773	1141	1146	1200	1092	1155	1348	858	933	936	679	897	746	641	1008	1124	1019	1034	1276	807	652	900	954	1144	1114	902	1084	842	813	1242	236	161					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1530	14	14	24	18	19	11	3	11	27	19	10	10	9	16	41	6	19	15	23	21	21	36	35	28	38	30	56	32	35	27	42	29	28	26	38	21	36	27	40	37	26	29	31	26	33	30	15	15	25	36	23	28	16	9	7	14	37	21	31	33	20	22	11	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66136	716	726	780	1049	794	686	1535	877	924	623	826	906	963	778	971	1176	960	1274	775	1185	903	1185	1320	843	1139	1124	1447	1191	1202	1181	1230	1231	1273	1199	1317	1329	1264	1276	1204	1215	1016	934	1032	795	870	823	929	1176	1051	1130	1143	1292	777	639	987	1329	1077	1143	1067	1280	1035	865	746	264	139					
9	Число недействительных избирательных бюллетеней	615	6	2	7	8	7	5	11	6	4	1	10	9	12	8	11	10	14	22	11	15	4	12	6	5	10	7	10	8	13	12	14	11	10	18	11	14	6	15	10	15	12	9	9	10	8	6	6	8	4	10	14	10	5	12	12	4	10	12	26	12	14	5	2	2	3					
10	Число действительных избирательных бюллетеней	67051	724	738	797	1059	806	692	1527	882	947	641	826	907	960	786	1001	1172	965	1267	787	1191	920	1209	1349	866	1167	1147	1493	1215	1224	1196	1258	1249	1291	1207	1344	1336	1294	1288	1234	1237	1030	954	1054	811	895	847	938	1183	1072	1156	1152	1310	788	636	982	1339	1104	1152	1072	1301	1041	882	755	262	136					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3262	50	50	50	150	50	50	20	50	56	44	40	50	50	50	50	40	50	50	50	50	40	50	50	30	50	50	50	50	50	50	50	49	50	30	30	50	50	48	35	227	50	50	50	50	50	93	50	50	50	50	50	40	40	40	50	50	50	35	30	35	50	50	50	5	5					
