Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    район Марьина Роща																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №3169	УИК №3170					
1	"Число избирателей, внесенных в списки избирателей"	38424	2206	2384	2174	2384	2099	2461	2577	2378	2367	2572	2301	2108	2424	2547	2323	2826	89	204					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30600	1800	1800	1700	1800	1600	2000	2000	1900	1900	2000	1900	1600	1900	2000	1900	2200	300	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19594	1195	1326	1114	1281	958	1161	1280	1266	1149	1250	1279	1029	1286	1201	1179	1352	84	204					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	693	38	26	89	43	81	47	41	31	45	47	39	29	27	41	22	47	0	0					
6	Число погашенных избирательных бюллетеней	10313	567	448	497	476	561	792	679	603	706	703	582	542	587	758	699	801	216	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	692	38	26	89	43	81	47	41	30	45	47	39	29	27	41	22	47	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19512	1193	1319	1105	1280	957	1154	1272	1263	1139	1247	1271	1014	1285	1199	1178	1348	84	204					
9	Число недействительных избирательных бюллетеней	292	18	19	14	18	13	24	23	18	22	23	14	15	11	22	18	18	0	2					
10	Число действительных избирательных бюллетеней	19912	1213	1326	1180	1305	1025	1177	1290	1275	1162	1271	1296	1028	1301	1218	1182	1377	84	202					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	897	29	34	49	260	34	40	40	49	55	45	40	47	50	43	40	42	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	861	29	34	45	247	30	38	40	49	49	45	40	46	48	40	39	42	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	897	38	116	53	89	62	36	61	28	46	44	26	34	86	40	46	73	8	11					
14	Число погашенных неиспользованных открепительных удостоверений	36	0	0	4	13	4	2	0	0	6	0	0	1	2	3	1	0	0	0					
