Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Нестеровская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12069	1878	1781	1129	405	382	515	592	551	982	186	460	661	381	944	513	709									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10930	1600	1600	900	400	350	500	550	550	900	180	450	600	350	900	500	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5288	934	828	402	172	153	233	272	197	471	82	237	305	174	353	170	305									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	310	20	53	15	9	12	16	10	30	14	10	15	28	12	21	23	22									
6	Число погашенных избирательных бюллетеней	5332	646	719	483	219	185	251	268	323	415	88	198	267	164	526	307	273									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	310	20	53	15	9	12	16	10	30	14	10	15	28	12	21	23	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5288	934	828	402	172	153	233	272	197	471	82	237	305	174	353	170	305									
9	Число недействительных избирательных бюллетеней	192	31	43	10	6	3	6	12	14	20	3	8	12	4	9	6	5									
10	Число действительных избирательных бюллетеней	5406	923	838	407	175	162	243	270	213	465	89	244	321	182	365	187	322									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	118	10	10	10	5	5	5	5	5	5	5	15	15	5	5	5	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	71	8	3	10	0	0	3	0	0	2	0	15	15	2	5	0	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	8	6	4	1	0	1	0	4	1	0	0	0	4	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	47	2	7	0	5	5	2	5	5	3	5	0	0	3	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	2	3	9	0	0	1	0	1	4	0	1	0	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	12	15	5	0	0	4	4	2	5	1	1	3	3	7	1	1									
		1.14%	1.26%	1.70%	1.20%	0.00%	0.00%	1.61%	1.42%	0.88%	1.03%	1.09%	0.40%	0.90%	1.61%	1.87%	0.52%	0.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	20	29	18	3	1	10	5	4	9	1	9	17	7	11	4	6									
		2.75%	2.10%	3.29%	4.32%	1.66%	0.61%	4.02%	1.77%	1.76%	1.86%	1.09%	3.57%	5.11%	3.76%	2.94%	2.07%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	129	43	23	12	4	2	4	6	6	7	2	2	6	3	4	3	2									
		2.30%	4.51%	2.61%	2.88%	2.21%	1.21%	1.61%	2.13%	2.64%	1.44%	2.17%	0.79%	1.80%	1.61%	1.07%	1.55%	0.61%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2890	418	349	210	85	106	148	159	120	296	66	137	189	75	210	123	199									
		51.63%	43.82%	39.61%	50.36%	46.96%	64.24%	59.44%	56.38%	52.86%	61.03%	71.74%	54.37%	56.76%	40.32%	56.15%	63.73%	60.86%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	3	5	2	2	1	1	0	0	2	0	1	0	2	2	0	1									
		0.39%	0.31%	0.57%	0.48%	1.10%	0.61%	0.40%	0.00%	0.00%	0.41%	0.00%	0.40%	0.00%	1.08%	0.53%	0.00%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	0	0	2	0	1	1	0	0	0	0	0	0	1	0	2									
		0.14%	0.10%	0.00%	0.00%	1.10%	0.00%	0.40%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.61%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1189	228	205	92	46	34	35	59	47	81	8	58	68	47	84	25	72									
		21.24%	23.90%	23.27%	22.06%	25.41%	20.61%	14.06%	20.92%	20.70%	16.70%	8.70%	23.02%	20.42%	25.27%	22.46%	12.95%	22.02%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	2	2	3	3	0	0	2	0	1	0	1	3	5	1	0	2									
		0.45%	0.21%	0.23%	0.72%	1.66%	0.00%	0.00%	0.71%	0.00%	0.21%	0.00%	0.40%	0.90%	2.69%	0.27%	0.00%	0.61%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	38	10	5	8	1	0	3	1	2	1	1	1	1	2	0	1	1									
		0.68%	1.05%	0.57%	1.92%	0.55%	0.00%	1.20%	0.35%	0.88%	0.21%	1.09%	0.40%	0.30%	1.08%	0.00%	0.52%	0.31%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	2	1	0	0	0	1	2	0	1	0	0	1	0	1	0	0									
		0.16%	0.21%	0.11%	0.00%	0.00%	0.00%	0.40%	0.71%	0.00%	0.21%	0.00%	0.00%	0.30%	0.00%	0.27%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	43	11	8	3	2	0	1	1	1	2	1	1	3	0	3	4	2									
		0.77%	1.15%	0.91%	0.72%	1.10%	0.00%	0.40%	0.35%	0.44%	0.41%	1.09%	0.40%	0.90%	0.00%	0.80%	2.07%	0.61%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	563	115	136	25	14	15	24	15	25	38	5	27	21	26	35	18	24									
		10.06%	12.05%	15.44%	5.99%	7.73%	9.09%	9.64%	5.32%	11.01%	7.84%	5.43%	10.71%	6.31%	13.98%	9.36%	9.33%	7.34%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	70	17	12	9	5	0	2	2	2	7	3	1	1	2	1	4	2									
		1.25%	1.78%	1.36%	2.16%	2.76%	0.00%	0.80%	0.71%	0.88%	1.44%	3.26%	0.40%	0.30%	1.08%	0.27%	2.07%	0.61%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	202	41	48	20	8	3	9	13	4	15	1	5	8	10	5	4	8									
		3.61%	4.30%	5.45%	4.80%	4.42%	1.82%	3.61%	4.61%	1.76%	3.09%	1.09%	1.98%	2.40%	5.38%	1.34%	2.07%	2.45%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
