Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Сузунская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893					
1	"Число избирателей, внесенных в список"	26365	1554	1573	1796	1577	1578	1196	1845	1590	931	667	141	555	741	243	660	330	1435	679	704	200	960	102	223	135	769	92	268	1102	642	204	49	365	76	1065	318					
2	Число полученных избирательных бюллетеней	24448	1436	1415	1643	1413	1438	1206	1675	1562	837	601	140	706	678	217	584	285	1308	647	641	200	862	101	205	130	709	95	245	992	586	204	52	329	76	940	290					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15078	826	771	918	710	771	475	864	910	450	408	80	470	478	189	479	253	838	475	485	141	539	96	184	112	419	74	199	555	436	152	48	244	65	734	230					
5	"Число избирательных бюллетеней, выданных вне помещения"	1534	62	81	55	89	42	82	67	64	160	55	17	85	36	12	34	21	68	52	32	16	32	0	11	0	95	1	0	89	48	12	0	38	2	76	0					
6	Число погашенных избирательных бюллетеней	7836	548	563	670	614	625	649	744	588	227	138	43	151	164	16	71	11	402	120	124	43	291	5	10	18	195	20	46	348	102	40	4	47	9	130	60					
7	Число избирательных бюллетеней в переносных ящиках	1534	62	81	55	89	42	82	67	64	160	55	17	85	36	12	34	21	68	52	32	16	32	0	11	0	95	1	0	89	48	12	0	38	2	76	0					
8	Число бюллетеней в стационарных ящиках для голосования	15070	826	771	917	705	771	475	862	910	450	408	80	470	478	189	479	253	838	475	485	141	539	96	184	112	419	74	199	555	436	152	48	244	65	734	230					
9	Число недействительных избирательных бюллетеней	152	7	3	8	12	9	4	5	5	7	10	0	1	6	1	0	5	12	8	11	2	11	0	0	0	2	0	3	8	5	0	0	4	0	3	0					
10	Число действительных избирательных бюллетеней	16452	881	849	964	782	804	553	924	969	603	453	97	554	508	200	513	269	894	519	506	155	560	96	195	112	512	75	196	636	479	164	48	278	67	807	230					
11	Число полученных открепительных  удостоверений	98	6	6	7	6	6	6	6	7	2	2	2	2	4	1	2	1	3	2	2	1	3	1	1	1	4	1	1	4	2	1	1	1	1	1	1					
12	Число выданных открепительных удостоверений	60	4	2	7	2	3	0	5	7	2	0	0	2	4	0	2	0	3	2	1	1	3	0	0	0	4	0	0	4	1	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	36	5	1	2	3	0	3	4	0	1	0	1	1	0	1	0	0	1	1	2	0	0	0	0	2	2	0	1	1	0	0	0	0	1	3	0					
