Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Шуйская городская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354					
1	"Число избирателей, внесенных в список"	50418	2063	1718	1720	1639	1554	2189	1460	2003	1921	1486	1749	2270	1120	1763	1968	1354	1743	1843	1601	1917	2031	1869	1846	1961	1996	2079	1151	2404					
2	Число полученных избирательных бюллетеней	48000	2000	1600	1600	1500	1500	2000	1400	2000	1800	1400	1700	2100	1100	1700	1800	1300	1700	1700	1500	1800	2000	1800	1800	1900	2000	2000	1100	2200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24654	1024	742	716	816	685	960	639	821	901	744	831	1254	591	915	959	602	898	967	882	957	1122	863	1033	922	954	1120	617	1119					
5	"Число избирательных бюллетеней, выданных вне помещения"	1691	57	126	99	84	63	63	76	151	60	31	62	50	28	39	71	28	51	59	66	33	78	82	28	77	13	29	34	53					
6	Число погашенных избирательных бюллетеней	21655	919	732	785	600	752	977	685	1028	839	625	807	796	481	746	770	670	751	674	552	810	800	855	739	901	1033	851	449	1028					
7	Число избирательных бюллетеней в переносных ящиках	1691	57	126	99	84	63	63	76	151	60	31	62	50	28	39	71	28	51	59	66	33	78	82	28	77	13	29	34	53					
8	Число бюллетеней в стационарных ящиках для голосования	24638	1021	742	716	816	683	960	637	821	901	744	830	1251	591	915	959	602	898	967	882	957	1121	863	1033	921	954	1119	617	1117					
9	Число недействительных избирательных бюллетеней	151	5	3	4	3	4	3	5	19	3	7	6	7	5	7	5	3	7	4	7	8	9	4	4	1	1	4	4	9					
10	Число действительных избирательных бюллетеней	26178	1073	865	811	897	742	1020	708	953	958	768	886	1294	614	947	1025	627	942	1022	941	982	1190	941	1057	997	966	1144	647	1161					
11	Число полученных открепительных  удостоверений	815	20	20	20	20	20	20	20	20	20	20	20	50	15	20	40	20	20	20	40	20	20	20	20	20	35	200	15	20					
12	Число выданных открепительных удостоверений	470	6	7	8	9	6	4	1	8	10	4	13	24	8	10	12	5	14	15	36	14	17	15	14	20	33	148	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	325	12	7	15	8	10	9	6	10	10	6	9	14	8	10	8	11	13	9	30	10	14	10	9	10	12	33	10	12					
14	Число неиспользованных открепительных удостоверений	345	14	13	12	11	14	16	19	12	10	16	7	26	7	10	28	15	6	5	4	6	3	5	6	0	2	52	13	13					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	1178	46	38	28	49	28	35	17	37	38	28	38	48	29	37	48	32	55	61	30	42	68	53	40	60	57	50	34	52					
		4.47%	4.27%	4.38%	3.44%	5.44%	3.75%	3.42%	2.38%	3.81%	3.95%	3.61%	4.26%	3.69%	4.68%	3.88%	4.66%	5.08%	5.80%	5.95%	3.16%	4.24%	5.67%	5.61%	3.77%	6.01%	5.89%	4.36%	5.22%	4.44%					
19	. Малышкин Олег Александрович	833	21	24	26	30	28	31	17	32	45	36	23	38	19	27	37	12	31	22	25	38	46	25	26	20	33	47	23	51					
		3.16%	1.95%	2.76%	3.19%	3.33%	3.75%	3.03%	2.38%	3.29%	4.68%	4.65%	2.58%	2.92%	3.07%	2.83%	3.59%	1.90%	3.27%	2.14%	2.64%	3.84%	3.84%	2.65%	2.45%	2.00%	3.41%	4.09%	3.53%	4.36%					
20	. Миронов Сергей Михайлович	277	7	5	3	6	12	14	5	21	7	8	10	11	5	11	9	7	9	12	12	9	9	8	15	9	9	15	12	17					
		1.05%	0.65%	0.58%	0.37%	0.67%	1.61%	1.37%	0.70%	2.16%	0.73%	1.03%	1.12%	0.85%	0.81%	1.15%	0.87%	1.11%	0.95%	1.17%	1.27%	0.91%	0.75%	0.85%	1.41%	0.90%	0.93%	1.31%	1.84%	1.45%					
21	. Путин Владимир Владимирович	15670	636	522	513	521	452	627	436	593	535	444	583	753	360	537	631	373	511	613	644	630	649	519	515	543	607	737	427	759					
		59.52%	59.00%	60.14%	62.94%	57.89%	60.59%	61.29%	61.15%	61.01%	55.67%	57.29%	65.36%	57.88%	58.16%	56.29%	61.26%	59.21%	53.85%	59.75%	67.93%	63.64%	54.13%	54.92%	48.54%	54.41%	62.77%	64.20%	65.59%	64.87%					
22	. Хакамада Ирина Муцуовна	872	18	24	19	38	19	26	20	25	18	22	27	54	27	46	43	25	35	26	32	40	53	39	42	34	41	40	17	22					
		3.31%	1.67%	2.76%	2.33%	4.22%	2.55%	2.54%	2.81%	2.57%	1.87%	2.84%	3.03%	4.15%	4.36%	4.82%	4.17%	3.97%	3.69%	2.53%	3.38%	4.04%	4.42%	4.13%	3.96%	3.41%	4.24%	3.48%	2.61%	1.88%					
23	. Харитонов Николай Михайлович	6252	324	219	197	222	173	254	194	216	265	195	155	334	148	252	220	160	255	248	148	185	311	257	376	284	140	187	104	229					
		23.75%	30.06%	25.23%	24.17%	24.67%	23.19%	24.83%	27.21%	22.22%	27.58%	25.16%	17.38%	25.67%	23.91%	26.42%	21.36%	25.40%	26.87%	24.17%	15.61%	18.69%	25.94%	27.20%	35.44%	28.46%	14.48%	16.29%	15.98%	19.57%					
																																			
24	Против всех	1096	21	33	25	31	30	33	19	29	50	35	50	56	26	37	37	18	46	40	50	38	54	40	43	47	79	68	30	31					
		4.16%	1.95%	3.80%	3.07%	3.44%	4.02%	3.23%	2.66%	2.98%	5.20%	4.52%	5.61%	4.30%	4.20%	3.88%	3.59%	2.86%	4.85%	3.90%	5.27%	3.84%	4.50%	4.23%	4.05%	4.71%	8.17%	5.92%	4.61%	2.65%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
