Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Талдомская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37553	2019	1991	2103	1572	801	1347	744	805	941	2192	2178	1315	1097	1206	2127	2104	1910	212	1198	1815	578	1000	607	998	685	442	404	982	930	526	397	327									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25550	1400	1400	1450	1100	550	900	500	550	600	1500	1500	900	750	800	1450	1450	1300	150	800	1250	400	650	400	700	450	300	250	650	650	350	250	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11005	642	617	640	381	168	414	195	240	257	715	637	351	284	310	538	654	553	73	423	594	196	287	127	313	156	165	144	273	236	190	167	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1454	19	7	16	24	23	77	15	90	62	45	33	31	23	8	11	26	53	7	4	25	5	177	98	105	108	49	20	82	110	23	39	39									
6	Число погашенных избирательных бюллетеней	13091	739	776	794	695	359	409	290	220	281	740	830	518	443	482	901	770	694	70	373	631	199	186	175	282	186	86	86	295	304	137	44	96									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1454	19	7	16	24	23	77	15	90	62	45	33	31	23	8	11	26	53	7	4	25	5	177	98	105	108	49	20	82	110	23	39	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10996	642	617	638	381	168	413	195	240	257	715	635	350	283	310	538	652	553	73	423	594	196	287	127	313	156	165	144	273	236	190	167	65									
9	Число недействительных избирательных бюллетеней	453	0	30	26	15	6	12	6	20	9	25	31	24	8	10	22	32	20	3	15	17	10	10	6	10	10	7	8	7	11	12	2	29									
10	Число действительных избирательных бюллетеней	11997	661	594	628	390	185	478	204	310	310	735	637	357	298	308	527	646	586	77	412	602	191	454	219	408	254	207	156	348	335	201	204	75									
