Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Чановская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221					
1	"Число избирателей, внесенных в списки избирателей"	21226	985	1025	773	855	915	362	283	130	743	883	261	447	189	315	502	239	106	93	170	326	130	240	483	151	234	148	198	610	144	237	190	511	69	63	431	109	126	920	509	475	241	105	130	35	275	597	166	355	128	513	456	950	327	413	190	294	105	366					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	20554	800	950	750	800	880	350	285	125	715	830	250	450	200	310	500	240	110	95	170	325	112	240	480	150	240	150	190	600	140	250	180	510	70	75	430	110	125	900	500	470	240	105	130	37	275	600	165	355	130	490	430	900	300	400	180	290	105	365					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13554	572	542	441	446	510	180	139	98	412	433	228	216	160	153	322	169	79	75	153	299	110	205	329	121	152	107	145	396	120	160	159	271	58	46	313	99	107	705	335	314	180	101	117	31	185	388	129	252	99	350	230	508	215	251	147	193	74	225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1148	45	80	31	49	28	37	36	4	49	77	5	93	4	67	19	16	0	3	0	0	0	7	19	0	10	0	12	47	0	14	4	86	3	4	44	0	0	14	30	27	17	0	0	0	0	11	2	0	0	0	39	38	17	16	12	8	12	12					
6	Число погашенных избирательных бюллетеней	5852	183	328	278	305	342	133	110	23	254	320	17	141	36	90	159	55	31	17	17	26	2	28	132	29	78	43	33	157	20	76	17	153	9	25	73	11	18	181	135	129	43	4	13	6	90	201	34	103	31	140	161	354	68	133	21	89	19	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1148	45	80	31	49	28	37	36	4	49	77	5	93	4	67	19	16	0	3	0	0	0	7	19	0	10	0	12	47	0	14	4	86	3	4	44	0	0	14	30	27	17	0	0	0	0	11	2	0	0	0	39	38	17	16	12	8	12	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13553	572	542	441	446	510	180	139	98	412	433	228	216	160	153	322	169	79	75	153	299	110	205	329	121	152	107	145	396	120	160	159	271	58	46	313	99	107	705	335	314	180	101	117	31	185	388	129	252	99	350	229	508	215	251	147	193	74	225					
9	Число недействительных избирательных бюллетеней	168	9	13	2	6	5	5	2	0	6	5	0	3	4	1	5	1	1	0	2	1	0	1	7	0	1	3	0	4	4	4	0	3	2	1	2	3	0	1	6	3	6	0	2	1	2	2	6	2	3	8	1	6	1	10	2	0	0	0					
10	Число действительных избирательных бюллетеней	14533	608	609	470	489	533	212	173	102	455	505	233	306	160	219	336	184	78	78	151	298	110	211	341	121	161	104	157	439	116	170	163	354	59	49	355	96	107	718	359	338	191	101	115	30	183	397	125	250	96	342	267	540	231	257	157	201	86	237					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	297	17	10	10	6	10	1	1	4	10	8	4	5	4	4	5	4	4	4	4	4	4	2	5	4	6	4	4	5	4	4	4	10	4	9	4	4	4	10	4	4	4	4	4	4	4	5	4	4	4	4	4	10	4	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	131	16	5	8	3	8	0	1	0	0	8	4	5	2	0	1	0	0	0	0	0	0	2	0	0	6	0	0	1	0	2	0	10	0	8	2	0	1	5	4	4	0	0	0	0	1	4	0	0	4	1	4	8	1	0	1	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	97	0	7	4	4	3	0	2	4	4	2	0	0	1	3	1	2	0	1	0	0	1	0	1	0	1	0	2	0	0	5	0	2	2	1	0	0	0	1	3	3	0	0	2	1	1	3	0	0	2	5	8	4	0	2	5	1	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	166	1	5	2	3	2	1	0	4	10	0	0	0	2	4	4	4	4	4	4	4	4	0	5	4	0	4	4	4	4	2	4	0	4	1	2	4	3	5	0	0	4	4	4	4	3	1	4	4	0	3	0	2	3	4	3	3	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	1.Политическая партия «Аграрная партия России»	598	22	17	12	6	17	5	5	0	16	14	5	12	8	18	19	16	3	0	19	21	1	4	15	1	10	5	5	30	14	3	26	20	0	0	22	1	0	17	19	23	10	3	6	0	2	16	0	8	9	8	4	9	26	16	4	10	0	16					
		4.07%	3.57%	2.73%	2.54%	1.21%	3.16%	2.30%	2.86%	0.00%	3.47%	2.75%	2.15%	3.88%	4.88%	8.18%	5.57%	8.65%	3.80%	0.00%	12.42%	7.02%	0.91%	1.89%	4.31%	0.83%	6.17%	4.67%	3.18%	6.77%	11.67%	1.72%	15.95%	5.60%	0.00%	0.00%	6.16%	1.01%	0.00%	2.36%	5.21%	6.74%	5.08%	2.97%	5.13%	0.00%	1.08%	4.01%	0.00%	3.17%	9.09%	2.29%	1.49%	1.65%	11.21%	5.99%	2.52%	4.98%	0.00%	6.75%					
19	2.Всероссийская политическая партия «Гражданская Сила»	43	5	2	4	1	3	1	0	0	4	2	0	0	0	0	1	0	0	1	0	1	0	4	3	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	2	0	1	0	0					
		0.29%	0.81%	0.32%	0.85%	0.20%	0.56%	0.46%	0.00%	0.00%	0.87%	0.39%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	1.28%	0.00%	0.33%	0.00%	1.89%	0.86%	0.00%	1.23%	0.93%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.37%	0.18%	0.00%	0.75%	0.00%	0.50%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	17	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	1	0	0	1	0	0	1	0	1					
		0.12%	0.00%	0.00%	0.00%	0.00%	0.37%	0.46%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.61%	0.00%	1.64%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.00%	1.53%	0.40%	0.00%	0.29%	0.00%	0.00%	0.43%	0.00%	0.00%	0.50%	0.00%	0.42%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1599	104	90	80	58	70	19	16	5	88	75	17	27	26	30	28	15	7	3	16	27	12	24	39	12	11	4	11	24	10	13	8	29	4	8	37	10	5	36	22	27	33	2	8	5	11	51	14	47	6	35	41	63	22	33	17	31	9	24					
