Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Восходненская поселковая								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №195					
1	"Число избирателей, внесенных в списки"	1403	1403					
2	"Число бюллетеней, полученных участковыми комиссиями"	1355	1355					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	778	778					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	8	8					
6	Число погашенных бюллетеней	569	569					
7	Число бюллетеней в переносных ящиках для голосования	8	8					
8	Число бюллетеней в стационарных ящиках для голосования	778	778					
9	Число недействительных бюллетеней	9	9					
10	Число действительных бюллетеней	777	777					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	200					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	35	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	6					
14	Число погашенных открепительных удостоверений	165	165					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	5	5					
		0.63%	0.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	53	53					
		6.74%	6.74%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	19	19					
		2.41%	2.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	27	27					
		3.43%	3.43%					
22	"5. ""За Русь Святую"""	3	3					
		0.38%	0.38%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	4					
		0.50%	0.50%					
24	"7. ""Новый курс - Автомобильная Россия"""	16	16					
		2.03%	2.03%					
25	"8. ""Народно-республиканская партия России"""	0	0					
		0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	2					
		0.25%	0.25%					
27	"10. ""Аграрная партия России"""	24	24					
		3.05%	3.05%					
28	"11. ""Истинные патриоты России"""	0	0					
		0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	9	9					
		1.14%	1.14%					
30	"13. ""Демократическая партия России"""	3	3					
		0.38%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	1	1					
		0.12%	0.12%					
32	"15. ""Партия СЛОН"""	2	2					
		0.25%	0.25%					
33	"16. ""Родина"" (народно-патриотический союз)"""	94	94					
		11.95%	11.95%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	1					
		0.12%	0.12%					
35	"18. ""ЛДПР"""	62	62					
		7.88%	7.88%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	9	9					
		1.14%	1.14%					
37	"20. ""Политическая партия ""Единая Россия"""	324	324					
		41.22%	41.22%					
38	"21. ""Российская Конституционно-демократическая партия"""	0	0					
		0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	3					
		0.38%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	48	48					
		6.10%	6.10%					
								
41	Против всех	68	68					
		8.65%	8.65%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
