Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																														
Дата голосования: 02.12.2007																														
																														
Наименование Избирательной комиссии:    район Северное Бутово																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246					
1	"Число избирателей, внесенных в списки избирателей"	56455	2461	2519	2020	2071	2461	2168	2397	1884	2469	2954	2975	2882	2336	2879	2528	2399	2692	2469	2239	2737	2532	2299	2084					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	45300	2000	2100	1700	1700	2000	1700	2000	1500	2000	2300	2300	2300	1900	2300	2000	1900	2200	2000	1800	2000	2000	1900	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29087	1234	1268	1085	1145	1329	1099	1207	1009	1217	1576	1600	1649	1196	1394	1281	1202	1297	1299	1138	1395	1221	1187	1059					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	778	17	22	40	35	25	23	15	22	10	61	39	19	16	28	33	17	28	28	150	16	50	32	52					
6	Число погашенных избирательных бюллетеней	15435	749	810	575	520	646	578	778	469	773	663	661	632	688	878	686	681	875	673	512	589	729	681	589					
7	Число избирательных бюллетеней в переносных ящиках для голосования	778	17	22	40	35	25	23	15	22	10	61	39	19	16	28	33	17	28	28	150	16	50	32	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29040	1225	1268	1085	1145	1323	1097	1207	1007	1214	1573	1600	1647	1191	1393	1278	1202	1293	1297	1136	1395	1220	1185	1059					
9	Число недействительных избирательных бюллетеней	461	21	30	29	8	24	23	23	14	14	19	18	28	11	19	14	12	19	22	36	24	17	13	23					
10	Число действительных избирательных бюллетеней	29357	1221	1260	1096	1172	1324	1097	1199	1015	1210	1615	1621	1638	1196	1402	1297	1207	1302	1303	1250	1387	1253	1204	1088					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1310	65	50	55	50	50	60	60	50	50	65	70	75	50	65	50	50	70	50	60	50	50	55	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1125	59	40	49	41	43	54	50	31	39	61	64	72	34	62	34	27	61	45	57	49	49	52	52					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1458	19	17	17	68	73	96	40	71	45	213	167	79	43	24	22	54	72	69	67	47	80	42	33					
14	Число погашенных неиспользованных открепительных удостоверений	185	6	10	6	9	7	6	10	19	11	4	6	3	16	3	16	23	9	5	3	1	1	3	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	5	3	8	3	7	8	3	2	5	4	10	5	2	1	1	1	11	6	8	3	4	5	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	1.Политическая партия «Аграрная партия России»	911	39	48	20	42	39	43	35	21	38	56	51	49	41	49	44	36	38	53	28	30	42	32	37					
		3.06%	3.14%	3.72%	1.78%	3.56%	2.89%	3.84%	2.86%	2.04%	3.10%	3.43%	3.11%	2.94%	3.40%	3.45%	3.36%	2.95%	2.88%	4.00%	2.18%	2.13%	3.31%	2.63%	3.33%					
19	2.Всероссийская политическая партия «Гражданская Сила»	705	25	28	16	33	47	32	25	17	35	47	39	47	27	30	31	41	21	28	14	47	33	22	20					
		2.36%	2.01%	2.17%	1.42%	2.80%	3.49%	2.86%	2.05%	1.65%	2.86%	2.88%	2.38%	2.82%	2.24%	2.11%	2.36%	3.36%	1.59%	2.11%	1.09%	3.33%	2.60%	1.81%	1.80%					
