Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Беловская городская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97811	1112	1397	1530	2460	1200	2098	1649	1803	1592	1430	1346	2328	1726	2337	2172	2423	1810	654	2301	2047	1726	2199	1972	2508	654	1332	1134	1117	338	1505	1777	1550	1567	2418	2563	1986	2221	1451	371	1602	2138	2237	2348	2321	898	2388	1869	2910	2282	1358	2056	1746	2504	2259	1091									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	100325	1350	1800	1600	2600	1250	2150	1650	1750	1700	1550	1450	2450	1850	2550	2150	2150	1800	900	2350	2600	2400	2300	1850	2500	850	1450	1150	1125	350	1500	1850	1850	1500	2450	2500	1950	2100	1400	400	1600	1950	2200	2300	2300	850	2300	2000	2750	2150	1400	2000	1700	2550	2100	1050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	79239	958	1088	1315	1920	721	1974	1354	1632	972	1197	1172	1693	1494	1663	1831	2056	1516	398	2070	1655	1145	1524	1680	1690	398	1065	1046	877	273	1071	1372	1285	1207	1897	2111	1697	1825	1179	293	1391	1877	1924	2030	2018	709	2010	1395	2573	1834	1308	1760	1432	2098	1754	812									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	9226	105	267	145	300	387	59	213	36	461	215	130	420	61	410	120	53	271	195	75	161	331	352	153	475	253	248	72	177	16	300	245	176	207	204	71	60	275	136	50	49	36	63	23	25	43	64	200	129	119	50	19	102	99	179	141									
6	Число погашенных избирательных бюллетеней	11860	287	445	140	380	142	117	83	82	267	138	148	337	295	477	199	41	13	307	205	784	924	424	17	335	199	137	32	71	61	129	233	389	86	349	318	193	0	85	57	160	37	213	247	257	98	226	405	48	197	42	221	166	353	167	97									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	9226	105	267	145	300	387	59	213	36	461	215	130	420	61	410	120	53	271	195	75	161	331	352	153	475	253	248	72	177	16	300	245	176	207	204	71	60	275	136	50	49	36	63	23	25	43	64	200	129	119	50	19	102	99	179	141									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	79239	958	1088	1315	1920	721	1974	1354	1632	972	1197	1172	1693	1494	1663	1831	2056	1516	398	2070	1655	1145	1524	1680	1690	398	1065	1046	877	273	1071	1372	1285	1207	1897	2111	1697	1825	1179	293	1391	1877	1924	2030	2018	709	2010	1395	2573	1834	1308	1760	1432	2098	1754	812									
9	Число недействительных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	88459	1063	1355	1460	2220	1108	2033	1567	1668	1433	1412	1302	2113	1555	2073	1951	2109	1787	593	2145	1816	1476	1876	1833	2165	651	1313	1118	1054	289	1371	1617	1461	1414	2101	2176	1757	2100	1315	343	1440	1913	1987	2053	2043	752	2074	1595	2702	1953	1358	1779	1534	2197	1933	953									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1400	20	25	25	40	20	30	25	25	25	20	20	33	24	35	30	30	25	12	30	30	30	30	25	32	15	20	15	15	10	20	25	25	20	32	35	25	30	20	10	20	25	30	30	30	12	30	35	40	30	20	30	30	35	30	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	698	9	14	25	25	10	8	12	9	13	20	11	6	24	25	16	17	11	4	30	8	10	13	19	18	0	13	5	4	10	7	12	10	16	24	25	16	14	6	4	6	10	9	20	10	2	7	6	26	16	15	11	9	13	12	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	246	5	7	0	4	0	4	3	6	14	0	10	2	5	4	10	8	0	1	4	0	6	11	3	0	0	0	2	5	0	4	5	0	4	1	3	14	3	1	1	4	13	10	5	5	0	4	2	4	4	0	11	12	15	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	702	11	11	0	15	10	22	13	16	12	0	9	27	0	10	14	13	14	8	0	22	20	17	6	14	15	7	10	11	0	13	13	15	4	8	10	9	16	14	6	14	15	21	10	20	10	23	29	14	14	5	19	21	22	18	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	1	0	1	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	2	0	1	3	1	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	161	0	19	3	3	2	3	1	3	4	1	0	2	11	5	3	4	5	0	2	3	2	2	4	1	1	3	6	2	0	2	4	2	2	1	4	2	3	3	4	2	3	1	2	5	1	1	1	0	6	3	1	3	2	8	0									
		0.18%	0.00%	1.40%	0.21%	0.14%	0.18%	0.15%	0.06%	0.18%	0.28%	0.07%	0.00%	0.09%	0.71%	0.24%	0.15%	0.19%	0.28%	0.00%	0.09%	0.17%	0.14%	0.11%	0.22%	0.05%	0.15%	0.23%	0.54%	0.19%	0.00%	0.15%	0.25%	0.14%	0.14%	0.05%	0.18%	0.11%	0.14%	0.23%	1.17%	0.14%	0.16%	0.05%	0.10%	0.24%	0.13%	0.05%	0.06%	0.00%	0.31%	0.22%	0.06%	0.20%	0.09%	0.41%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	96	2	2	1	1	1	2	2	6	1	1	0	2	2	1	1	2	1	2	1	2	1	3	2	1	2	3	4	3	2	1	2	1	1	3	2	1	2	2	1	2	2	1	2	1	2	1	2	1	2	2	1	2	2	2	1									
