Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																												
Дата голосования: 18.09.2016																																																																												
																																																																												
"Наименование Избирательной комиссии:    Новосибирск, Кировская"																																																																												
																																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																																												
																																																																												
		Сумма	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1847	УИК №1895	УИК №2014	УИК №2029									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	139873	1814	2175	2203	2398	2073	793	2515	2405	1945	2469	2132	2224	2520	1082	2639	1420	1514	1965	2144	2177	2882	2606	2571	2442	2468	1889	1820	2116	2391	2327	2187	2155	2103	2660	2526	2423	2342	2290	1984	2131	2187	2070	2311	2171	2475	2274	2164	2162	2111	2500	2209	2051	2496	1908	1928	2205	2342	3008	2090	2075	702	3026	3005	1059	424									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	134420	1700	2100	2100	2300	2000	700	2500	2300	1900	2400	2000	2000	2500	1000	2600	1400	1400	1900	2100	2100	2800	2500	2500	2400	2400	1800	1700	2100	2300	2300	2000	2000	2000	2300	2400	2300	2300	2200	1900	2100	2100	2000	2200	2100	2400	2200	2100	2100	2000	2400	2200	2000	2400	1900	1900	2200	2300	2900	2000	2000	650	2700	2900	1000	470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37172	538	608	719	702	582	209	734	733	520	748	690	462	738	299	763	312	440	438	445	617	827	738	688	612	644	490	567	573	723	594	644	549	532	516	644	637	652	762	604	628	635	533	727	585	665	716	601	524	635	648	705	562	571	396	454	637	506	646	592	379	206	507	348	145	328									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	790	9	8	13	31	7	9	14	15	8	10	15	74	9	13	8	7	5	7	7	18	22	13	11	10	7	4	5	7	6	10	6	7	19	50	14	14	13	6	10	10	13	15	7	9	6	9	6	3	6	13	14	6	4	5	9	7	5	2	6	3	2	7	2	4	96									
6	Число погашенных избирательных бюллетеней	96458	1153	1484	1368	1567	1411	482	1752	1552	1372	1642	1295	1464	1753	688	1829	1081	955	1455	1648	1465	1951	1749	1801	1778	1749	1306	1128	1520	1571	1696	1350	1444	1449	1734	1742	1649	1635	1432	1286	1462	1452	1452	1466	1506	1729	1475	1493	1573	1359	1739	1481	1432	1825	1499	1437	1556	1789	2252	1402	1618	442	2186	2550	851	46									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	790	9	8	13	31	7	9	14	15	8	10	15	74	9	13	8	7	5	7	7	18	22	13	11	10	7	4	5	7	6	10	6	7	19	50	14	14	13	6	10	10	13	15	7	9	6	9	6	3	6	13	14	6	4	5	9	7	5	2	6	3	2	7	2	4	96									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37155	538	608	717	702	582	209	734	733	520	748	690	462	737	299	763	312	440	438	444	617	826	737	687	612	643	490	567	573	721	594	644	549	532	516	644	636	652	761	604	626	635	533	727	585	665	716	601	524	634	648	705	562	571	396	453	637	506	646	592	379	206	507	348	145	327									
9	Число недействительных избирательных бюллетеней	893	11	14	12	6	12	2	12	19	9	17	17	7	11	4	13	3	18	15	17	18	15	18	17	10	16	9	14	11	13	9	14	26	13	17	19	10	16	26	17	8	25	17	22	16	13	19	21	11	18	19	14	17	10	7	12	10	10	11	31	10	4	15	15	0	11									
10	Число действительных избирательных бюллетеней	37052	536	602	718	727	577	216	736	729	519	741	688	529	735	308	758	316	427	430	434	617	833	732	681	612	634	485	558	569	714	595	636	530	538	549	639	640	649	741	597	628	623	531	712	578	658	706	586	516	622	642	705	551	565	394	450	634	501	637	567	372	204	499	335	149	412									
