Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва								
Дата голосования: 07.12.2003 0:00:00								
								
Наименование Избирательной комиссии:    Молжаниновский район								
								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)								
								
		Сумма	УИК №412					
1	"Число избирателей, внесенных в списки"	1872	1872					
2	"Число бюллетеней, полученных участковыми комиссиями"	1800	1800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	903	903					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	91	91					
6	Число погашенных бюллетеней	806	806					
7	Число бюллетеней в переносных ящиках для голосования	91	91					
8	Число бюллетеней в стационарных ящиках для голосования	903	903					
9	Число недействительных бюллетеней	13	13					
10	Число действительных бюллетеней	981	981					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	50	50					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	20					
14	Число погашенных открепительных удостоверений	29	29					
15	Число открепительных удостоверений выданных ТИК	0	0					
16	Число утраченных бюллетеней	0	0					
17	Число не учтенных при получении бюллетеней	0	0					
								
18	"1. ""ЕДИНЕНИЕ"""	13	13					
		1.30%	1.30%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	25	25					
		2.51%	2.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	18	18					
		1.81%	1.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	48	48					
		4.82%	4.82%					
22	"5. ""За Русь Святую"""	5	5					
		0.50%	0.50%					
23	"6. ""Объединенная Российская партия ""Русь"""	0	0					
		0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	10	10					
		1.00%	1.00%					
25	"8. ""Народно-республиканская партия России"""	3	3					
		0.30%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	9					
		0.90%	0.90%					
27	"10. ""Аграрная партия России"""	24	24					
		2.41%	2.41%					
28	"11. ""Истинные патриоты России"""	0	0					
		0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	14	14					
		1.40%	1.40%					
30	"13. ""Демократическая партия России"""	1	1					
		0.10%	0.10%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	2					
		0.20%	0.20%					
32	"15. ""Партия СЛОН"""	0	0					
		0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	135	135					
		13.58%	13.58%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	1					
		0.10%	0.10%					
35	"18. ""ЛДПР"""	74	74					
		7.44%	7.44%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	6	6					
		0.60%	0.60%					
37	"20. ""Политическая партия ""Единая Россия"""	440	440					
		44.26%	44.26%					
38	"21. ""Российская Конституционно-демократическая партия"""	2	2					
		0.20%	0.20%					
39	"22. ""Развитие предпринимательства"""	1	1					
		0.10%	0.10%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	84	84					
		8.45%	8.45%					
								
41	Против всех	66	66					
		6.63%	6.63%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
