Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																							
Дата голосования: 02.12.2007																																																							
																																																							
Наименование Избирательной комиссии:    Приморская г.Новороссийска																																																							
																																																							
Сводная таблица результатов выборов																																																							
																																																							
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548					
1	"Число избирателей, внесенных в списки избирателей"	69234	2275	2098	1237	985	1435	1653	1629	1432	1130	1508	2315	1882	2434	1533	2052	1992	1842	1847	1051	854	1577	802	513	227	506	2580	2323	1460	1135	1738	250	829	1448	2039	1945	2173	1871	1190	1405	1486	2574	1365	1579	1685	240	191	289	630					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	62905	2100	1800	1100	900	1100	1400	1500	1400	1100	1300	1900	1700	2150	1400	2200	2000	2000	1800	1000	700	1400	700	470	230	450	2350	2200	1400	1000	1500	240	750	1200	1800	1900	2000	1700	1000	1300	1300	2200	1200	1400	1300	255	200	280	630					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53861	1626	1388	926	744	995	1273	1015	1130	938	1072	1630	1335	2017	1282	1883	1659	1564	1344	802	652	1204	675	449	214	423	2005	1885	1168	825	1357	208	669	1115	1719	1435	1675	1512	981	1080	1140	2098	1005	1236	1290	217	191	241	569					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2102	35	72	34	27	19	25	51	40	30	36	57	41	42	41	66	16	14	71	40	23	19	19	14	2	23	83	67	44	87	103	26	64	68	43	139	98	53	19	45	58	102	23	40	10	23	0	15	35					
6	Число погашенных избирательных бюллетеней	6942	439	340	140	129	86	102	434	230	132	192	213	324	91	77	251	325	422	385	158	25	177	6	7	14	4	262	248	188	88	40	6	17	17	38	326	227	135	0	175	102	0	172	124	0	15	9	24	26					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2102	35	72	34	27	19	25	51	40	30	36	57	41	42	41	66	16	14	71	40	23	19	19	14	2	23	83	67	44	87	103	26	64	68	43	139	98	53	19	45	58	102	23	40	10	23	0	15	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53737	1621	1388	926	744	995	1272	1015	1130	938	1069	1574	1335	2017	1282	1883	1656	1564	1342	802	652	1204	674	448	214	423	2005	1885	1124	825	1357	208	669	1111	1719	1435	1674	1512	981	1080	1140	2098	1005	1235	1290	217	191	241	567					
9	Число недействительных избирательных бюллетеней	1127	44	23	16	16	11	14	19	14	17	19	33	19	41	43	76	23	21	22	15	29	39	10	0	4	6	30	40	45	13	27	9	15	18	22	42	50	46	20	23	23	20	21	26	13	16	1	13	20					
10	Число действительных избирательных бюллетеней	54712	1612	1437	944	755	1003	1283	1047	1156	951	1086	1598	1357	2018	1280	1873	1649	1557	1391	827	646	1184	683	462	212	440	2058	1912	1123	899	1433	225	718	1161	1740	1532	1722	1519	980	1102	1175	2180	1007	1249	1287	224	190	243	582					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1362	30	48	30	18	25	35	13	27	20	28	45	43	45	60	97	70	53	25	17	20	22	20	5	8	2	50	30	15	15	15	10	32	25	32	36	48	40	20	29	26	23	30	20	33	3	1	6	17					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1332	29	48	29	18	25	35	11	27	19	28	45	43	45	49	97	70	53	24	17	20	22	20	5	8	2	49	30	15	15	15	1	32	25	32	35	48	40	20	29	26	23	30	19	33	3	1	6	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	995	22	47	13	36	18	27	21	42	32	29	14	23	78	11	15	60	22	14	16	14	17	12	0	6	15	23	4	17	12	96	9	20	25	30	29	0	13	12	8	9	5	19	28	10	7	0	5	10					
14	Число погашенных неиспользованных открепительных удостоверений	30	1	0	1	0	0	0	2	0	1	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	135	2	2	1	1	2	2	1	2	2	1	6	3	3	3	37	7	5	4	1	1	0	3	0	0	0	8	5	1	1	1	0	0	1	5	2	1	3	2	0	0	5	3	1	6	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																							
18	1.Политическая партия «Аграрная партия России»	879	27	38	19	19	21	34	0	17	15	3	2	13	34	22	18	27	26	0	25	13	30	15	11	5	6	32	34	0	13	30	3	14	17	7	21	41	32	15	23	18	40	19	18	26	6	1	5	24					
		1.57%	1.63%	2.60%	1.98%	2.46%	2.07%	2.62%	0.00%	1.45%	1.55%	0.27%	0.12%	0.94%	1.65%	1.66%	0.92%	1.61%	1.65%	0.00%	2.97%	1.93%	2.45%	2.16%	2.38%	2.31%	1.35%	1.53%	1.74%	0.00%	1.43%	2.05%	1.28%	1.91%	1.44%	0.40%	1.33%	2.31%	2.04%	1.50%	2.04%	1.50%	1.82%	1.85%	1.41%	2.00%	2.50%	0.52%	1.95%	3.99%					
19	2.Всероссийская политическая партия «Гражданская Сила»	574	23	20	20	19	15	14	3	13	19	0	1	20	27	19	9	22	25	0	24	9	18	6	7	2	2	32	19	0	6	8	1	7	0	6	31	12	15	3	5	6	9	16	23	31	1	0	1	5					
		1.03%	1.39%	1.37%	2.08%	2.46%	1.48%	1.08%	0.28%	1.11%	1.96%	0.00%	0.06%	1.45%	1.31%	1.44%	0.46%	1.32%	1.58%	0.00%	2.85%	1.33%	1.47%	0.87%	1.52%	0.93%	0.45%	1.53%	0.97%	0.00%	0.66%	0.55%	0.43%	0.95%	0.00%	0.34%	1.97%	0.68%	0.96%	0.30%	0.44%	0.50%	0.41%	1.56%	1.80%	2.38%	0.42%	0.00%	0.39%	0.83%					
20	3.Политическая партия «Демократическая партия России»	85	1	2	4	2	2	1	0	1	2	0	0	2	6	1	15	3	3	0	0	3	2	1	0	0	2	3	3	0	0	1	0	0	1	0	5	2	2	3	2	1	2	3	1	1	2	0	0	0					
		0.15%	0.06%	0.14%	0.42%	0.26%	0.20%	0.08%	0.00%	0.09%	0.21%	0.00%	0.00%	0.15%	0.29%	0.08%	0.77%	0.18%	0.19%	0.00%	0.00%	0.44%	0.16%	0.14%	0.00%	0.00%	0.45%	0.14%	0.15%	0.00%	0.00%	0.07%	0.00%	0.00%	0.08%	0.00%	0.32%	0.11%	0.13%	0.30%	0.18%	0.08%	0.09%	0.29%	0.08%	0.08%	0.83%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5167	183	160	102	84	132	205	87	110	108	94	183	182	173	122	90	140	137	102	76	33	113	40	37	19	39	169	156	100	71	104	15	46	83	183	189	189	184	104	104	118	184	85	117	129	20	12	13	41					
		9.25%	11.05%	10.96%	10.63%	10.89%	13.02%	15.81%	8.16%	9.40%	11.16%	8.51%	11.22%	13.23%	8.40%	9.22%	4.62%	8.37%	8.68%	7.22%	9.03%	4.89%	9.24%	5.77%	8.01%	8.80%	8.74%	8.09%	7.99%	8.56%	7.79%	7.12%	6.41%	6.28%	7.04%	10.39%	12.01%	10.67%	11.76%	10.40%	9.24%	9.85%	8.36%	8.27%	9.18%	9.92%	8.33%	6.28%	5.08%	6.81%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	349	11	8	5	10	11	6	1	8	9	4	6	9	12	6	5	6	9	6	4	4	20	4	3	0	7	12	16	1	4	10	0	2	6	12	20	4	5	9	4	6	30	9	14	5	0	0	4	2					
		0.63%	0.66%	0.55%	0.52%	1.30%	1.08%	0.46%	0.09%	0.68%	0.93%	0.36%	0.37%	0.65%	0.58%	0.45%	0.26%	0.36%	0.57%	0.42%	0.48%	0.59%	1.64%	0.58%	0.65%	0.00%	1.57%	0.57%	0.82%	0.09%	0.44%	0.68%	0.00%	0.27%	0.51%	0.68%	1.27%	0.23%	0.32%	0.90%	0.36%	0.50%	1.36%	0.88%	1.10%	0.38%	0.00%	0.00%	1.56%	0.33%					
23	6.Политическая партия «Партия социальной справедливости»	94	4	3	0	0	2	2	0	1	2	0	0	1	8	4	3	3	4	0	1	3	3	1	2	1	0	1	5	0	2	4	1	0	5	0	5	5	0	1	0	3	6	1	1	1	0	1	2	2					
