Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																											
Дата голосования: 02.12.2007																																																																											
																																																																											
Наименование Избирательной комиссии:    территориальная избирательная комиссия г. Коврова																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
1	"Число избирателей, внесенных в списки избирателей"	125916	769	1399	1803	2403	871	1958	2089	2038	2464	552	1877	1658	1023	1213	2133	1619	2091	1841	1646	1732	2258	2451	1997	2198	2028	1429	1915	2874	2641	2449	2115	2251	2047	1865	2903	1979	2530	2334	2728	198	2444	2680	2882	2887	1288	2110	2112	1919	2082	2023	2431	2678	1624	2092	2370	1341	1160	2223	2331	1994	1624	1460	871	402	81	118	49	2271					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	106680	600	1200	1500	1900	750	1700	1800	1700	2050	450	1600	1450	850	1000	1850	1400	1750	1600	1400	1450	1850	2150	1750	1900	1750	1250	1750	2550	2200	2200	1800	1850	1700	1550	2500	1650	2150	1950	2300	150	2050	2200	2350	2500	1150	1800	1900	1650	1750	1600	2100	2300	1400	1800	1950	1100	950	1900	2000	1650	1350	1250	700	350	100	130	50	1700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	75851	537	765	932	1670	508	1040	1212	1062	1203	304	985	847	506	775	1274	1006	1230	1098	909	1072	1455	1535	1243	1431	1286	902	1290	1565	1752	1696	1345	1381	1212	1099	1840	1310	1490	1411	1684	122	1472	1460	1707	1735	705	1197	1214	1149	1270	1114	1492	1687	1033	1275	1355	741	646	1409	1588	1131	982	883	488	341	79	118	49	1547					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1967	3	22	24	62	10	33	35	65	35	37	46	37	28	13	24	35	28	34	49	27	34	20	50	47	12	13	21	50	22	25	12	49	65	45	38	24	66	15	42	1	20	41	30	30	17	37	18	22	27	13	19	43	26	34	21	34	14	21	29	39	32	42	12	0	0	0	0	48					
6	Число погашенных избирательных бюллетеней	28862	60	413	544	168	232	627	553	573	812	109	569	566	316	212	552	359	492	468	442	351	361	595	457	422	452	335	439	935	426	479	443	420	423	406	622	316	594	524	574	27	558	699	613	735	428	566	668	479	453	473	589	570	341	491	574	325	290	470	383	480	336	325	200	9	21	12	1	105					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1967	3	22	24	62	10	33	35	65	35	37	46	37	28	13	24	35	28	34	49	27	34	20	50	47	12	13	21	50	22	25	12	49	65	45	38	24	66	15	42	1	20	41	30	30	17	37	18	22	27	13	19	43	26	34	21	34	14	21	29	39	32	42	12	0	0	0	0	48					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	75774	537	765	932	1670	508	1040	1212	1062	1203	304	985	847	506	775	1273	971	1230	1098	909	1072	1455	1535	1243	1431	1286	902	1290	1565	1752	1696	1345	1380	1212	1099	1840	1310	1490	1399	1684	122	1468	1458	1707	1735	705	1197	1214	1136	1270	1111	1492	1687	1033	1275	1355	741	646	1407	1584	1131	982	883	488	341	79	118	49	1547					
9	Число недействительных избирательных бюллетеней	918	21	10	12	24	1	14	12	6	20	6	8	15	6	9	16	9	8	18	11	12	23	15	12	24	19	4	14	18	20	15	13	22	11	13	25	14	22	11	22	1	10	21	11	16	10	16	11	15	15	13	19	28	15	17	25	12	6	16	23	14	9	10	12	1	2	1	0	14					
10	Число действительных избирательных бюллетеней	76823	519	777	944	1708	517	1059	1235	1121	1218	335	1023	869	528	779	1281	997	1250	1114	947	1087	1466	1540	1281	1454	1279	911	1297	1597	1754	1706	1344	1407	1266	1131	1853	1320	1534	1403	1704	122	1478	1478	1726	1749	712	1218	1221	1143	1282	1111	1492	1702	1044	1292	1351	763	654	1412	1590	1156	1005	915	488	340	77	117	49	1581					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1855	10	20	30	60	10	20	30	30	30	10	20	20	20	20	20	20	30	20	20	20	30	45	40	30	30	20	50	30	40	40	30	30	30	20	60	30	30	30	30	10	40	40	40	40	20	30	30	30	30	30	40	40	20	20	40	20	10	30	40	40	20	20	10	0	0	0	0	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1038	3	9	12	54	9	14	9	14	12	4	6	18	11	14	15	10	21	16	15	12	14	32	19	18	13	17	34	16	23	18	10	19	11	12	31	12	20	14	23	1	34	18	26	29	16	10	22	17	21	17	16	22	10	13	9	14	4	24	16	13	18	8	4	0	0	0	0	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	774	13	4	6	50	2	6	4	12	9	5	21	9	12	58	7	0	39	9	5	7	13	17	8	4	16	5	5	12	12	8	5	17	12	7	9	15	16	10	12	4	15	14	16	17	8	5	8	6	5	13	4	10	3	8	13	5	5	10	4	20	9	12	11	15	6	5	3	39					
14	Число погашенных неиспользованных открепительных удостоверений	817	7	11	18	6	1	6	21	16	18	6	14	2	9	6	5	10	9	4	5	8	16	13	21	12	17	3	16	14	17	22	20	11	19	8	29	18	10	16	7	9	6	22	14	11	4	20	8	13	9	13	24	18	10	7	31	6	6	6	24	27	2	12	6	0	0	0	0	38					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																											
18	1.Политическая партия «Аграрная партия России»	2196	14	21	28	28	26	26	33	38	33	15	36	27	13	25	22	25	39	28	28	32	48	38	39	48	40	28	36	52	47	41	34	46	51	28	39	38	36	36	41	3	45	31	47	52	13	43	38	35	39	27	58	48	42	29	36	30	18	50	54	39	32	29	11	5	2	6	0	31					
		2.82%	2.59%	2.67%	2.93%	1.62%	5.02%	2.42%	2.65%	3.37%	2.67%	4.40%	3.49%	3.05%	2.43%	3.17%	1.70%	2.49%	3.10%	2.47%	2.92%	2.91%	3.22%	2.44%	3.02%	3.25%	3.08%	3.06%	2.75%	3.22%	2.65%	2.38%	2.51%	3.22%	3.99%	2.45%	2.08%	2.85%	2.31%	2.55%	2.38%	2.44%	3.02%	2.07%	2.71%	2.95%	1.80%	3.48%	3.08%	3.02%	3.01%	2.40%	3.84%	2.77%	3.97%	2.22%	2.62%	3.87%	2.73%	3.50%	3.35%	3.33%	3.16%	3.14%	2.20%	1.47%	2.53%	5.08%	0.00%	1.94%					
19	2.Всероссийская политическая партия «Гражданская Сила»	905	8	5	8	24	4	10	8	7	13	5	9	12	6	9	20	16	12	11	6	4	20	30	15	23	19	11	19	27	21	24	16	18	15	9	21	16	25	23	13	2	11	11	33	22	3	20	10	14	16	23	15	11	12	6	15	4	11	24	29	8	14	7	7	3	1	0	0	11					
		1.16%	1.48%	0.64%	0.84%	1.39%	0.77%	0.93%	0.64%	0.62%	1.05%	1.47%	0.87%	1.36%	1.12%	1.14%	1.54%	1.59%	0.95%	0.97%	0.63%	0.36%	1.34%	1.93%	1.16%	1.56%	1.46%	1.20%	1.45%	1.67%	1.18%	1.39%	1.18%	1.26%	1.17%	0.79%	1.12%	1.20%	1.61%	1.63%	0.75%	1.63%	0.74%	0.73%	1.90%	1.25%	0.42%	1.62%	0.81%	1.21%	1.23%	2.05%	0.99%	0.64%	1.13%	0.46%	1.09%	0.52%	1.67%	1.68%	1.80%	0.68%	1.38%	0.76%	1.40%	0.88%	1.27%	0.00%	0.00%	0.69%					
20	3.Политическая партия «Демократическая партия России»	106	6	0	3	5	0	0	1	3	2	1	2	1	0	0	0	5	1	2	3	1	1	1	0	3	1	1	3	1	4	1	3	0	2	0	2	3	0	0	2	0	1	0	2	0	2	3	1	4	1	4	5	1	0	1	1	1	2	3	1	3	2	1	0	0	0	0	0	3					
		0.14%	1.11%	0.00%	0.31%	0.29%	0.00%	0.00%	0.08%	0.27%	0.16%	0.29%	0.19%	0.11%	0.00%	0.00%	0.00%	0.50%	0.08%	0.18%	0.31%	0.09%	0.07%	0.06%	0.00%	0.20%	0.08%	0.11%	0.23%	0.06%	0.23%	0.06%	0.22%	0.00%	0.16%	0.00%	0.11%	0.22%	0.00%	0.00%	0.12%	0.00%	0.07%	0.00%	0.12%	0.00%	0.28%	0.24%	0.08%	0.35%	0.08%	0.36%	0.33%	0.06%	0.00%	0.08%	0.07%	0.13%	0.30%	0.21%	0.06%	0.26%	0.20%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14326	97	176	154	190	93	198	248	232	175	58	148	158	66	138	235	176	203	219	206	266	295	275	250	265	211	176	311	276	342	327	233	243	255	206	294	270	271	224	318	18	271	272	366	360	96	214	218	205	233	225	333	323	213	282	253	142	119	311	368	272	221	203	63	57	9	35	4	162					
