Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская  городская 																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
1	"Число избирателей, внесенных в списки"	226351	2281	2351	2235	2015	842	2259	1693	1528	2073	1493	1765	1754	1958	1320	1331	1477	2189	1150	1948	2531	1567	2368	2340	2210	2806	1758	2367	1575	2365	1801	2446	2240	1879	2102	2389	2310	2736	2386	2943	2307	2487	2563	2221	2651	2243	1727	1938	1813	1926	2229	1984	1627	1921	1928	2126	2554	2877	2957	2890	383	2873	2246	2492	2760	2929	2358	2293	2425	2684	2461	2440	2467	2871	2883	2817	2935	2709	2660	2886	2782	2501	2975	2018	2164	2894	2757	2810	2540	2361	2741	1560	2686	2039	2372	2431	251	3501	2368	2027	1219	2200	832					
2	"Число бюллетеней, полученных участковыми комиссиями"	217449	2000	2100	2000	2000	800	2000	1500	1500	2000	1500	1700	1700	2000	1300	1300	1500	2000	1100	1900	2500	1500	2200	2200	2000	2800	1600	2200	1400	2100	1700	2500	2100	1800	2000	2200	2200	2600	2100	3000	2000	2500	2500	2000	2500	2000	1600	1800	1800	1900	2100	1900	1500	1900	1900	2000	2500	2600	2900	2800	400	2800	2100	2500	2500	2800	2100	2100	2400	2600	2400	2400	2400	2800	2700	2700	2900	2700	2600	2900	2700	2400	3000	2000	2000	2800	2700	2800	2500	2300	2500	1500	2400	1999	2300	2400	250	3500	2300	2000	2300	2000	700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	110348	645	990	916	954	391	875	782	805	1082	687	973	852	1147	718	760	865	902	454	1069	1344	776	1041	1279	1137	1571	851	1311	787	735	979	1205	1040	1013	1228	1347	1300	1539	1296	1468	1038	1239	1382	1165	1353	894	892	1003	956	969	1024	868	869	1073	997	1047	1207	1264	1494	1460	6	1354	1173	1355	1408	1485	1158	1103	1227	1307	1163	1129	1226	1262	1345	1294	1264	1303	1230	1300	1268	1122	1317	934	958	1257	1240	1302	1258	1191	1346	784	1215	998	1248	1192	21	1430	1194	972	1209	1088	404					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2006	17	44	36	37	27	13	23	17	26	25	31	25	42	21	18	22	6	19	33	45	56	31	42	33	36	33	32	30	17	18	43	12	26	29	37	29	24	33	29	19	19	31	21	13	5	11	15	8	31	4	11	15	23	17	29	11	14	17	25	2	22	21	14	17	15	14	9	8	24	11	8	20	5	11	12	9	12	8	14	17	3	14	5	5	9	7	15	3	8	8	22	53	2	13	10	0	64	10	4	10	5	7					
6	Число погашенных бюллетеней	105095	1338	1066	1048	1009	382	1112	695	678	892	787	696	823	816	561	522	613	1092	627	798	1111	668	1128	879	830	1192	716	857	583	1348	703	1252	1048	761	743	816	871	1037	771	1503	943	1242	1087	814	1134	1101	697	782	835	900	1072	1021	616	804	886	924	1282	1322	1387	1315	392	1424	906	1131	1075	1300	928	988	1165	1269	1226	1263	1154	1533	1344	1394	1627	1385	1362	1586	1415	1275	1669	1061	1037	1534	1453	1483	1239	1101	1146	694	1132	999	1039	1198	229	2006	1096	1024	1081	907	289					
7	Число бюллетеней в переносных ящиках для голосования	2004	17	44	36	37	27	13	23	17	26	24	31	25	42	21	18	22	6	19	33	45	56	31	42	33	36	33	32	30	17	18	43	12	26	29	37	29	24	33	29	19	19	31	21	13	5	11	14	8	31	4	11	15	23	17	29	11	14	17	25	2	22	21	14	17	15	14	9	8	24	11	8	20	5	11	12	9	12	8	14	17	3	14	5	5	9	7	15	3	8	8	22	53	2	13	10	0	64	10	4	10	5	7					
8	Число бюллетеней в стационарных ящиках для голосования	110191	645	990	916	954	391	875	782	801	1080	687	973	852	1144	717	760	865	901	454	1068	1344	776	1041	1275	1137	1565	851	1310	785	735	979	1205	1040	1013	1228	1335	1300	1539	1293	1468	1038	1239	1382	1165	1353	894	891	1003	956	969	1024	868	869	1064	980	1047	1206	1262	1494	1435	6	1354	1169	1355	1387	1484	1158	1103	1226	1305	1163	1129	1218	1260	1344	1294	1262	1303	1226	1298	1268	1122	1317	934	954	1255	1240	1302	1258	1191	1346	784	1213	995	1248	1189	21	1430	1194	972	1209	1088	404					
9	Число недействительных бюллетеней	1761	13	28	44	16	17	8	7	19	14	15	23	27	10	21	19	15	21	18	30	0	20	30	21	30	20	16	11	24	17	6	20	22	15	7	12	19	17	16	7	33	28	33	20	30	8	23	27	25	11	20	21	15	8	24	16	10	10	17	17	0	10	14	25	15	12	22	25	25	9	3	8	17	9	34	34	54	18	10	17	9	32	20	9	30	9	15	17	5	0	9	14	33	6	9	16	0	32	21	7	4	10	2					
10	Число действительных бюллетеней	110434	649	1006	908	975	401	880	798	799	1092	696	981	850	1176	717	759	872	886	455	1071	1389	812	1042	1296	1140	1581	868	1331	791	735	991	1228	1030	1024	1250	1360	1310	1546	1310	1490	1024	1230	1380	1166	1336	891	879	990	939	989	1008	858	869	1079	973	1060	1207	1266	1494	1443	8	1366	1176	1344	1389	1487	1150	1087	1209	1320	1171	1129	1221	1256	1321	1272	1217	1297	1224	1295	1276	1093	1311	930	929	1255	1232	1300	1256	1199	1345	792	1233	991	1252	1183	21	1462	1183	969	1215	1083	409					
