Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Басманный район																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009					
1	"Число избирателей, внесенных в списки"	71690	1694	2486	2556	2059	2592	1783	2781	1327	3367	2209	2190	2677	2473	2770	2022	1477	2768	2878	2747	2119	2882	2805	2123	2230	2628	2493	2982	2206	2841	225	192	406	230	99	190	19	83	81					
2	"Число бюллетеней, полученных участковыми комиссиями"	66884	1600	2300	2500	2000	2500	1700	2700	1300	2400	2200	2100	2600	2200	2600	1900	1400	2600	2700	1400	1400	2700	2700	2000	2000	2500	2400	2600	2000	2700	1400	250	570	250	102	250	112	122	128					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	38707	956	1252	1388	1148	1478	953	1589	731	1870	1195	1043	1450	1212	1548	1140	991	1527	1628	1331	1074	1658	1710	892	1103	1354	1538	1498	1211	1336	167	68	76	174	99	155	19	83	62					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1513	26	46	48	29	33	29	29	24	39	53	44	35	18	39	47	17	56	36	24	23	52	46	32	20	28	28	37	24	48	58	80	286	44	0	16	0	0	19					
6	Число погашенных бюллетеней	26628	618	1002	1064	823	989	718	1082	545	491	952	1013	1114	970	1013	713	392	1016	1036	45	303	990	944	1042	877	1118	834	1065	765	1316	1175	102	208	32	3	79	93	39	47					
7	Число бюллетеней в переносных ящиках для голосования	1512	26	46	48	29	33	29	29	24	39	53	44	34	18	39	47	17	56	36	24	23	52	46	32	20	28	28	37	24	48	58	80	286	44	0	16	0	0	19					
8	Число бюллетеней в стационарных ящиках для голосования	38573	956	1248	1383	1141	1443	953	1577	731	1866	1188	1037	1450	1211	1548	1140	989	1527	1628	1331	1074	1653	1693	892	1098	1347	1534	1488	1208	1336	167	68	76	174	99	155	19	83	62					
9	Число недействительных бюллетеней	352	7	9	12	8	7	7	7	6	11	7	8	21	14	15	20	13	17	11	8	9	10	11	6	10	11	14	20	16	14	0	0	19	4	0	0	0	0	0					
10	Число действительных бюллетеней	39733	975	1285	1419	1162	1469	975	1599	749	1894	1234	1073	1463	1215	1572	1167	993	1566	1653	1347	1088	1695	1728	918	1108	1364	1548	1505	1216	1370	225	148	343	214	99	171	19	83	81					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1750	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	250	150	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1070	21	31	28	25	38	21	30	26	33	24	23	37	36	31	32	37	28	26	194	76	36	44	27	23	19	28	43	25	28	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1544	113	50	45	64	25	39	52	32	26	75	45	36	170	95	36	28	34	84	47	1	97	26	34	14	40	23	23	17	25	74	0	0	19	7	18	4	7	19					
14	Число погашенных открепительных удостоверений	680	29	19	22	25	12	29	20	24	17	26	27	13	14	19	18	13	22	24	56	74	14	6	23	27	31	22	7	25	22	0	0	0	0	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	6	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	261	6	6	1	12	9	5	11	1	8	7	4	11	10	8	5	12	14	13	11	7	9	11	3	11	12	9	8	12	8	1	0	3	3	2	6	0	2	0					
		0.65%	0.61%	0.46%	0.06%	1.02%	0.60%	0.50%	0.68%	0.13%	0.41%	0.56%	0.37%	0.74%	0.81%	0.50%	0.42%	1.19%	0.88%	0.78%	0.81%	0.63%	0.52%	0.63%	0.32%	0.98%	0.87%	0.57%	0.52%	0.97%	0.57%	0.44%	0.0%	0.82%	1.37%	2.02%	3.50%	0.0%	2.40%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4583	153	186	224	217	250	159	273	106	207	162	116	178	148	165	94	46	175	194	127	82	150	141	107	144	122	210	136	118	124	10	8	21	7	5	3	2	4	9					
		11.43%	15.58%	14.37%	15.65%	18.54%	16.93%	16.19%	16.99%	14.03%	10.86%	13.05%	10.73%	11.99%	12.04%	10.39%	7.91%	4.57%	11.05%	11.65%	9.37%	7.47%	8.79%	8.10%	11.58%	12.88%	8.87%	13.44%	8.91%	9.57%	8.95%	4.44%	5.40%	5.80%	3.21%	5.05%	1.75%	10.52%	4.81%	11.11%					
