Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Зарайская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584					
1	"Число избирателей, внесенных в списки"	35133	1016	1070	1838	1025	1340	857	1049	920	1535	1172	1743	954	2468	2377	2272	855	531	1322	756	752	1284	896	1252	1064	1312	533	503	1427	1010					
2	"Число бюллетеней, полученных участковыми комиссиями"	33577	970	1003	1750	954	1258	815	995	870	1456	1114	1663	903	2333	2263	2134	860	546	1282	733	724	1220	844	1209	1045	1285	500	487	1400	961					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15963	324	420	738	324	576	343	346	389	699	603	782	512	1163	1103	1100	408	246	578	289	399	748	528	669	478	566	156	264	712	500					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3079	133	138	60	50	49	94	90	41	56	38	82	41	39	38	84	201	86	121	117	125	316	152	100	147	229	156	74	99	123					
6	Число погашенных бюллетеней	14535	513	445	952	580	633	378	559	440	701	473	799	350	1131	1122	950	251	214	583	327	200	156	164	440	420	490	188	149	589	338					
7	Число бюллетеней в переносных ящиках для голосования	3079	133	138	60	50	49	94	90	41	56	38	82	41	39	38	84	201	86	121	117	125	316	152	100	147	229	156	74	99	123					
8	Число бюллетеней в стационарных ящиках для голосования	15963	324	420	738	324	576	343	346	389	699	603	782	512	1163	1103	1100	408	246	578	289	399	748	528	669	478	566	156	264	712	500					
9	Число недействительных бюллетеней	313	9	4	7	7	8	2	2	15	5	20	23	11	10	16	17	0	12	13	20	11	17	3	32	5	7	2	6	20	9					
10	Число действительных бюллетеней	18729	448	554	791	367	617	435	434	415	750	621	841	542	1192	1125	1167	609	320	686	386	513	1047	677	737	620	788	310	332	791	614					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	905	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	50	30	30	30	30	30	30	30	30	30	30	45	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	368	5	8	2	5	8	5	5	9	7	12	16	3	18	19	16	20	42	3	16	1	12	7	15	26	30	0	2	40	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	3	2	2	3	3	5	10	4	5	2	1	3	4	6	5	0	3	7	3	5	5	1	4	3	2	3	1	5	2					
14	Число погашенных открепительных удостоверений	537	25	22	28	25	22	25	25	21	23	18	14	27	12	11	14	10	8	27	14	29	18	23	15	4	0	30	28	5	14					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
