Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Быстринская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №161	УИК №162					
1	"Число избирателей, внесенных в списки избирателей"	2231	1796	435					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2000	1600	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	262	256	6					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1063	791	272					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	55	50	5					
6	Число погашенных избирательных бюллетеней	620	503	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	317	306	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1063	791	272					
9	Число недействительных избирательных бюллетеней	20	18	2					
10	Число действительных избирательных бюллетеней	1360	1079	281					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	58	38	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	11	11	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	9	9	0					
14	Число погашенных неиспользованных открепительных удостоверений	47	27	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	44	40	4					
		3.19%	3.65%	1.41%					
19	2.Всероссийская политическая партия «Гражданская Сила»	15	12	3					
		1.09%	1.09%	1.06%					
20	3.Политическая партия «Демократическая партия России»	2	2	0					
		0.14%	0.18%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	81	68	13					
		5.87%	6.20%	4.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	8	8	0					
		0.58%	0.73%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	4	1					
		0.36%	0.36%	0.35%					
24	7.Политическая партия «Либерально-демократическая партия России»	156	117	39					
		11.30%	10.67%	13.78%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	56	44	12					
		4.06%	4.01%	4.24%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	37	36	1					
		2.68%	3.28%	0.35%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	945	739	206					
		68.48%	67.37%	72.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	11	9	2					
		0.80%	0.82%	0.71%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
