Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Балаковская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №1481									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	165284	2489	2672	1293	2398	2368	1702	2209	1992	1958	2336	2273	1378	2364	2332	1561	1833	2524	1992	1997	1771	2250	1881	1734	1990	311	2278	2068	1368	2667	2729	2794	2676	2752	2830	2201	2111	1228	1900	1400	2141	1536	1176	2712	465	2462	2719	545	2032	1884	2468	1852	2118	2097	2781	2572	1957	2150	1733	2705	2627	1852	2245	1165	2019	2108	2418	2136	1877	2154	2522	2053	1102	1025	925	607	829	555	353	390	779	125	82	580	404	1291	1398	397	336	315	354	692	154	918	546	406	823	480	295	142	558	161	534	1837									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	134500	2025	2150	1075	1900	1850	1350	1750	1600	1550	1850	1850	1100	1900	1850	1200	1450	1850	1600	1600	1450	1750	1500	1400	1550	600	1800	1600	1050	2150	2200	2250	2150	2200	2250	1750	1700	950	1500	1050	1700	1200	900	2150	350	2000	2050	500	1650	1500	1900	1500	1650	1650	2200	2050	1550	1700	1350	2150	2100	1500	1800	900	1600	1650	1900	1700	1500	1650	1950	1650	1100	1000	900	550	800	550	300	350	750	100	75	550	400	1250	1350	350	300	300	350	650	125	900	500	400	800	500	250	100	550	150	500	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	75024	870	998	453	1794	721	569	830	830	650	921	886	1037	883	912	649	684	1691	773	847	735	933	747	1315	1472	228	957	1521	781	809	1088	840	840	963	1072	495	872	494	649	982	691	608	404	2030	266	968	1931	320	758	1426	1067	986	925	836	1057	1031	1002	971	793	1152	1222	766	946	720	873	930	984	697	843	1561	1257	855	480	357	381	201	188	464	262	97	404	90	62	358	271	397	1179	196	186	130	180	393	103	547	281	272	323	187	124	61	265	110	310	498									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2374	19	21	5	11	14	4	10	8	13	19	8	4	14	8	3	25	63	14	23	13	9	3	28	78	83	20	30	13	26	47	25	14	29	28	14	85	8	17	15	41	16	26	11	12	12	114	99	9	14	9	14	9	9	7	8	4	5	30	12	13	7	11	1	7	5	6	11	4	2	4	12	42	14	24	43	144	51	31	52	24	0	5	44	35	55	21	9	24	30	23	12	0	38	29	20	22	57	13	13	24	18	37	5									
6	Число погашенных избирательных бюллетеней	57102	1136	1131	617	95	1115	777	910	762	887	910	956	59	1003	930	548	741	96	813	730	702	808	750	57	0	289	823	49	256	1315	1065	1385	1296	1208	1150	1241	743	448	834	53	968	576	470	109	72	1020	5	81	883	60	824	500	716	805	1136	1011	544	724	527	986	865	727	843	179	720	715	910	992	653	87	689	783	578	629	495	306	468	35	7	201	322	10	8	148	94	798	150	145	90	140	147	245	22	315	190	108	455	256	113	26	261	22	153	1297									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2374	19	21	5	11	14	4	10	8	13	19	8	4	14	8	3	25	63	14	23	13	9	3	28	78	83	20	30	13	26	47	25	14	29	28	14	85	8	17	15	41	16	26	11	12	12	114	99	9	14	9	14	9	9	7	8	4	5	30	12	13	7	11	1	7	5	6	11	4	2	4	12	42	14	24	43	144	51	31	52	24	0	5	44	35	55	21	9	24	30	23	12	0	38	29	20	22	57	13	13	24	18	37	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	74981	870	998	453	1794	721	569	830	830	650	921	886	1037	883	912	649	684	1691	773	847	735	933	747	1286	1472	228	957	1521	781	808	1084	840	840	960	1072	495	872	494	648	982	691	608	404	2026	266	968	1931	320	758	1426	1067	986	925	836	1057	1031	1001	971	793	1152	1222	766	946	720	873	930	984	697	843	1561	1257	855	480	357	381	201	188	464	262	97	404	90	62	358	271	397	1179	196	186	130	180	393	103	547	281	272	323	187	124	61	265	110	310	498									
9	Число недействительных избирательных бюллетеней	1020	17	23	12	5	10	6	11	10	7	20	25	11	15	10	9	5	15	14	12	8	19	13	15	0	24	15	21	2	13	19	20	13	18	24	6	8	2	14	13	11	8	8	12	4	12	1	9	12	2	32	2	14	8	20	14	21	6	16	26	21	12	7	10	13	14	16	11	9	16	11	10	13	10	10	3	0	6	1	2	5	2	0	5	1	5	12	0	0	2	3	3	0	5	5	0	16	1	3	2	2	0	4	7									
10	Число действительных избирательных бюллетеней	76335	872	996	446	1800	725	567	829	828	656	920	869	1030	882	910	643	704	1739	773	858	740	923	737	1299	1550	287	962	1530	792	821	1112	845	841	971	1076	503	949	500	651	984	721	616	422	2025	274	968	2044	410	755	1438	1044	998	920	837	1044	1025	984	970	807	1138	1214	761	950	711	867	921	974	697	838	1547	1250	857	509	361	395	241	332	509	292	147	423	88	67	397	305	447	1188	205	210	158	200	402	103	580	305	292	329	243	134	72	287	128	343	496									
