Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																															
Дата голосования: 04.12.2011																																																																																																															
																																																																																																															
Наименование Избирательной комиссии:    Сургутская городская																																																																																																															
																																																																																																															
Сводная таблица результатов выборов																																																																																																															
																																																																																																															
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411					
1	"Число избирателей, внесенных в список избирателей"	241957	2522	2658	2722	2808	2617	2609	2522	2808	2276	2677	2223	2122	2685	1092	1065	2740	2642	2143	2090	2501	2686	2760	2501	1977	2797	1898	2664	2590	2585	2595	2538	1955	2196	2082	2554	2944	2627	2885	1137	1943	2268	2760	2639	2700	2474	2980	2986	3017	2976	1277	1923	2528	2457	2334	2860	2561	2397	2202	2478	2495	2889	2844	2671	3028	2941	2775	2764	2829	2699	2212	2704	2170	2120	2144	2507	1472	2007	2167	2952	2576	2253	2702	2131	2088	1891	2343	2478	2923	907	1181	1096	1640	1350	1366	2781	2113	2650	2554	2756	2790	874	1270	1454	147					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	222900	2100	2400	2400	2500	2400	2350	2250	2500	2000	2400	2000	1950	2450	1000	2000	2500	2400	1950	1900	2300	2400	2450	2300	1800	2500	1750	2400	2350	2350	2350	2250	1800	2000	1900	2300	2550	2400	2600	2650	1750	2050	2500	2400	2400	2150	2700	2700	2650	2650	1150	1700	2300	2250	2150	2550	2300	2150	2000	2250	2200	2600	2600	2400	2600	2600	2500	2500	2500	2500	2050	2450	2000	1950	1950	2250	1350	1800	1950	2650	2300	2050	2450	1950	1900	1700	2100	2200	2600	850	1050	900	1450	1250	1200	2500	1900	2350	2300	2500	2500	800	1300	1300	2500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	108713	1362	1387	1429	1443	1374	1203	1134	1261	861	1217	959	945	1155	537	1054	1227	1320	1113	1009	1307	1179	1257	1013	861	1255	898	1237	1160	1299	1204	1124	897	1102	1096	1250	1233	1177	1184	1133	878	937	1134	1176	1162	976	1179	1243	1381	1368	591	861	1118	1152	1086	1293	1154	1040	995	1285	1208	1219	1281	1116	1408	1318	1374	1252	1013	1219	1007	1226	902	1026	985	1080	757	846	967	1228	1054	959	1165	994	945	854	1037	1072	896	310	387	397	545	443	392	1205	883	1112	909	1099	1280	350	537	444	147					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1335	3	2	4	3	6	43	49	29	10	19	3	5	4	0	11	6	16	5	9	6	7	6	6	5	9	9	9	5	8	9	3	1	6	3	6	115	4	8	4	3	4	23	4	4	9	4	7	2	9	0	21	4	18	21	45	11	13	19	7	10	21	12	25	133	139	9	13	9	15	5	2	18	4	6	4	3	3	2	7	4	2	4	2	9	2	1	8	20	0	14	1	7	1	3	10	5	1	22	7	6	4	1	77	0					
6	Число погашенных избирательных бюллетеней	112852	735	1011	967	1054	1020	1104	1067	1210	1129	1164	1038	1000	1291	463	935	1267	1064	832	882	987	1214	1187	1281	934	1236	843	1154	1185	1043	1137	1123	902	892	801	1044	1202	1219	1408	1513	869	1109	1343	1220	1234	1165	1517	1450	1267	1273	559	818	1178	1080	1043	1212	1135	1097	986	958	982	1360	1307	1259	1059	1143	1117	1235	1478	1266	1038	1222	1080	920	959	1166	590	951	981	1415	1242	1089	1281	954	946	844	1062	1120	1684	540	649	502	898	806	805	1285	1012	1237	1369	1394	1214	446	762	779	2353					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1333	3	2	4	3	6	43	48	29	10	19	3	5	4	0	11	6	16	5	9	6	7	6	6	5	9	9	9	5	8	9	3	1	6	3	6	115	4	8	4	3	4	23	4	4	9	4	7	2	9	0	21	4	18	21	45	11	13	19	7	10	21	12	25	132	139	9	13	9	15	5	2	18	4	6	4	3	3	2	7	4	2	4	2	9	2	1	8	20	0	14	1	7	1	3	10	5	1	22	7	6	4	1	77	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	108616	1362	1387	1429	1440	1372	1203	1133	1261	861	1217	959	940	1155	537	1054	1227	1317	1113	1009	1306	1177	1251	1007	861	1254	898	1237	1160	1299	1204	1121	897	1102	1085	1250	1233	1174	1184	1133	878	937	1134	1176	1162	976	1178	1243	1378	1367	591	861	1118	1152	1086	1292	1149	1040	995	1281	1206	1219	1269	1116	1407	1318	1374	1252	1013	1219	1007	1223	900	1026	985	1079	757	846	967	1228	1050	959	1165	994	945	854	1036	1072	896	310	387	397	545	443	392	1205	883	1111	909	1096	1280	350	537	439	147					
9	Число недействительных избирательных бюллетеней	1552	21	14	20	24	22	16	21	24	15	15	13	13	11	11	14	24	15	12	11	15	28	18	16	10	30	16	17	18	13	17	11	10	6	19	18	15	15	14	14	15	10	17	18	14	13	18	9	21	16	5	10	17	15	13	15	15	11	16	25	18	24	17	29	19	19	23	19	26	11	9	14	14	17	12	15	7	10	17	20	7	12	17	14	13	7	7	21	16	0	10	12	8	7	7	29	14	15	9	23	12	2	4	14	3					
10	Число действительных избирательных бюллетеней	108397	1344	1375	1413	1419	1356	1230	1160	1266	856	1221	949	932	1148	526	1051	1209	1318	1106	1007	1297	1156	1239	997	856	1233	891	1229	1147	1294	1196	1113	888	1102	1069	1238	1333	1163	1178	1123	866	931	1140	1162	1152	972	1164	1241	1359	1360	586	872	1105	1155	1094	1322	1145	1042	998	1263	1198	1216	1264	1112	1520	1438	1360	1246	996	1223	1003	1211	904	1013	979	1068	753	839	952	1215	1047	949	1152	982	941	849	1030	1059	900	310	391	386	544	437	388	1186	874	1097	922	1080	1274	352	534	502	144					
