Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Черноземельская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213					
1	"Число избирателей, внесенных в список"	8298	690	790	773	584	699	949	515	830	567	505	365	702	329					
2	Число полученных избирательных бюллетеней	8201	681	744	760	577	705	946	492	823	561	510	379	691	332					
3	"Число избирательных бюллетеней, выданных  досрочно"	64	0	0	64	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6230	441	714	602	466	349	858	380	709	499	298	227	473	214					
5	"Число избирательных бюллетеней, выданных вне помещения"	1481	174	19	32	101	298	44	108	47	42	195	102	210	109					
6	Число погашенных избирательных бюллетеней	426	66	11	62	10	58	44	4	67	20	17	50	8	9					
7	Число избирательных бюллетеней в переносных ящиках	1545	174	19	96	101	298	44	108	47	42	195	102	210	109					
8	Число бюллетеней в стационарных ящиках для голосования	6230	441	714	602	466	349	858	380	709	499	298	227	473	214					
9	Число недействительных избирательных бюллетеней	80	7	8	25	7	13	2	1	1	0	12	4	0	0					
10	Число действительных избирательных бюллетеней	7695	608	725	673	560	634	900	487	755	541	481	325	683	323					
11	Число полученных открепительных  удостоверений	190	10	10	10	10	10	26	20	24	20	10	20	10	10					
12	Число выданных открепительных удостоверений	114	1	4	1	4	8	21	15	21	6	7	20	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	115	4	21	3	18	2	23	25	7	2	3	3	0	4					
14	Число неиспользованных открепительных удостоверений	76	9	6	9	6	2	5	5	3	14	3	0	7	7					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	63	5	11	15	5	6	4	0	8	2	2	2	2	1					
		0.81%	0.81%	1.50%	2.15%	0.88%	0.93%	0.44%	0.00%	1.06%	0.37%	0.41%	0.61%	0.29%	0.31%					
19	. Малышкин Олег Александрович	25	0	2	12	2	2	1	0	2	0	0	2	1	1					
		0.32%	0.00%	0.27%	1.72%	0.35%	0.31%	0.11%	0.00%	0.26%	0.00%	0.00%	0.61%	0.15%	0.31%					
20	. Миронов Сергей Михайлович	18	0	2	4	3	5	1	0	0	1	2	0	0	0					
		0.23%	0.00%	0.27%	0.57%	0.53%	0.77%	0.11%	0.00%	0.00%	0.18%	0.41%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	6999	578	613	508	512	576	822	463	702	527	445	276	672	305					
		90.02%	93.98%	83.63%	72.78%	90.30%	89.03%	91.13%	94.88%	92.86%	97.41%	90.26%	83.89%	98.39%	94.43%					
22	. Хакамада Ирина Муцуовна	175	11	17	22	12	21	23	5	19	6	14	21	1	3					
		2.25%	1.79%	2.32%	3.15%	2.12%	3.25%	2.55%	1.02%	2.51%	1.11%	2.84%	6.38%	0.15%	0.93%					
23	. Харитонов Николай Михайлович	383	11	79	104	25	23	44	17	20	4	17	22	6	11					
		4.93%	1.79%	10.78%	14.90%	4.41%	3.55%	4.88%	3.48%	2.65%	0.74%	3.45%	6.69%	0.88%	3.41%					
																				
24	Против всех	32	3	1	8	1	1	5	2	4	1	1	2	1	2					
		0.41%	0.49%	0.14%	1.15%	0.18%	0.15%	0.55%	0.41%	0.53%	0.18%	0.20%	0.61%	0.15%	0.62%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
