Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Мирнинская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317	УИК  318	УИК  319	УИК  320					
1	"Число избирателей, внесенных в списки"	53492	1055	1205	682	1567	2295	1152	1562	1720	455	1967	2115	1926	2367	2339	2370	898	964	405	237	326	1148	162	2346	1142	577	1899	2152	2347	2422	2234	262	1466	1865	1857	1932	2074					
2	"Число бюллетеней, полученных участковыми комиссиями"	52920	1000	1100	600	1500	2000	1100	1400	1600	400	1800	2000	1900	2200	2600	2200	800	900	400	250	350	1100	200	2300	1100	600	2000	2300	2300	2500	2400	300	1500	1920	2100	2000	2200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	780	0	0	0	0	0	540	0	0	0	0	0	0	0	0	0	49	10	0	0	0	0	0	0	0	20	78	0	83	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	39980	650	649	348	986	1476	364	901	1043	308	1137	1428	1210	1428	2102	1449	518	732	253	188	289	906	122	1808	798	360	1153	1952	2094	2299	2205	254	1403	1671	1765	1826	1905					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	641	14	53	4	10	16	11	27	6	2	14	20	30	26	21	9	7	53	2	15	5	30	0	64	44	7	33	1	6	1	7	3	7	79	0	7	7					
6	Число погашенных бюллетеней	11519	336	398	248	504	508	185	472	551	90	649	552	660	746	477	742	226	105	145	47	56	164	78	428	258	213	736	347	117	200	188	43	90	170	335	167	288					
7	Число бюллетеней в переносных ящиках для голосования	1419	14	53	4	10	16	549	27	6	2	14	20	30	26	21	9	56	63	2	15	5	30	0	64	44	27	111	1	89	1	7	3	7	79	0	7	7					
8	Число бюллетеней в стационарных ящиках для голосования	39957	650	649	348	986	1474	364	901	1043	308	1134	1428	1209	1428	2098	1445	517	732	253	188	289	906	122	1808	798	360	1153	1951	2093	2299	2199	254	1403	1671	1765	1826	1905					
9	Число недействительных бюллетеней	276	0	8	3	5	12	13	6	0	2	15	8	6	11	17	11	7	4	1	8	5	0	0	13	6	7	16	15	9	8	14	3	5	9	15	9	5					
10	Число действительных бюллетеней	41100	664	694	349	991	1478	900	922	1049	308	1133	1440	1233	1443	2102	1443	566	791	254	195	289	936	122	1859	836	380	1248	1937	2173	2292	2192	254	1405	1741	1750	1824	1907					
