Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Чулымская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19283	1255	604	549	1327	453	551	512	1124	1357	1145	710	294	502	324	518	521	950	1030	339	477	843	568	176	213	406	547	93	154	321	460	960									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18860	1250	600	500	1300	450	550	500	1100	1300	1150	700	290	500	300	500	500	950	1000	300	490	800	550	190	200	400	550	90	150	300	450	950									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5636	220	217	195	362	138	167	118	292	272	246	125	153	195	143	176	263	253	286	102	196	213	177	90	58	168	178	40	42	118	191	242									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1930	65	21	34	71	32	30	15	60	86	206	242	5	55	20	51	25	154	88	40	72	80	79	8	32	86	58	4	22	31	30	128									
6	Число погашенных избирательных бюллетеней	11294	965	362	271	867	280	353	367	748	942	698	333	132	250	137	273	212	543	626	158	222	507	294	92	110	146	314	46	86	151	229	580									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1930	65	21	34	71	32	30	15	60	86	206	242	5	55	20	51	25	154	88	40	72	80	79	8	32	86	58	4	22	31	30	128									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5636	220	217	195	362	138	167	118	292	272	246	125	153	195	143	176	263	253	286	102	196	213	177	90	58	168	178	40	42	118	191	242									
9	Число недействительных избирательных бюллетеней	148	5	4	6	9	5	1	1	3	10	5	3	6	9	2	6	8	12	11	2	7	5	2	8	1	2	6	0	1	5	0	3									
10	Число действительных избирательных бюллетеней	7418	280	234	223	424	165	196	132	349	348	447	364	152	241	161	221	280	395	363	140	261	288	254	90	89	252	230	44	63	144	221	367									
