Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Владикавказ,  Правобережная"																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №377	УИК №378									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	108274	1749	1517	1174	1912	1593	2738	1201	1100	2164	1366	1574	827	1740	1263	2369	772	755	1766	2528	1370	2604	907	1048	2328	2568	2133	2418	1192	1584	254	2519	2667	2754	2711	1839	1570	2089	742	2415	929	1796	807	1647	1622	1342	1267	1973	2143	2521	2258	1616	1619	676	935	2659	1708	1646	831	1050	1810	343	300	60	144	200	204	200	150	500	280	449	1697	2429	643									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101610	1600	1400	1100	1800	1400	2500	1100	1000	2000	1200	1400	800	1600	1200	2200	700	700	1700	2300	1300	2400	800	1000	2100	2300	2000	2200	1200	1500	250	2300	2400	2500	2500	1700	1400	1900	700	2400	900	1700	700	1500	1500	1200	1200	1800	2000	2500	2100	1500	1500	650	900	2400	1600	1500	800	1000	1700	350	300	60	150	200	250	200	150	500	300	500	1750	2700	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	93669	1524	1323	1028	1734	1021	2456	1054	957	1810	1178	1241	636	1429	1125	2164	622	637	1535	2254	1200	2175	756	855	1858	2045	1687	1932	1003	1442	193	2294	2353	2280	2415	1589	1381	1880	653	2266	894	1689	691	1447	1275	1052	1120	1558	1803	2401	1882	1399	1416	539	757	2026	1533	1438	783	939	1646	313	300	60	144	200	204	183	150	500	280	449	1697	2376	540									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2080	48	52	28	16	37	14	26	25	90	15	34	40	81	11	20	9	40	21	38	10	8	12	4	4	9	63	13	0	0	10	6	10	11	85	66	19	20	25	14	6	11	5	8	23	28	30	100	126	19	150	1	15	12	43	202	22	27	15	6	11	30	0	0	0	0	0	0	0	0	0	0	0	53	103									
6	Число погашенных избирательных бюллетеней	5796	28	25	44	50	342	30	20	18	100	7	125	124	90	64	16	69	23	144	8	90	217	32	141	238	246	250	255	197	58	47	0	37	209	0	45	0	0	22	120	0	0	4	45	202	120	50	142	71	80	68	100	69	34	100	172	45	35	2	55	43	7	0	0	6	0	46	17	0	0	20	51	53	271	357									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2145	48	52	28	16	37	14	26	25	90	15	34	40	81	11	20	9	40	21	38	10	8	12	4	4	9	63	13	0	0	10	6	10	11	85	66	19	20	25	14	6	11	5	8	23	28	30	100	126	19	150	1	15	77	43	202	22	27	15	6	11	30	0	0	0	0	0	0	0	0	0	0	0	53	103									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	93566	1524	1323	1028	1734	1021	2456	1054	957	1810	1178	1241	636	1348	1125	2164	622	637	1535	2254	1200	2175	756	855	1858	2045	1687	1932	1003	1442	193	2294	2353	2280	2415	1589	1381	1880	653	2266	894	1689	691	1447	1275	1052	1120	1558	1803	2401	1882	1399	1416	539	757	2026	1511	1438	783	939	1646	313	300	60	144	200	204	183	150	500	280	449	1697	2376	540									
9	Число недействительных избирательных бюллетеней	299	0	0	0	0	0	0	12	0	14	0	5	5	0	0	0	13	0	21	0	0	5	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	3	3	5	9	18	3	0	0	0	3	1	7	3	4	0	4	0	0	9	0	8	3	2	0	0	5	1	0	10	2	7	0	45	53									
10	Число действительных избирательных бюллетеней	95412	1572	1375	1056	1750	1058	2470	1068	982	1886	1193	1270	671	1429	1136	2184	618	677	1535	2292	1210	2178	766	859	1859	2054	1750	1945	1003	1439	203	2300	2363	2291	2500	1655	1400	1900	678	2280	892	1697	693	1450	1289	1062	1147	1658	1929	2420	2029	1399	1424	613	796	2228	1529	1465	798	936	1657	335	297	58	144	200	199	182	150	490	278	442	1697	2384	590									
