Выборы Президента Российской Федерации																																																																						
																																																																						
Наименование Избирательной комиссии:    Заводоуковская																																																																						
																																																																						
Итоги голосования 																																																																						
																																																																						
		Сумма	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319					
1	"Число избирателей, внесенных в список"	35586	200	305	1121	1298	924	772	1276	1490	788	1062	1118	991	834	2309	2455	542	372	940	1044	609	142	82	523	152	85	190	473	202	404	360	1016	395	71	579	620	77	485	130	444	900	212	196	139	133	591	675	424	510	808	114	820	59	377	183	422	210	328	133	396	220	270	389	197					
2	Число полученных избирательных бюллетеней	33210	201	305	950	1050	890	690	1150	1300	710	930	990	860	750	2100	2200	500	350	870	920	590	163	94	530	175	91	200	470	200	400	370	1000	400	75	550	600	77	450	128	410	850	220	205	140	140	570	630	390	490	800	111	800	65	350	182	400	210	330	138	400	230	270	380	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25770	159	304	703	881	615	489	862	1031	524	713	759	663	533	1549	1643	338	273	629	700	498	117	72	439	130	84	146	340	154	314	331	628	307	56	377	445	68	384	94	331	675	187	174	130	113	436	543	363	350	587	96	660	51	321	157	356	174	294	119	338	197	245	353	168					
5	"Число избирательных бюллетеней, выданных вне помещения"	2033	31	0	68	59	32	84	40	56	41	51	27	33	81	54	117	44	22	32	39	14	16	4	22	9	1	14	28	24	34	0	183	42	8	100	64	5	20	12	25	59	13	6	0	5	61	15	17	38	49	5	69	5	20	11	30	17	16	4	25	5	12	9	6					
6	Число погашенных избирательных бюллетеней	5407	11	1	179	110	243	117	248	213	145	166	204	164	136	497	440	118	55	209	181	78	30	18	69	36	6	40	102	22	52	39	189	51	11	73	91	4	46	22	54	116	20	25	10	22	73	72	10	102	164	10	71	9	9	14	14	19	20	15	37	28	13	18	46					
7	Число избирательных бюллетеней в переносных ящиках	2033	31	0	68	59	32	84	40	56	41	51	27	33	81	54	117	44	22	32	39	14	16	4	22	9	1	14	28	24	34	0	183	42	8	100	64	5	20	12	25	59	13	6	0	5	61	15	17	38	49	5	69	5	20	11	30	17	16	4	25	5	12	9	6					
8	Число бюллетеней в стационарных ящиках для голосования	25767	159	304	703	881	615	489	862	1031	524	713	759	663	533	1549	1643	338	273	629	700	497	117	72	439	130	84	146	340	154	314	331	628	307	56	375	445	68	384	94	331	675	187	174	130	113	436	543	363	350	587	96	660	51	321	157	356	174	294	119	338	197	245	353	168					
9	Число недействительных избирательных бюллетеней	323	4	1	5	18	14	7	8	16	8	8	10	5	4	19	19	6	2	10	0	6	3	0	5	0	1	0	3	1	6	2	4	8	0	9	6	2	7	0	4	8	2	3	1	3	4	6	7	6	8	2	5	0	6	3	2	2	6	0	8	4	2	4	0					
10	Число действительных избирательных бюллетеней	27477	186	303	766	922	633	566	894	1071	557	756	776	691	610	1584	1741	376	293	651	739	505	130	76	456	139	84	160	365	177	342	329	807	341	64	466	503	71	397	106	352	726	198	177	129	115	493	552	373	382	628	99	724	56	335	165	384	189	304	123	355	198	255	358	174					
