Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Кондопожская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34625	338	477	1774	1621	1733	1921	2634	2826	2046	1452	1987	1495	1508	1109	1334	1150	1517	548	1649	313	526	255	1061	119	194	619	770	138	329	1182									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23749	235	320	1200	1100	1200	1350	1800	1950	1420	1010	1380	1030	1045	770	920	800	850	380	1115	249	350	175	740	85	135	430	540	100	220	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12678	149	134	650	618	602	749	976	1140	916	507	835	569	580	512	483	395	440	255	507	154	147	69	260	29	59	101	268	50	79	445									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	551	2	20	5	6	11	8	48	3	6	4	9	7	2	3	3	4	1	6	76	3	60	23	29	3	0	72	53	14	38	32									
6	Число погашенных избирательных бюллетеней	10520	84	166	545	476	587	593	776	807	498	499	536	454	463	255	434	401	409	119	532	92	143	83	451	53	76	257	219	36	103	373									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	551	2	20	5	6	11	8	48	3	6	4	9	7	2	3	3	4	1	6	76	3	60	23	29	3	0	72	53	14	38	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12675	149	134	650	618	601	749	976	1140	916	507	833	569	580	512	483	395	440	255	507	154	147	69	260	29	59	101	268	50	79	445									
9	Число недействительных избирательных бюллетеней	405	3	5	15	23	27	27	26	55	27	24	23	12	14	17	14	17	18	5	12	6	9	3	3	1	0	2	6	0	2	9									
10	Число действительных избирательных бюллетеней	12821	148	149	640	601	585	730	998	1088	895	487	819	564	568	498	472	382	423	256	571	151	198	89	286	31	59	171	315	64	115	468									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	435	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	10	10	15	15	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	109	1	2	4	6	8	9	6	9	2	5	4	6	2	4	5	5	1	0	4	1	2	0	2	0	0	2	9	0	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	129	2	1	2	5	6	1	1	4	5	2	1	3	1	1	0	2	2	2	14	20	7	3	10	0	2	9	9	4	7	3									
14	Число погашенных неиспользованных открепительных удостоверений	326	14	13	11	9	7	6	9	6	13	10	11	9	13	11	10	10	14	15	11	14	13	15	13	10	10	13	6	10	15	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	2	0	0	1	5	1	1	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
