Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
"Наименование Избирательной комиссии:    Махачкала, Советская"																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93052	2035	1125	1209	1748	1683	1628	1718	1153	1335	1667	1855	1548	456	1782	1770	1717	1646	1877	929	1878	1727	2190	1334	1720	1120	1244	1415	1856	1151	1391	1050	2681	1616	1955	2838	1087	1159	850	1023	1551	1180	1052	1143	1200	1211	1361	1803	944	1210	2004	2192	2777	1590	2034	1720	1176	2659	1110	1043	1926									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88100	1950	1050	1150	1650	1600	1550	1600	1100	1250	1550	1750	1400	400	1700	1700	1650	1550	1550	900	1800	1650	2100	1250	1650	1000	1200	1350	1750	1100	1350	1000	2550	1550	1850	2700	1050	1100	800	950	1500	1100	1000	1100	1150	1150	1300	1700	900	1150	1900	2100	2650	1500	1950	1650	1100	2500	1050	1000	1850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	75929	1585	175	731	1632	793	500	1581	290	363	310	1452	206	290	1520	1657	1601	1432	1544	253	1711	1624	1554	1240	1497	997	1178	1314	1706	1082	1300	960	2528	1375	1830	2675	1021	1084	714	901	1262	999	984	1041	1132	1148	1233	1699	898	1141	1894	2081	2601	1428	1897	1637	1090	2405	1038	984	1131									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	510	65	2	0	15	296	0	0	0	2	2	0	3	0	0	0	0	0	0	0	22	10	0	2	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	10	0	0	0	0	0	0	0	4	1	0	55	1	0	10									
6	Число погашенных избирательных бюллетеней	11661	300	873	419	3	511	1050	19	810	885	1238	298	1191	110	180	43	49	118	6	647	67	16	546	8	150	3	22	36	44	16	50	40	22	174	20	25	29	16	86	49	238	101	16	58	17	0	57	1	2	9	6	19	49	72	49	12	10	40	11	16	709									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	508	65	2	0	15	296	0	0	0	2	2	0	3	0	0	0	0	0	0	0	22	10	0	2	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	10	0	0	0	0	0	0	0	4	1	0	55	1	0	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	75862	1585	175	731	1632	793	500	1581	249	363	310	1452	206	290	1520	1657	1601	1432	1544	253	1711	1624	1554	1240	1497	997	1178	1314	1706	1082	1300	960	2528	1375	1830	2675	1021	1084	714	876	1262	999	984	1041	1132	1148	1233	1699	898	1141	1894	2081	2601	1428	1897	1637	1090	2405	1037	984	1131									
9	Число недействительных избирательных бюллетеней	552	16	10	14	0	5	6	11	18	18	23	8	0	29	0	0	146	0	0	15	2	0	0	0	0	0	0	35	3	0	0	0	0	1	0	0	0	0	36	28	7	35	0	3	5	0	0	0	0	0	0	0	6	0	0	4	0	0	3	0	65									
10	Число действительных избирательных бюллетеней	75818	1634	167	717	1647	1084	494	1570	231	347	289	1444	209	261	1520	1657	1455	1432	1544	238	1731	1634	1554	1242	1500	997	1178	1279	1703	1084	1300	960	2528	1375	1830	2675	1021	1084	678	848	1255	964	984	1039	1128	1150	1243	1699	898	1141	1894	2081	2595	1428	1901	1634	1090	2460	1035	984	1074									
