Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Шатровская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023					
1	"Число избирателей, внесенных в списки"	17533	1356	1400	984	390	777	208	1200	39	259	154	274	512	134	174	694	677	96	777	180	480	253	1662	410	538	108	100	80	310	79	758	169	184	411	169	546	138	122	71	353	307					
2	"Число бюллетеней, полученных участковыми комиссиями"	17948	1375	1420	990	800	785	205	1195	40	251	155	262	500	131	176	700	687	90	765	175	475	250	1670	415	535	102	100	80	316	80	762	178	185	407	170	540	140	118	70	360	293					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10020	731	745	501	380	375	134	563	31	190	112	184	315	95	95	374	372	66	368	131	345	204	792	209	320	71	88	55	213	45	397	76	132	271	117	279	77	90	51	228	198					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1007	34	39	36	10	19	21	50	0	24	4	32	37	7	11	92	75	9	66	13	19	0	60	43	42	4	0	6	41	6	55	48	0	12	0	16	5	0	0	34	37					
6	Число погашенных бюллетеней	6921	610	636	453	410	391	50	582	9	37	39	46	148	29	70	234	240	15	331	31	111	46	818	163	173	27	12	19	62	29	310	54	53	124	53	245	58	28	19	98	58					
7	Число бюллетеней в переносных ящиках для голосования	1007	34	39	36	10	19	21	50	0	24	4	32	37	7	11	92	75	9	66	13	19	0	60	43	42	4	0	6	41	6	55	48	0	12	0	16	5	0	0	34	37					
8	Число бюллетеней в стационарных ящиках для голосования	10018	729	745	501	380	374	134	563	31	190	112	184	315	95	95	374	372	66	368	131	346	204	792	209	320	71	88	55	213	45	397	76	132	271	117	279	77	90	51	228	198					
9	Число недействительных бюллетеней	140	18	5	4	0	1	2	14	0	2	4	2	6	0	0	11	8	0	2	0	10	0	11	4	4	4	1	0	1	1	2	1	1	5	3	9	1	0	0	1	2					
10	Число действительных бюллетеней	10885	745	779	533	390	392	153	599	31	212	112	214	346	102	106	455	439	75	432	144	355	204	841	248	358	71	87	61	253	50	450	123	131	278	114	286	81	90	51	261	233					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	354	28	26	21	16	14	4	21	1	5	3	5	10	3	4	14	13	2	16	4	9	6	34	8	10	2	2	2	5	1	15	4	4	8	3	10	3	2	2	8	6					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	44	8	3	1	0	3	0	3	0	0	0	3	0	0	0	3	1	0	3	0	0	1	4	0	1	0	0	0	2	0	5	0	0	0	0	0	0	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	47	3	1	0	1	1	1	5	0	1	0	0	4	1	0	3	1	2	2	1	1	4	4	1	1	2	0	0	0	0	2	0	0	1	0	3	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	310	20	23	20	16	11	4	18	1	5	3	2	10	3	4	11	12	2	13	4	9	5	30	8	9	2	2	2	3	1	10	4	4	8	3	10	3	2	2	6	5					
15	Число открепительных удостоверений выданных ТИК	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	128	5	7	10	5	10	1	4	0	6	1	2	6	0	1	6	2	0	2	7	9	2	14	7	2	0	0	1	3	0	3	0	1	1	2	1	0	0	0	5	2					
		1.16%	0.65%	0.89%	1.86%	1.28%	2.54%	0.64%	0.65%	0.0%	2.80%	0.86%	0.92%	1.70%	0.0%	0.94%	1.28%	0.44%	0.0%	0.46%	4.86%	2.46%	0.98%	1.64%	2.77%	0.55%	0.0%	0.0%	1.63%	1.18%	0.0%	0.66%	0.0%	0.75%	0.35%	1.70%	0.33%	0.0%	0.0%	0.0%	1.90%	0.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	68	2	8	8	4	5	3	2	0	1	1	0	4	0	0	1	1	3	1	0	2	1	5	1	3	1	1	0	0	0	3	4	0	2	0	0	0	0	0	1	0					
		0.61%	0.26%	1.02%	1.48%	1.02%	1.27%	1.93%	0.32%	0.0%	0.46%	0.86%	0.0%	1.13%	0.0%	0.0%	0.21%	0.22%	4.0%	0.23%	0.0%	0.54%	0.49%	0.58%	0.39%	0.82%	1.33%	1.13%	0.0%	0.0%	0.0%	0.66%	3.22%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%					
