Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Унечская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32420	1182	1379	1647	1364	2000	2491	871	2552	1330	2736	1796	2669	226	226	351	244	506	747	299	409	419	308	533	550	245	429	526	382	390	486	144	150	131	279	585	337	499	688	314									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33325	1200	1410	1670	1400	2030	2510	870	2550	1350	2760	1830	2720	235	240	365	260	530	775	310	430	440	320	540	560	250	700	540	405	415	490	145	160	135	290	590	350	500	720	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14050	460	511	537	577	719	1109	346	968	503	1174	648	1306	136	108	132	122	284	362	143	140	193	168	280	295	91	340	413	165	185	219	81	71	66	135	269	161	229	267	137									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2184	52	38	60	15	50	37	56	102	60	34	139	101	11	40	83	44	48	54	22	61	96	68	60	60	56	89	27	68	24	72	20	21	27	42	70	74	32	113	58									
6	Число погашенных избирательных бюллетеней	17091	688	861	1073	808	1261	1364	468	1480	787	1552	1043	1313	88	92	150	94	198	359	145	229	151	84	200	205	103	271	100	172	206	199	44	68	42	113	251	115	239	340	135									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2184	52	38	60	15	50	37	56	102	60	34	139	101	11	40	83	44	48	54	22	61	96	68	60	60	56	89	27	68	24	72	20	21	27	42	70	74	32	113	58									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14048	460	511	537	576	719	1109	346	968	503	1174	648	1306	136	108	132	122	283	362	143	140	193	168	280	295	91	340	413	165	185	219	81	71	66	135	269	161	229	267	137									
9	Число недействительных избирательных бюллетеней	335	13	16	20	15	18	30	7	20	10	29	28	17	1	2	8	3	11	8	4	6	2	9	4	8	0	3	3	0	3	0	1	1	1	2	3	1	12	11	5									
10	Число действительных избирательных бюллетеней	15897	499	533	577	576	751	1116	395	1050	553	1179	759	1390	146	146	207	163	320	408	161	195	287	227	336	347	147	426	437	233	206	291	100	91	92	175	336	234	249	369	190									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	236	10	10	10	15	11	15	10	10	10	15	10	8	6	7	5	4	4	4	4	4	4	4	4	4	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	180	4	10	10	10	11	12	1	10	10	11	10	8	0	2	5	4	4	4	3	4	0	4	0	4	3	3	4	4	4	0	0	3	3	3	3	2	1	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	92	0	2	2	3	6	32	1	3	4	1	1	7	0	0	1	1	1	0	3	1	1	0	2	1	0	0	3	2	0	1	3	1	0	2	2	1	0	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	56	6	0	0	5	0	3	9	0	0	4	0	0	6	5	0	0	0	0	1	0	4	0	4	0	0	0	0	0	0	3	3	0	0	0	0	1	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	102	9	4	6	6	4	5	2	5	1	6	3	15	0	1	0	1	1	1	1	6	5	4	1	1	1	0	4	1	0	2	0	0	0	1	0	0	0	3	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	340	9	10	18	17	20	35	14	24	18	21	11	20	6	0	1	0	7	13	3	9	0	1	10	5	4	10	8	7	3	3	1	1	1	1	3	10	2	8	6									
		2.09%	1.76%	1.82%	3.02%	2.88%	2.60%	3.05%	3.48%	2.24%	3.20%	1.74%	1.40%	1.42%	4.08%	0.00%	0.47%	0.00%	2.11%	3.13%	1.82%	4.48%	0.00%	0.42%	2.94%	1.41%	2.72%	2.33%	1.82%	3.00%	1.44%	1.03%	0.99%	1.09%	1.08%	0.56%	0.88%	4.26%	0.77%	2.11%	3.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	452	13	16	23	37	25	3	28	3	22	42	27	44	4	5	3	4	11	10	8	8	6	2	14	6	1	7	18	3	8	6	13	1	0	7	5	4	4	7	4									
		2.78%	2.54%	2.91%	3.85%	6.26%	3.25%	0.26%	6.97%	0.28%	3.91%	3.48%	3.43%	3.13%	2.72%	3.38%	1.40%	2.41%	3.32%	2.40%	4.85%	3.98%	2.08%	0.85%	4.12%	1.69%	0.68%	1.63%	4.09%	1.29%	3.83%	2.06%	12.87%	1.09%	0.00%	3.95%	1.47%	1.70%	1.53%	1.84%	2.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	199	15	9	12	9	14	1	4	3	11	20	6	18	1	2	4	4	0	14	2	3	0	3	8	2	0	4	3	6	2	6	1	2	0	0	4	0	0	5	1									
		1.23%	2.93%	1.64%	2.01%	1.52%	1.82%	0.09%	0.99%	0.28%	1.95%	1.66%	0.76%	1.28%	0.68%	1.35%	1.86%	2.41%	0.00%	3.37%	1.21%	1.49%	0.00%	1.27%	2.35%	0.56%	0.00%	0.93%	0.68%	2.58%	0.96%	2.06%	0.99%	2.17%	0.00%	0.00%	1.18%	0.00%	0.00%	1.32%	0.51%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8888	238	250	247	222	349	591	193	532	258	541	392	839	87	95	125	109	193	235	99	112	222	160	213	238	98	300	310	149	154	173	71	61	45	116	220	176	129	233	113									
