Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Бахчисарайская																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	73739	261	1231	1513	1303	1415	1053	1532	1652	1320	1559	892	1723	1512	1928	1915	1312	1613	661	840	1166	484	391	2294	483	1024	972	2044	896	303	812	439	884	412	860	784	721	694	355	2534	1947	1130	802	673	1439	976	1689	404	331	847	247	233	432	669	1297	1349	1562	752	1268	1319	287	1779	1088	505	1009	896	133	248	1578	732	727	266	559	334	335	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64400	200	1000	1200	1100	1100	900	1300	1400	1100	1300	750	1400	1100	1700	1700	1100	1300	600	750	1000	400	350	2000	450	900	850	1900	800	250	700	400	800	400	800	700	650	650	350	2200	1600	1000	650	600	1350	900	1500	350	300	750	200	200	400	600	1150	1200	1400	650	1150	1250	250	1600	1000	500	800	900	100	200	1400	700	600	300	500	300	300	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30946	86	439	483	448	677	144	589	702	432	227	372	730	482	903	880	646	655	367	432	245	174	162	874	235	252	235	1016	399	152	212	159	435	227	320	461	400	370	208	1151	1311	601	457	335	739	428	790	200	153	433	125	125	122	283	489	509	520	287	542	521	129	680	550	257	453	419	64	125	681	282	288	138	226	108	144	51									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2116	0	13	12	20	21	5	47	58	7	2	25	26	8	44	15	14	171	15	10	10	15	16	44	11	27	24	31	24	7	23	12	21	15	24	29	13	31	16	84	54	32	31	29	69	29	56	11	14	23	19	6	11	14	23	55	46	25	71	35	9	46	34	15	21	22	5	7	45	18	34	128	30	20	7	32									
6	Число погашенных избирательных бюллетеней	31338	114	548	705	632	402	751	664	640	661	1071	353	644	610	753	805	440	474	218	308	745	211	172	1082	204	621	591	853	377	91	465	229	344	158	456	210	237	249	126	965	235	367	162	236	542	443	654	139	133	294	56	69	267	303	638	636	834	338	537	694	112	874	416	228	326	459	31	68	674	400	278	34	244	172	149	117									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2116	0	13	12	20	21	5	47	58	7	2	25	26	8	44	15	14	171	15	10	10	15	16	44	11	27	24	31	24	7	23	12	21	15	24	29	13	31	16	84	54	32	31	29	69	29	56	11	14	23	19	6	11	14	23	55	46	25	71	35	9	46	34	15	21	22	5	7	45	18	34	128	30	20	7	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30945	86	439	483	448	677	144	589	702	432	227	372	730	482	903	880	646	655	367	432	245	174	162	874	235	252	235	1016	399	152	212	159	435	227	320	461	400	370	208	1151	1311	601	457	335	739	428	790	200	153	433	125	125	122	283	489	508	520	287	542	521	129	680	550	257	453	419	64	125	681	282	288	138	226	108	144	51									
9	Число недействительных избирательных бюллетеней	680	1	7	13	14	13	13	19	5	9	12	9	15	22	11	19	11	19	6	9	17	0	2	18	7	6	6	12	10	1	1	0	17	5	13	15	10	9	3	20	7	9	8	4	10	6	12	4	0	7	1	2	8	4	9	6	23	6	11	9	3	11	10	7	23	8	2	7	28	7	6	1	13	4	1	4									
10	Число действительных избирательных бюллетеней	32381	85	445	482	454	685	136	617	755	430	217	388	741	468	936	876	649	807	376	433	238	189	176	900	239	273	253	1035	413	158	234	171	439	237	331	475	403	392	221	1215	1358	624	480	360	798	451	834	207	167	449	143	129	125	293	503	557	543	306	602	547	135	715	574	265	451	433	67	125	698	293	316	265	243	124	150	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1556	5	26	31	27	24	23	33	35	27	33	19	36	28	40	43	28	34	14	18	24	10	8	49	10	22	20	43	19	6	17	9	34	9	18	17	15	15	8	52	40	24	15	14	30	20	35	9	7	18	5	5	9	14	27	28	33	16	26	28	6	38	23	11	18	21	3	5	33	15	15	10	12	7	7	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	367	2	8	4	7	7	3	16	9	5	1	9	14	10	20	15	14	17	6	1	0	4	1	15	3	0	0	13	3	3	1	1	6	5	2	9	0	11	2	3	9	1	1	3	6	0	5	2	0	2	1	0	0	2	8	5	2	4	5	2	1	9	3	1	8	6	1	2	7	2	2	8	4	2	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	475	6	14	13	16	1	14	8	3	14	2	8	9	16	5	8	9	0	10	2	1	3	5	2	4	3	2	6	4	2	2	3	3	2	2	5	2	5	3	8	17	3	77	5	4	9	11	1	4	3	3	1	1	2	1	3	3	3	3	2	3	6	4	1	8	6	3	6	10	4	3	8	2	6	6	18									
14	Число погашенных неиспользованных открепительных удостоверений	1189	3	18	27	20	17	20	17	26	22	32	10	22	18	20	28	14	17	8	17	24	6	7	34	7	22	20	30	16	3	16	8	28	4	16	8	15	4	6	49	31	23	14	11	24	20	30	7	7	16	4	5	9	12	19	23	31	12	21	26	5	29	20	10	10	15	2	3	26	13	13	2	8	5	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	412	2	4	7	2	11	3	4	13	9	3	4	12	8	14	12	11	14	5	5	4	6	0	13	3	0	2	13	4	0	2	0	5	0	5	2	8	4	3	19	8	8	7	7	8	8	7	3	1	10	0	0	4	3	8	15	3	8	5	5	1	12	3	2	7	3	0	1	10	6	5	1	2	2	3	0									
