Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Зубцовская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК  284	УИК  285	УИК  286	УИК  287	УИК  288	УИК  289	УИК  290	УИК  291	УИК  292	УИК  293	УИК  294	УИК  295	УИК  296	УИК  297	УИК  298	УИК  299	УИК  300	УИК  301	УИК  302	УИК  303	УИК  304	УИК  305	УИК  306	УИК  307	УИК  308	УИК  309	УИК  310	УИК  311	УИК  312	УИК  313	УИК  314	УИК  315	УИК  316	УИК  317					
1	"Число избирателей, внесенных в списки"	14925	1070	2039	1401	591	931	121	202	375	279	83	402	462	179	157	979	333	433	153	130	205	135	284	1213	468	135	265	179	167	134	121	193	356	366	384					
2	"Число бюллетеней, полученных участковыми комиссиями"	14962	1062	2064	1424	586	928	120	204	378	282	79	405	456	186	155	989	332	433	156	128	204	134	290	1216	466	132	265	178	166	131	119	192	355	366	381					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7735	572	1184	859	346	486	58	58	172	166	53	160	137	105	77	460	130	223	79	49	71	81	157	711	169	53	115	64	95	80	60	98	182	169	256					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2247	48	25	33	29	46	37	111	82	39	11	91	161	45	38	151	121	123	61	46	88	30	61	82	98	25	59	57	43	31	44	85	83	101	62					
6	Число погашенных бюллетеней	4980	442	855	532	211	396	25	35	124	77	15	154	158	36	40	378	81	87	16	33	45	23	72	423	199	54	91	57	28	20	15	9	90	96	63					
7	Число бюллетеней в переносных ящиках для голосования	2247	48	25	33	29	46	37	111	82	39	11	91	161	45	38	151	121	123	61	46	88	30	61	82	98	25	59	57	43	31	44	85	83	101	62					
8	Число бюллетеней в стационарных ящиках для голосования	7734	572	1184	859	345	486	58	58	172	166	53	160	137	105	77	460	130	223	79	49	71	81	157	711	169	53	115	64	95	80	60	98	182	169	256					
9	Число недействительных бюллетеней	119	10	10	14	6	13	0	1	2	2	0	0	0	0	2	9	0	1	0	0	6	1	6	11	5	2	3	0	1	0	2	1	5	3	3					
10	Число действительных бюллетеней	9862	610	1199	878	368	519	95	168	252	203	64	251	298	150	113	602	251	345	140	95	153	110	212	782	262	76	171	121	137	111	102	182	260	267	315					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	30	30	30	10	20	5	5	5	5	5	15	10	10	5	20	10	10	5	5	5	5	5	20	15	5	5	5	5	5	5	5	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	2	9	13	3	8	0	0	1	5	0	2	0	8	1	6	2	2	5	0	0	0	4	1	0	0	0	0	0	0	0	0	1	0	0					
