Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																					
Дата голосования: 04.12.2011																																																					
																																																					
Наименование Избирательной комиссии:    Новооскольская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839					
1	"Число избирателей, внесенных в список избирателей"	35990	2006	2021	1972	2078	1771	2400	2422	2390	1006	682	294	598	215	590	253	345	265	135	546	158	1542	686	154	378	242	600	445	114	994	1020	300	196	709	964	937	343	283	625	653	815	507	197	554	230	181	174					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	35970	2000	2000	2000	2000	1700	2000	2200	2200	1000	740	310	620	220	650	250	370	290	140	570	170	1600	730	160	400	250	650	460	120	1050	1050	320	200	750	1000	1000	350	300	650	680	850	540	200	600	240	200	190					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27383	1569	1660	1209	1592	1150	1731	1909	2046	803	507	214	417	183	422	153	235	214	124	414	143	1097	554	113	316	166	469	231	91	657	892	228	131	565	733	811	290	246	496	538	629	356	139	477	193	130	140					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4164	131	80	119	154	174	119	153	79	169	137	67	171	21	160	93	94	43	9	122	11	115	105	29	52	67	102	175	19	155	64	25	22	133	123	75	52	37	98	86	182	125	48	59	33	48	29					
6	Число погашенных избирательных бюллетеней	4423	300	260	672	254	376	150	138	75	28	96	29	32	16	68	4	41	33	7	34	16	388	71	18	32	17	79	54	10	238	94	67	47	52	144	114	8	17	56	56	39	59	13	64	14	22	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4164	131	80	119	154	174	119	153	79	169	137	67	171	21	160	93	94	43	9	122	11	115	105	29	52	67	102	175	19	155	64	25	22	133	123	75	52	37	98	86	182	125	48	59	33	48	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27382	1569	1660	1209	1592	1150	1731	1909	2045	803	507	214	417	183	422	153	235	214	124	414	143	1097	554	113	316	166	469	231	91	657	892	228	131	565	733	811	290	246	496	538	629	356	139	477	193	130	140					
9	Число недействительных избирательных бюллетеней	432	22	31	23	50	21	31	53	33	1	7	1	0	0	0	1	2	8	1	0	0	13	0	1	0	0	0	0	0	99	0	2	3	0	13	6	2	0	0	0	2	5	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	31114	1678	1709	1305	1696	1303	1819	2009	2091	971	637	280	588	204	582	245	327	249	132	536	154	1199	659	141	368	233	571	406	110	713	956	251	150	698	843	880	340	283	594	624	809	476	187	535	226	178	169					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	653	55	50	50	40	40	40	42	50	10	20	3	3	2	12	10	5	5	4	2	2	20	10	2	6	2	26	7	7	30	15	5	2	10	12	10	2	2	10	5	5	5	2	6	2	2	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	593	55	49	44	36	40	37	42	50	9	20	3	0	0	12	2	5	2	4	1	0	20	10	0	6	1	26	3	4	30	14	5	2	6	10	8	2	2	7	4	5	5	2	6	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	344	28	30	17	15	18	15	18	15	9	7	2	5	2	3	8	4	3	4	7	3	6	2	7	5	4	4	12	6	10	10	4	3	2	4	7	6	4	6	3	2	4	10	3	3	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	1	6	4	0	3	0	0	1	0	0	3	2	0	8	0	3	0	1	2	0	0	2	0	1	0	4	3	0	1	0	0	4	2	2	0	0	3	1	0	0	0	0	2	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	4	2	2	2	0	3	3	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2075	183	174	142	86	146	224	153	205	25	21	6	11	7	17	19	9	6	11	12	3	147	13	7	5	7	25	10	8	46	51	30	25	13	59	70	3	13	11	17	9	14	5	14	7	4	2					
		6.58%	10.76%	10.00%	10.69%	4.93%	11.03%	12.11%	7.42%	9.65%	2.57%	3.26%	2.14%	1.87%	3.43%	2.92%	7.72%	2.74%	2.33%	8.27%	2.24%	1.95%	12.13%	1.97%	4.93%	1.36%	3.00%	4.38%	2.46%	7.27%	5.67%	5.33%	11.86%	16.34%	1.86%	6.89%	7.90%	0.88%	4.59%	1.85%	2.72%	1.11%	2.91%	2.67%	2.61%	3.10%	2.25%	1.18%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1757	157	145	188	93	154	194	136	251	10	9	0	2	3	2	17	9	3	1	7	1	117	6	6	2	2	4	3	1	43	10	32	16	2	47	57	1	2	1	8	4	3	2	5	0	0	1					
		5.57%	9.24%	8.33%	14.16%	5.33%	11.63%	10.49%	6.60%	11.82%	1.03%	1.40%	0.00%	0.34%	1.47%	0.34%	6.91%	2.74%	1.17%	0.75%	1.31%	0.65%	9.65%	0.91%	4.23%	0.54%	0.86%	0.70%	0.74%	0.91%	5.30%	1.05%	12.65%	10.46%	0.29%	5.49%	6.43%	0.29%	0.71%	0.17%	1.28%	0.49%	0.62%	1.07%	0.93%	0.00%	0.00%	0.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	144	18	14	16	17	11	16	10	12	0	2	0	1	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	1	3	4	3	0	7	2	0	1	0	1	0	0	0	0	0	0	0					
		0.46%	1.06%	0.80%	1.20%	0.97%	0.83%	0.86%	0.48%	0.56%	0.00%	0.31%	0.00%	0.17%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.19%	0.00%	0.08%	0.15%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.31%	1.58%	1.96%	0.00%	0.82%	0.23%	0.00%	0.35%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4107	303	351	386	160	317	430	410	438	20	19	3	10	3	101	13	13	4	13	25	4	288	44	22	9	3	16	13	1	163	102	63	28	13	121	104	9	15	9	23	11	9	4	6	2	3	3					
		13.02%	17.82%	20.17%	29.07%	9.16%	23.94%	23.24%	19.88%	20.62%	2.06%	2.95%	1.07%	1.70%	1.47%	17.35%	5.28%	3.95%	1.56%	9.77%	4.66%	2.60%	23.76%	6.68%	15.49%	2.45%	1.29%	2.80%	3.20%	0.91%	20.07%	10.67%	24.90%	18.30%	1.86%	14.14%	11.74%	2.63%	5.30%	1.52%	3.69%	1.36%	1.87%	2.14%	1.12%	0.88%	1.69%	1.78%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	218	20	23	17	16	23	34	21	25	3	1	0	1	0	0	0	1	0	1	1	0	9	0	0	0	0	0	0	0	1	3	1	3	0	10	3	0	0	0	0	0	0	0	1	0	0	0					
		0.69%	1.18%	1.32%	1.28%	0.92%	1.74%	1.84%	1.02%	1.18%	0.31%	0.16%	0.00%	0.17%	0.00%	0.00%	0.00%	0.30%	0.00%	0.75%	0.19%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.31%	0.40%	1.96%	0.00%	1.17%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22754	993	999	553	1315	650	914	1273	1154	913	585	271	562	191	462	195	294	236	106	490	146	632	593	104	352	221	526	380	100	458	785	121	74	670	594	644	327	252	573	575	785	450	176	509	217	171	163					
		72.13%	58.41%	57.41%	41.64%	75.32%	49.09%	49.41%	61.74%	54.33%	93.93%	90.84%	96.44%	95.58%	93.63%	79.38%	79.27%	89.36%	91.83%	79.70%	91.42%	94.81%	52.15%	89.98%	73.24%	95.65%	94.85%	92.12%	93.60%	90.91%	56.40%	82.11%	47.83%	48.37%	95.99%	69.39%	72.69%	95.61%	89.05%	96.46%	92.15%	96.79%	93.56%	94.12%	94.96%	96.02%	96.07%	96.45%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	59	4	3	3	9	2	7	6	6	0	0	0	1	0	0	0	1	0	0	0	0	5	2	1	0	0	0	0	0	1	2	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0					
		0.19%	0.24%	0.17%	0.23%	0.52%	0.15%	0.38%	0.29%	0.28%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.41%	0.30%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.21%	0.00%	0.65%	0.00%	0.58%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
																																																					
