Выборы Президента Российской Федерации																																																																																					
																																																																																					
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178					
1	"Число избирателей, внесенных в список"	160676	2038	1976	1460	2048	2152	2267	2070	2368	2533	2144	1991	2096	2075	1968	2517	2705	2343	2430	1497	2286	1405	1317	2070	2035	2265	1237	2043	2089	2112	2213	1586	2424	2572	2019	2434	2411	1372	1255	2292	1481	2114	2080	2070	1367	2035	2044	2143	2252	2683	2390	2330	2311	1522	2595	2183	1583	2813	2209	2379	2169	2461	2061	1435	2309	2414	2500	2621	2485	2569	2673	1590	2293	2218	675	577	627	2066	2234					
2	Число полученных избирательных бюллетеней	161030	2030	2020	1470	2090	2180	2310	2080	2400	2230	2160	2010	2120	2140	2010	2480	2720	2370	2420	1470	2280	1400	1320	2050	2040	2270	1230	2030	2090	2110	2230	1520	2440	2620	2040	2430	2400	1370	1260	2300	1490	2100	2090	2130	1370	2040	2050	2150	2250	2670	2390	2350	2300	1510	2590	2170	1590	2840	2210	2380	2170	2460	2070	1470	2300	2430	2480	2680	2510	2610	2680	1600	2370	2220	660	570	610	2090	2240					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	80355	998	1006	719	1124	1046	1079	1005	1153	1444	1114	1052	1096	1084	1023	1130	1284	1075	1133	721	1171	677	598	1144	929	1195	579	878	1261	1178	1144	828	1346	1417	1140	1267	1260	811	668	1225	717	1169	1072	1019	719	1085	1116	1230	1272	1343	1298	1139	962	743	1308	1110	661	1345	1132	1250	1146	1366	997	693	1188	1178	1120	1422	1254	1163	1238	603	862	894	293	265	255	862	864					
5	"Число избирательных бюллетеней, выданных вне помещения"	2125	30	27	24	30	6	47	42	31	5	17	18	8	8	34	47	51	18	9	42	17	39	38	16	38	43	3	14	26	16	17	66	29	42	9	11	21	5	12	16	44	15	22	39	15	10	11	18	18	40	28	18	56	11	55	12	8	10	13	12	15	8	43	21	1	14	7	8	17	19	20	37	124	61	68	39	91	28	77					
6	Число погашенных избирательных бюллетеней	78550	1002	987	727	936	1128	1184	1033	1216	781	1029	940	1016	1048	953	1303	1385	1277	1278	707	1092	684	684	890	1073	1032	648	1138	803	916	1069	626	1065	1161	891	1152	1119	554	580	1059	729	916	996	1072	636	945	923	902	960	1287	1064	1193	1282	756	1227	1048	921	1485	1065	1118	1009	1086	1030	756	1111	1238	1353	1250	1239	1428	1422	960	1384	1265	299	266	264	1200	1299					
7	Число избирательных бюллетеней в переносных ящиках	2125	30	27	24	30	6	47	42	31	5	17	18	8	8	34	47	51	18	9	42	17	39	38	16	38	43	3	14	26	16	17	66	29	42	9	11	21	5	12	16	44	15	22	39	15	10	11	18	18	40	28	18	56	11	55	12	8	10	13	12	15	8	43	21	1	14	7	8	17	19	20	37	124	61	68	39	91	28	77					
8	Число бюллетеней в стационарных ящиках для голосования	80319	998	1006	719	1124	1046	1079	1005	1148	1444	1114	1052	1096	1084	1023	1130	1284	1075	1133	721	1171	677	596	1144	928	1195	578	870	1261	1178	1144	828	1345	1417	1140	1267	1260	811	668	1219	717	1169	1072	1019	719	1085	1116	1228	1272	1340	1298	1139	962	743	1308	1109	661	1344	1132	1249	1146	1366	997	693	1188	1176	1119	1422	1254	1163	1237	603	862	894	293	265	255	862	864					
9	Число недействительных избирательных бюллетеней	541	12	6	4	6	10	14	3	6	12	8	5	5	2	2	9	8	10	10	7	6	4	4	4	11	5	7	6	10	6	2	7	7	8	6	3	5	6	3	12	9	6	8	7	4	7	8	6	0	9	13	2	9	2	11	8	0	13	4	14	10	9	8	4	10	3	10	5	7	11	7	4	4	16	5	4	6	8	9					
10	Число действительных избирательных бюллетеней	81903	1016	1027	739	1148	1042	1112	1044	1173	1437	1123	1065	1099	1090	1055	1168	1327	1083	1132	756	1182	712	630	1156	955	1233	574	878	1277	1188	1159	887	1367	1451	1143	1275	1276	810	677	1223	752	1178	1086	1051	730	1088	1119	1240	1290	1371	1313	1155	1009	752	1352	1113	669	1341	1141	1247	1151	1365	1032	710	1179	1187	1116	1425	1264	1171	1250	636	982	939	356	300	340	882	932					
