Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Ставропольская - 161																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3512	УИК №3513	УИК №3521	УИК №3530	УИК №3531	УИК №3532									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10963	1556	715	903	2295	327	1000	1392	440	335	537	1247	216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10855	1550	760	900	2200	300	955	1430	450	310	540	1240	220									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6638	937	427	555	1328	231	551	1172	312	212	301	522	90									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1036	111	69	179	33	44	32	94	91	40	55	258	30									
6	Число погашенных избирательных бюллетеней	3181	502	264	166	839	25	372	164	47	58	184	460	100									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1036	111	69	179	33	44	32	94	91	40	55	258	30									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6638	937	427	555	1328	231	551	1172	312	212	301	522	90									
9	Число недействительных избирательных бюллетеней	279	134	14	16	44	5	11	24	7	3	6	9	6									
10	Число действительных избирательных бюллетеней	7395	914	482	718	1317	270	572	1242	396	249	350	771	114									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	50	40	30	50	10	30	40	20	20	30	40	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	155	49	40	7	12	10	9	0	0	1	15	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	103	4	6	21	12	8	6	9	1	17	8	8	3									
14	Число погашенных неиспользованных открепительных удостоверений	215	1	0	23	38	0	21	40	20	19	15	33	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	2	1	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	92	16	6	17	19	0	9	5	3	2	6	7	2									
		1.20%	1.53%	1.21%	2.32%	1.40%	0.00%	1.54%	0.39%	0.74%	0.79%	1.69%	0.90%	1.67%									
