Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Архангельск, Ломоносовская"																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073					
1	"Число избирателей, внесенных в списки"	59241	2769	2106	2338	2405	2635	2225	2728	2415	1692	2809	2868	2448	2621	1978	2107	2611	2643	2683	2505	2018	2543	2455	2306	1933	176	161	60	114	24	23	23	24	24	23	21	19	41	20	20	21	20	20	23	24	20	21	17	17	18	18	18	18	15	15	15	17	17	16	15	16	15	18	10	10	20	23	17	9	17	16	15	14	13	14	35					
2	"Число бюллетеней, полученных участковыми комиссиями"	54448	2500	1800	2000	2200	2300	2000	2500	2000	1500	2500	2500	2300	2500	1800	2200	2495	2500	2500	2300	2000	2300	2200	2100	1800	200	200	100	150	26	25	28	25	24	23	25	25	45	28	20	21	20	25	23	30	25	21	20	20	20	20	20	18	18	15	20	20	20	20	20	20	20	20	12	10	25	30	20	12	17	16	15	14	13	14	35					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	23	23	24	24	23	21	19	41	0	20	21	20	20	23	24	20	21	17	17	18	0	18	18	15	15	0	17	17	16	15	16	14	18	10	10	20	23	17	9	0	0	0	0	0	0	27					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	33217	1417	1041	1254	1392	1492	1332	1450	1332	861	1638	1666	1243	1403	944	1410	1563	1645	1615	1576	1209	1492	1535	1148	1070	106	91	60	90	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	15	14	13	14	0					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	566	35	25	20	13	11	25	17	4	22	24	22	27	25	35	18	41	21	32	26	10	31	29	36	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных бюллетеней	19927	1048	734	726	795	797	643	1033	664	617	838	812	1030	1072	821	772	891	834	853	698	781	777	636	916	713	94	109	40	60	2	2	5	1	0	0	4	6	4	8	0	0	0	5	0	6	5	0	3	3	2	2	2	0	3	0	5	3	3	4	5	4	6	2	2	0	5	7	3	3	0	0	0	0	0	0	8					
7	Число бюллетеней в переносных ящиках для голосования	566	35	25	20	13	11	25	17	4	22	24	22	27	25	35	18	41	21	32	26	10	31	29	36	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	33908	1417	1041	1253	1391	1492	1332	1435	1332	859	1638	1666	1243	1399	943	1410	1564	1645	1615	1555	1209	1489	1535	1148	1070	106	91	60	90	24	23	23	24	24	23	21	19	41	20	20	21	20	20	23	24	20	21	17	17	18	18	18	18	15	15	15	17	17	16	15	16	14	18	10	10	20	23	17	9	17	16	15	14	13	14	27					
9	Число недействительных бюллетеней	210	6	16	10	11	6	4	16	2	2	3	10	11	11	10	6	5	7	15	5	3	8	14	11	6	1	0	3	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных бюллетеней	34264	1446	1050	1263	1393	1497	1353	1436	1334	879	1659	1678	1259	1413	968	1422	1600	1659	1632	1576	1216	1512	1550	1173	1081	105	91	57	86	24	23	23	24	24	22	21	19	41	20	20	20	20	20	22	24	20	21	17	17	17	18	18	18	15	15	15	17	17	16	15	16	14	18	10	10	20	23	17	9	17	16	15	14	13	14	27					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1430	60	60	60	60	60	60	60	60	50	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
