Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Фатежская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064					
1	"Число избирателей, внесенных в список избирателей"	15008	1224	2494	378	114	152	141	496	285	616	751	282	303	1080	261	166	187	387	377	600	757	400	395	713	112	293	378	802	149	147	241	327					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16129	1300	2400	400	120	170	150	570	350	600	859	300	350	1250	300	350	250	500	350	600	700	400	450	800	130	320	450	800	150	150	260	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7765	684	1223	184	57	107	80	276	159	257	290	134	103	667	180	75	74	187	193	293	354	251	235	373	53	169	198	578	56	40	113	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2834	67	92	74	34	35	47	72	54	247	155	54	122	152	47	83	84	129	97	156	122	91	81	132	38	70	101	69	67	74	101	87					
6	Число погашенных избирательных бюллетеней	5530	549	1085	142	29	28	23	222	137	96	414	112	125	431	73	192	92	184	60	151	224	58	134	295	39	81	151	153	27	36	46	141					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2834	67	92	74	34	35	47	72	54	247	155	54	122	152	47	83	84	129	97	156	122	91	81	132	38	70	101	69	67	74	101	87					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7765	684	1223	184	57	107	80	276	159	257	290	134	103	667	180	75	74	187	193	293	354	251	235	373	53	169	198	578	56	40	113	122					
9	Число недействительных избирательных бюллетеней	135	18	13	6	0	2	0	2	4	5	9	1	0	13	3	1	3	1	3	6	10	3	0	7	0	11	2	3	0	0	6	3					
10	Число действительных избирательных бюллетеней	10464	733	1302	252	91	140	127	346	209	499	436	187	225	806	224	157	155	315	287	443	466	339	316	498	91	228	297	644	123	114	208	206					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	363	27	40	3	3	3	3	30	3	10	10	3	3	15	9	45	3	30	13	20	15	3	3	13	13	3	10	18	3	3	3	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	298	25	35	3	0	3	3	30	0	8	1	1	2	15	9	45	2	30	11	11	11	3	2	11	6	2	9	18	0	1	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	216	27	45	5	2	8	6	1	10	4	8	3	1	36	2	3	3	2	4	2	4	6	2	11	2	5	2	2	4	3	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	65	2	5	0	3	0	0	0	3	2	9	2	1	0	0	0	1	0	2	9	4	0	1	2	7	1	1	0	3	2	3	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	2	4	0	0	0	0	12	0	3	0	1	5	0	1	1	0	6	0	1	1	0	0	2	0	1	3	5	0	0	0	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1117	118	192	23	6	19	3	28	16	44	56	26	25	105	20	11	7	24	45	41	39	34	50	55	6	23	43	26	4	3	11	14					
		10.54%	15.71%	14.60%	8.91%	6.59%	13.38%	2.36%	8.05%	7.51%	8.73%	12.58%	13.83%	11.11%	12.82%	8.81%	6.96%	4.43%	7.59%	15.52%	9.13%	8.19%	9.94%	15.82%	10.89%	6.59%	9.62%	14.38%	4.02%	3.25%	2.63%	5.14%	6.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1212	92	187	34	5	16	5	45	15	68	38	21	9	131	35	15	18	31	24	39	55	39	19	78	11	34	50	49	9	8	16	16					
