Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Ямальская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18226	562	1361	1519	1536	1408	293	1215	1136	2498	2325	2172	2201									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20800	660	1380	1630	1710	1170	310	1640	1500	2500	2950	2950	2400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	5286	0	475	0	0	945	0	415	295	1726	580	550	300									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10997	491	711	1341	1357	179	243	665	727	613	1606	1480	1584									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	120	16	17	11	10	1	10	15	7	33	0	0	0									
6	Число погашенных избирательных бюллетеней	4397	153	177	278	343	45	57	545	471	128	764	920	516									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5406	16	492	11	10	946	10	430	302	1759	580	550	300									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10997	491	711	1341	1357	179	243	665	727	613	1606	1480	1584									
9	Число недействительных избирательных бюллетеней	115	22	10	11	15	5	7	9	11	25	0	0	0									
10	Число действительных избирательных бюллетеней	16288	485	1193	1341	1352	1120	246	1086	1018	2347	2186	2030	1884									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	30	30	20	15	10	5	30	40	40	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	207	30	17	20	15	10	5	30	40	40	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	111	6	6	18	7	1	1	0	4	4	64	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	13	0	13	0	0	0	0	0	0	0	0	0	0									
