Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Гагаринский район																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058					
1	"Число избирателей, внесенных в списки"	51061	2735	2354	1913	2002	2603	2270	2095	1822	2065	1994	2196	1654	2493	2758	2622	2648	2590	2218	2440	2549	2125	2915					
2	"Число бюллетеней, полученных участковыми комиссиями"	45893	2533	2080	1710	1770	2340	2050	1880	1630	1860	1780	1990	1500	2260	2470	2350	2330	2340	2020	2180	2290	1950	2580					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30778	1617	1412	1201	1294	1548	1380	1266	1096	1305	1272	1325	1034	1528	1753	1519	1493	1506	1282	1480	1583	1222	1662					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	900	52	45	43	34	62	30	28	28	23	29	35	19	37	44	40	39	49	40	56	63	48	56					
6	Число погашенных бюллетеней	14215	864	623	466	442	730	640	586	506	532	479	630	447	695	673	791	798	785	698	644	644	680	862					
7	Число бюллетеней в переносных ящиках для голосования	900	52	45	43	34	62	30	28	28	23	29	35	19	37	44	40	39	49	40	56	63	48	56					
8	Число бюллетеней в стационарных ящиках для голосования	30686	1586	1412	1200	1290	1541	1377	1265	1094	1303	1270	1320	1033	1527	1746	1518	1493	1506	1282	1472	1570	1219	1662					
9	Число недействительных бюллетеней	215	10	7	5	11	12	10	7	9	7	11	13	8	16	6	15	10	11	9	11	5	7	15					
10	Число действительных бюллетеней	31371	1628	1450	1238	1313	1591	1397	1286	1113	1319	1288	1342	1044	1548	1784	1543	1522	1544	1313	1517	1628	1260	1703					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	770	40	40	40	20	40	40	30	30	30	20	30	40	40	40	40	40	50	30	20	30	40	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	589	31	31	33	14	24	36	21	20	24	20	21	28	34	32	27	33	34	27	16	19	33	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	592	28	25	59	38	23	25	16	22	28	38	19	26	29	36	25	30	20	13	17	24	22	29					
14	Число погашенных открепительных удостоверений	181	9	9	7	6	16	4	9	10	6	0	9	12	6	8	13	7	16	3	4	11	7	9					
15	Число открепительных удостоверений выданных ТИК	6	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	135	5	5	3	3	9	5	4	3	7	2	2	10	3	5	6	6	18	9	6	6	6	12					
		0.42%	0.30%	0.34%	0.24%	0.22%	0.56%	0.35%	0.30%	0.26%	0.52%	0.15%	0.14%	0.95%	0.19%	0.27%	0.38%	0.39%	1.15%	0.68%	0.39%	0.36%	0.47%	0.69%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	4596	170	189	180	178	189	211	222	178	192	205	244	169	235	262	180	198	196	192	239	348	191	228					
		14.55%	10.37%	12.97%	14.48%	13.44%	11.79%	14.99%	17.16%	15.86%	14.47%	15.78%	18.00%	16.06%	15.02%	14.63%	11.55%	12.92%	12.60%	14.52%	15.64%	21.31%	15.07%	13.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	491	40	20	18	17	24	16	28	16	14	22	14	14	26	28	31	26	32	27	22	20	14	22					
		1.55%	2.44%	1.37%	1.44%	1.28%	1.49%	1.13%	2.16%	1.42%	1.05%	1.69%	1.03%	1.33%	1.66%	1.56%	1.98%	1.69%	2.05%	2.04%	1.43%	1.22%	1.10%	1.28%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4845	194	209	180	178	237	219	199	177	245	199	227	164	266	283	247	201	186	176	225	346	227	260					
		15.33%	11.84%	14.34%	14.48%	13.44%	14.78%	15.56%	15.39%	15.77%	18.47%	15.31%	16.75%	15.58%	17.00%	15.81%	15.85%	13.12%	11.96%	13.31%	14.72%	21.18%	17.91%	15.13%					
22	"5. ""За Русь Святую"""	151	12	15	9	3	4	4	10	8	6	5	6	3	7	5	9	3	6	8	8	5	11	4					
