Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Кумторкалинская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826					
1	"Число избирателей, внесенных в списки избирателей"	12562	2371	2034	971	1592	2221	805	1018	936	614					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12345	2320	2000	960	1550	2200	800	1000	915	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11374	2181	1805	874	1433	1999	745	941	852	544					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	79	0	26	0	0	30	0	5	9	9					
6	Число погашенных избирательных бюллетеней	892	139	169	86	117	171	55	54	54	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	79	0	26	0	0	30	0	5	9	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11374	2181	1805	874	1433	1999	745	941	852	544					
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	11453	2181	1831	874	1433	2029	745	946	861	553					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	240	35	35	25	20	40	20	25	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	5	2	0	0	1	2	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	235	33	35	25	19	38	20	25	20	20					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	14	0	5	6	0	2	0	1	0	0					
		0.12%	0.00%	0.27%	0.69%	0.00%	0.10%	0.00%	0.11%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	956	196	163	70	120	162	52	77	71	45					
		8.35%	8.99%	8.90%	8.01%	8.37%	7.98%	6.98%	8.14%	8.25%	8.14%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	73	22	25	0	3	13	6	4	0	0					
		0.64%	1.01%	1.37%	0.00%	0.21%	0.64%	0.81%	0.42%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	10410	1963	1638	798	1310	1852	687	864	790	508					
		90.89%	90.00%	89.46%	91.30%	91.42%	91.28%	92.21%	91.33%	91.75%	91.86%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
