Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Петрозаводская городская №2																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130					
1	"Число избирателей, внесенных в список"	88273	1493	2368	1690	2069	2171	1834	1575	1962	1970	1681	1617	1731	1644	1753	2137	1892	1744	1814	1839	1798	1672	1655	1794	1617	1553	1713	1800	1750	1635	1738	1524	1738	1874	1647	1262	2295	1700	1588	1554	1567	1779	1525	1619	1353	1515	1709	1637	1638	2690	1037	71	472	71	365	65	86	63	120					
2	Число полученных избирательных бюллетеней	79861	1400	2131	1500	1800	1900	1600	1300	1800	1800	1500	1500	1600	1500	1600	1800	1700	1600	1600	1600	1600	1500	1500	1600	1500	1400	1500	1600	1600	1500	1600	1400	1600	2000	1500	1100	2000	1500	1400	1400	1400	1600	1400	1500	1200	1400	1500	1400	1500	2400	900	100	500	130	400	100	100	100	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	731	0	731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47408	761	639	881	993	1118	894	799	927	1066	898	902	1068	1005	939	1238	980	1001	1002	983	949	979	958	1037	969	868	965	1054	1040	957	1013	911	1054	1004	849	608	872	1025	927	947	886	1003	807	915	775	866	897	768	920	1375	499	52	165	47	122	31	72	62	66					
5	"Число избирательных бюллетеней, выданных вне помещения"	1521	10	32	15	12	14	13	8	26	28	20	44	21	24	21	18	152	16	25	21	7	22	17	19	14	16	10	13	18	14	13	15	16	16	28	11	35	19	16	14	19	17	14	19	20	14	17	51	15	17	88	19	146	22	101	32	14	0	43					
6	Число погашенных избирательных бюллетеней	30201	629	729	604	795	768	693	493	847	706	582	554	511	471	640	544	568	583	573	596	644	499	525	544	517	516	525	533	542	529	574	474	530	980	623	481	1093	456	457	439	495	580	579	566	405	520	586	581	565	1008	313	29	189	61	177	37	14	38	91					
7	Число избирательных бюллетеней в переносных ящиках	2252	10	763	15	12	14	13	8	26	28	20	44	21	24	21	18	152	16	25	21	7	22	17	19	14	16	10	13	18	14	13	15	16	16	28	11	35	19	16	14	19	17	14	19	20	14	17	51	15	17	88	19	146	22	101	32	14	0	43					
8	Число бюллетеней в стационарных ящиках для голосования	47338	760	639	878	993	1116	894	799	927	1066	898	901	1068	993	939	1230	977	999	1000	981	949	979	955	1037	969	868	962	1053	1039	957	1012	911	1052	1004	849	608	870	1022	924	944	886	1000	807	914	774	866	896	764	920	1373	499	52	165	47	122	31	72	62	66					
9	Число недействительных избирательных бюллетеней	243	4	1	7	6	9	6	2	3	2	2	9	10	6	2	3	5	2	1	8	6	5	6	3	4	4	3	2	3	3	6	2	4	6	3	1	6	3	6	6	8	4	4	8	4	7	4	2	7	9	9	1	3	0	1	0	2	0	0					
10	Число действительных избирательных бюллетеней	49347	766	1401	886	999	1121	901	805	950	1092	916	936	1079	1011	958	1245	1124	1013	1024	994	950	996	966	1053	979	880	969	1064	1054	968	1019	924	1064	1014	874	618	899	1038	934	952	897	1013	817	925	790	873	909	813	928	1381	578	70	308	69	222	63	84	62	109					
11	Число полученных открепительных  удостоверений	2500	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	590	18	8	12	22	13	13	13	14	17	9	5	16	14	12	28	22	13	10	9	15	6	17	12	10	12	7	4	10	9	19	8	13	15	12	7	10	5	7	17	12	9	10	10	8	12	5	10	12	17	2	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	626	12	7	17	11	20	8	20	4	10	12	6	11	14	9	21	10	4	11	11	29	4	10	7	6	4	13	12	10	12	11	7	4	16	7	5	13	9	13	5	7	7	6	10	8	1	4	31	5	8	41	2	39	6	13	7	8	6	2					
14	Число неиспользованных открепительных удостоверений	1910	32	42	38	28	37	37	37	36	33	41	45	34	36	38	22	28	37	40	41	35	44	33	38	40	38	43	46	40	41	31	42	37	35	38	43	40	45	43	33	38	41	40	40	42	38	45	40	38	33	48	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	24	0	1	0	2	1	0	4	0	0	0	1	0	0	0	1	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
