Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																
Дата голосования: 07.12.2003 0:00:00																																																																
																																																																
"Наименование Избирательной комиссии:    Челябинск, Тракторозаводская"																																																																
																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																
																																																																
		Сумма	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773					
1	"Число избирателей, внесенных в списки"	118316	2379	1495	1331	2593	1559	1774	1156	1784	1720	1732	1725	2504	1597	1553	1739	2354	2117	2487	1495	2064	1822	1467	1681	2364	2458	2325	1961	2667	2785	2431	1563	1568	1946	2339	2190	2605	2690	2606	2573	2084	1889	2048	2318	1659	1720	2569	2609	2598	2898	2344	2523	2474	2475	2575	1562	1636	1136					
2	"Число бюллетеней, полученных участковыми комиссиями"	105625	2135	1405	1200	2305	1400	1600	1025	1590	1540	1570	1555	2185	1430	1380	1405	2240	1825	2175	1340	1850	1600	1305	1505	2111	2215	2085	1775	2385	2480	2192	1375	1405	1755	2095	1956	2300	2385	2305	2290	1845	1690	1810	2035	1465	1510	2305	2345	2296	2580	2075	2245	2205	2180	2455	1385	1485	1040					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	56364	1404	708	674	1244	750	896	520	811	789	784	929	1127	793	763	820	1050	998	1196	625	909	987	750	747	1190	1173	1272	1095	1533	1483	1252	692	847	988	1151	1057	1021	1255	1244	1104	918	737	1028	1219	694	666	1206	1206	1189	1211	1099	1292	1178	1133	1318	687	537	415					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1792	34	10	22	30	13	12	12	32	33	20	14	14	13	20	226	9	1	4	13	26	41	22	9	59	32	37	20	23	31	34	35	29	39	40	20	11	30	3	41	40	26	18	40	14	44	36	148	30	71	27	29	9	29	27	48	24	18					
6	Число погашенных бюллетеней	47469	697	687	504	1031	637	692	493	747	718	766	612	1044	624	597	359	1181	826	975	702	915	572	533	749	862	1010	776	660	829	966	906	648	529	728	904	879	1268	1100	1058	1145	887	927	764	776	757	800	1063	991	1077	1298	949	924	1018	1018	1110	650	924	607					
7	Число бюллетеней в переносных ящиках для голосования	1792	34	10	22	30	13	12	12	32	33	20	14	14	13	20	226	9	1	4	13	26	41	22	9	59	32	37	20	23	31	34	35	29	39	40	20	11	30	3	41	40	26	18	40	14	44	36	148	30	71	27	29	9	29	27	48	24	18					
8	Число бюллетеней в стационарных ящиках для голосования	56300	1404	708	673	1243	749	895	517	811	789	784	929	1127	792	763	820	1045	998	1196	625	907	987	750	747	1189	1172	1269	1095	1533	1457	1252	692	847	987	1149	1057	1021	1253	1244	1104	917	737	1027	1219	694	666	1206	1202	1189	1211	1099	1290	1178	1133	1318	683	537	414					
9	Число недействительных бюллетеней	862	14	7	19	14	10	13	14	7	12	26	19	10	12	10	8	19	13	16	6	16	10	6	19	24	15	14	20	15	17	50	18	13	19	43	14	15	26	14	18	12	8	4	8	2	11	14	18	18	17	8	17	32	13	8	10	6	21					
10	Число действительных бюллетеней	57230	1424	711	676	1259	752	894	515	836	810	778	924	1131	793	773	1038	1035	986	1184	632	917	1018	766	737	1224	1189	1292	1095	1541	1471	1236	709	863	1007	1146	1063	1017	1257	1233	1127	945	755	1041	1251	706	699	1228	1332	1201	1265	1118	1302	1155	1149	1337	721	555	411					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1893	30	30	20	30	30	40	30	30	30	40	40	40	40	30	30	40	30	40	58	30	30	40	40	40	40	40	40	40	40	35	30	30	30	30	30	30	30	30	30	30	30	30	35	30	20	35	35	35	35	35	35	35	35	35	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	745	26	15	17	26	14	14	6	7	9	32	10	10	14	8	20	17	11	23	7	8	12	9	8	14	21	18	16	19	17	23	12	8	14	17	19	11	14	17	4	6	8	15	11	5	8	11	19	13	14	11	14	13	6	13	1	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	515	10	11	11	7	11	8	11	10	7	6	6	14	9	14	17	7	7	16	1	4	14	11	7	10	6	6	9	13	25	9	12	4	5	6	10	9	12	14	8	10	9	9	4	5	10	4	7	5	4	14	7	8	17	9	7	6	3					
14	Число погашенных открепительных удостоверений	1148	4	15	3	4	16	26	24	23	21	8	30	30	26	22	10	23	19	17	51	22	18	31	32	26	19	22	24	21	23	12	18	22	16	13	11	19	16	13	26	24	22	15	24	25	12	24	16	22	21	24	21	22	29	22	19	16	14					
15	Число открепительных удостоверений выданных ТИК	107	0	1	1	3	3	2	1	1	3	2	3	0	2	2	1	3	4	1	3	1	0	1	1	3	1	1	3	3	2	3	0	2	1	3	2	0	4	6	4	1	2	0	1	3	1	3	0	1	0	2	3	1	1	5	1	4	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	"1. ""ЕДИНЕНИЕ"""	455	16	5	6	18	1	9	11	5	0	7	6	6	7	4	8	10	10	12	8	5	11	4	9	13	6	12	9	8	9	5	6	7	9	8	8	7	6	9	4	3	6	5	6	4	5	14	17	12	8	3	18	5	10	11	5	9	10					
		0.78%	1.11%	0.69%	0.86%	1.41%	0.13%	0.99%	2.07%	0.59%	0.0%	0.87%	0.63%	0.52%	0.86%	0.51%	0.76%	0.94%	1.00%	1.0%	1.25%	0.53%	1.07%	0.51%	1.19%	1.04%	0.49%	0.91%	0.80%	0.51%	0.60%	0.38%	0.82%	0.79%	0.87%	0.67%	0.74%	0.67%	0.46%	0.72%	0.34%	0.31%	0.78%	0.47%	0.47%	0.56%	0.70%	1.12%	1.25%	0.98%	0.62%	0.26%	1.36%	0.42%	0.86%	0.81%	0.68%	1.60%	2.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3370	138	68	63	49	39	53	30	35	43	41	55	83	51	55	66	56	73	81	41	57	113	27	36	45	78	58	70	90	99	80	29	44	55	43	41	65	55	91	49	55	43	91	83	52	31	65	69	52	73	96	71	60	51	68	28	14	23					
		5.80%	9.59%	9.47%	9.06%	3.84%	5.11%	5.84%	5.67%	4.15%	5.23%	5.09%	5.83%	7.27%	6.33%	7.02%	6.30%	5.31%	7.30%	6.75%	6.42%	6.10%	10.99%	3.49%	4.76%	3.60%	6.47%	4.44%	6.27%	5.78%	6.65%	6.22%	3.98%	5.02%	5.36%	3.61%	3.80%	6.29%	4.28%	7.29%	4.27%	5.74%	5.63%	8.70%	6.59%	7.34%	4.36%	5.23%	5.11%	4.26%	5.69%	8.52%	5.38%	5.05%	4.38%	5.05%	3.83%	2.49%	5.32%					
