Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Краснокаменская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459					
1	"Число избирателей, внесенных в списки"	52032	1785	1513	1282	1298	1272	1176	1497	1478	1515	1533	1883	1672	1637	1621	1954	2027	1568	1533	2067	1848	1518	1949	1699	2023	2037	2046	132	1622	546	1040	1255	885	523	220	500	552	765	361	200					
2	"Число бюллетеней, полученных участковыми комиссиями"	48920	1600	1400	1200	1200	1200	1100	1400	1400	1400	1400	1700	1500	1500	1500	1800	1900	1500	1400	1900	1700	1400	1800	1600	1900	1900	1900	600	1500	500	1000	1200	850	500	220	500	550	750	350	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28648	1069	838	694	687	673	540	773	839	789	939	1086	994	963	891	1090	948	915	876	1138	1039	892	1112	951	1090	1126	1134	50	767	273	468	619	448	346	134	304	318	465	224	146					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	793	21	18	15	13	12	24	17	14	15	18	18	16	17	17	20	21	3	14	12	13	17	8	11	18	21	14	82	10	29	56	40	34	17	20	25	16	28	17	12					
6	Число погашенных бюллетеней	19479	510	544	491	500	515	536	610	547	596	443	596	490	520	592	690	931	582	510	750	648	491	680	638	792	753	752	468	723	198	476	541	368	137	66	171	216	257	109	42					
7	Число бюллетеней в переносных ящиках для голосования	792	21	18	15	13	12	24	17	14	15	18	18	16	17	17	20	21	3	14	12	13	17	8	11	18	21	14	81	10	29	56	40	34	17	20	25	16	28	17	12					
8	Число бюллетеней в стационарных ящиках для голосования	28614	1067	836	694	685	673	540	772	839	789	939	1086	991	963	891	1089	947	913	876	1131	1038	891	1110	950	1083	1126	1134	50	767	273	468	619	448	346	134	304	317	465	224	146					
9	Число недействительных бюллетеней	375	12	5	9	9	9	6	7	9	6	5	9	17	16	10	18	9	4	14	6	10	11	11	12	3	13	19	1	13	4	14	13	13	13	4	14	9	12	2	4					
10	Число действительных бюллетеней	29031	1076	849	700	689	676	558	782	844	798	952	1095	990	964	898	1091	959	912	876	1137	1041	897	1107	949	1098	1134	1129	130	764	298	510	646	469	350	150	315	324	481	239	154					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	665	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	25	20	20	20	20	20	20	20	0	20	10	10	10	10	10	10	10	10	10	10	10					
