Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Гуковская городская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  2237	УИК  2238	УИК  2239	УИК  2240	УИК  2241	УИК  2242	УИК  2243	УИК  2244	УИК  2245	УИК  2246	УИК  2247	УИК  2248	УИК  2249	УИК  2250	УИК  2251	УИК  2252	УИК  2253	УИК  2254	УИК  2255	УИК  2256	УИК  2257	УИК  2258	УИК  2259	УИК  2260	УИК  2261	УИК  2262	УИК  2263	УИК  2264	УИК  2265	УИК  2266	УИК  2267	УИК  2268	УИК  2269	УИК  2270	УИК  2271	УИК  2272	УИК  2273	УИК  2274	УИК  2275	УИК  2276	УИК  2277					
1	"Число избирателей, внесенных в список"	57915	2723	2501	2408	1337	1879	1107	1218	1797	1685	2227	2533	1625	1340	1596	1444	1894	2479	2800	1352	1245	1294	980	1174	1605	986	1233	1132	857	950	1445	663	1216	1087	345	1015	1408	828	912	565	101	929					
2	Число полученных избирательных бюллетеней	58569	2700	2750	2400	1390	1900	1100	1200	1750	1700	2300	2500	1600	1350	1550	1450	1900	2550	2900	1350	1200	1300	990	1190	1600	1000	1300	1150	850	1000	1450	650	1200	1050	350	1000	1400	1100	900	550	99	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33761	1231	1596	1240	880	1017	627	645	1142	1215	1267	2004	737	520	747	796	1202	1229	1374	1049	622	713	585	840	1095	774	667	570	518	530	776	489	915	537	240	515	843	548	563	367	65	471					
5	"Число избирательных бюллетеней, выданных вне помещения"	3606	168	49	142	101	82	67	99	113	54	122	24	116	291	88	139	55	98	63	49	51	193	164	90	204	42	136	100	82	40	67	53	35	33	20	49	61	49	60	85	0	72					
6	Число погашенных избирательных бюллетеней	21202	1301	1105	1018	409	801	406	456	495	431	911	472	747	539	715	515	643	1223	1463	252	527	394	241	260	301	184	497	480	250	430	607	108	250	480	90	436	496	503	277	98	34	357					
7	Число избирательных бюллетеней в переносных ящиках	3606	168	49	142	101	82	67	99	113	54	122	24	116	291	88	139	55	98	63	49	51	193	164	90	204	42	136	100	82	40	67	53	35	33	20	49	61	49	60	85	0	72					
8	Число бюллетеней в стационарных ящиках для голосования	33759	1231	1596	1239	880	1017	627	645	1142	1215	1267	2004	737	520	747	796	1202	1229	1374	1049	622	713	585	839	1095	774	667	570	518	530	776	489	915	537	240	515	843	548	563	367	65	471					
9	Число недействительных избирательных бюллетеней	226	7	16	13	0	10	8	2	13	3	6	19	3	0	5	8	10	10	3	11	2	7	0	2	1	10	2	9	4	3	0	7	0	2	2	6	10	0	7	4	0	1					
10	Число действительных избирательных бюллетеней	37139	1392	1629	1368	981	1089	686	742	1242	1266	1383	2009	850	811	830	927	1247	1317	1434	1087	671	899	749	927	1298	806	801	661	596	567	843	535	950	568	258	558	894	597	616	448	65	542					
11	Число полученных открепительных  удостоверений	989	40	40	40	20	40	30	20	30	30	40	40	30	20	20	20	40	40	40	20	20	20	20	20	30	20	20	20	15	20	20	10	20	20	10	20	20	15	15	10	10	14					
12	Число выданных открепительных удостоверений	520	37	34	37	14	24	14	11	22	15	24	25	8	4	9	7	18	28	30	10	9	6	5	9	27	9	10	12	8	3	5	0	10	4	6	8	7	4	0	3	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	270	5	1	38	11	8	25	3	12	7	11	4	4	6	5	7	4	4	4	1	27	4	0	3	7	7	8	6	12	1	2	1	10	0	1	11	1	0	1	3	3	2					
14	Число неиспользованных открепительных удостоверений	469	3	6	3	6	16	16	9	8	15	16	15	22	16	11	13	22	12	10	10	11	14	15	11	3	11	10	8	7	17	15	10	10	16	4	12	13	11	15	7	9	11					
