Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Суворовская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685					
1	"Число избирателей, внесенных в списки избирателей"	31778	1350	1354	2132	1855	2064	1724	1424	2191	2091	476	69	860	610	454	1139	906	1123	349	1145	425	1005	975	331	479	289	197	262	474	126	174	208	94	153	122	180	193	279	283	89	783	320	276	204	90	179	272					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26735	1110	1080	1720	1500	1680	1400	1160	1780	1690	370	100	840	480	360	920	750	920	280	930	350	820	1100	290	490	260	180	220	400	110	180	190	90	120	120	160	190	265	260	80	650	300	220	160	80	160	220					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15968	741	589	1023	941	1056	1011	627	1136	1096	187	10	497	274	231	442	418	557	140	557	224	510	640	131	216	171	67	126	308	69	85	124	64	52	78	74	91	203	188	74	374	137	107	92	39	81	110					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3805	66	241	153	109	57	82	78	108	125	89	54	148	85	33	93	82	36	48	167	45	154	64	151	169	60	113	78	81	34	50	44	15	50	30	81	76	59	70	6	115	100	87	40	27	56	96					
6	Число погашенных избирательных бюллетеней	6962	303	250	544	450	567	307	455	536	469	94	36	195	121	96	385	250	327	92	206	81	156	396	8	105	29	0	16	11	7	45	22	11	18	12	5	23	3	2	0	161	63	26	28	14	23	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3805	66	241	153	109	57	82	78	108	125	89	54	148	85	33	93	82	36	48	167	45	154	64	151	169	60	113	78	81	34	50	44	15	50	30	81	76	59	70	6	115	100	87	40	27	56	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15966	741	589	1023	941	1056	1011	627	1136	1095	187	10	497	273	231	442	418	557	140	557	224	510	640	131	216	171	67	126	308	69	85	124	64	52	78	74	91	203	188	74	374	137	107	92	39	81	110					
9	Число недействительных избирательных бюллетеней	171	9	5	15	16	9	12	3	5	9	4	0	9	3	4	7	2	4	0	8	4	6	8	2	2	1	0	4	3	0	1	1	4	0	0	0	0	2	4	0	0	3	0	0	2	0	0					
10	Число действительных избирательных бюллетеней	19600	798	825	1161	1034	1104	1081	702	1239	1211	272	64	636	355	260	528	498	589	188	716	265	658	696	280	383	230	180	200	386	103	134	167	75	102	108	155	167	260	254	80	489	234	194	132	64	137	206					
