Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																	
																																																																	
Наименование Избирательной комиссии:    Назаровская																																																																	
																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																	
																																																																	
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701					
1	"Число избирателей, внесенных в списки"	16582	200	248	235	181	568	305	319	178	94	67	189	105	94	589	405	201	121	1098	170	350	138	118	1031	214	109	68	176	117	47	184	182	740	106	122	123	129	737	62	108	166	1414	300	200	838	159	105	92	1141	187	174	245	286	178	176	246	121	223	103					
2	"Число бюллетеней, полученных участковыми комиссиями"	16711	204	292	238	180	568	306	314	272	99	67	188	105	93	584	394	193	118	1073	161	343	130	102	1023	212	110	64	176	118	44	177	172	755	109	123	125	131	747	64	110	167	1480	294	198	842	149	102	90	1092	185	177	240	360	178	176	241	128	227	101					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8824	70	150	140	91	300	150	191	93	54	48	124	78	72	301	182	116	68	574	94	186	78	87	485	84	81	51	107	73	34	107	101	355	64	73	83	91	289	36	77	91	802	179	116	308	80	60	55	586	95	129	115	137	92	108	132	72	139	90					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	397	31	4	15	10	14	7	15	0	0	0	0	0	0	22	41	7	7	9	15	8	9	9	12	7	4	0	7	8	0	9	3	4	4	3	0	2	1	0	0	0	37	15	9	15	7	4	0	0	0	5	9	0	0	9	0	0	0	0					
6	Число погашенных бюллетеней	7490	103	138	83	79	254	149	108	179	45	19	64	27	21	261	171	70	43	490	52	149	43	6	526	121	25	13	62	37	10	61	68	396	41	47	42	38	457	28	33	76	641	100	73	519	62	38	35	506	90	43	116	223	86	59	109	56	88	11					
7	Число бюллетеней в переносных ящиках для голосования	397	31	4	15	10	14	7	15	0	0	0	0	0	0	22	41	7	7	9	15	8	9	9	12	7	4	0	7	8	0	9	3	4	4	3	0	2	1	0	0	0	37	15	9	15	7	4	0	0	0	5	9	0	0	9	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8823	70	150	140	91	300	150	191	93	54	48	124	78	72	301	182	116	68	573	94	186	78	87	485	84	81	51	107	73	34	107	101	355	64	73	83	91	289	36	77	91	802	179	116	308	80	60	55	586	95	129	115	137	92	108	132	72	139	90					
9	Число недействительных бюллетеней	212	3	4	1	1	2	0	19	2	0	1	1	0	3	4	12	2	0	13	6	9	2	3	8	4	1	5	7	4	0	2	5	12	2	2	2	1	3	0	1	0	10	0	3	7	4	3	3	10	5	5	5	1	2	0	0	5	2	0					
10	Число действительных бюллетеней	9008	98	150	154	100	312	157	187	91	54	47	123	78	69	319	211	121	75	569	103	185	85	93	489	87	84	46	107	77	34	114	99	347	66	74	81	92	287	36	76	91	829	194	122	316	83	61	52	576	90	129	119	136	90	117	132	67	137	90					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	192	4	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	3	3	4	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	3	3	12	3	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	38	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	1	0	2	0	0	4	0	1	0	1	0	0	0	0	4	1	0	0	1	1	0	0	0	8	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	1	3	2	2	2	1	5	2	0	2	1	2	2	2	3	3	3	1	2	2	2	4	0	1	1	1	0	1	3	2	1	1	0	2	1	0	2	0	2	1	3	5	2	2	3	3	1	1	1	2	2	1	2	0	2	1	1	1					
14	Число погашенных открепительных удостоверений	154	4	3	3	3	4	3	3	3	3	3	3	3	3	0	2	2	3	3	3	1	3	3	0	3	2	3	2	3	3	3	3	0	2	3	3	2	3	3	3	3	4	2	3	0	3	3	3	4	3	3	3	3	3	3	2	3	1	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																	
18	"1. ""ЕДИНЕНИЕ"""	161	2	1	4	3	4	1	3	1	3	3	1	2	5	3	4	2	0	7	3	3	1	0	13	2	1	1	3	1	0	0	3	7	2	3	1	1	2	0	1	1	10	5	2	4	2	3	4	8	1	3	4	2	4	1	0	4	6	0					
		1.74%	1.98%	0.64%	2.58%	2.97%	1.27%	0.63%	1.45%	1.07%	5.55%	6.25%	0.80%	2.56%	6.94%	0.92%	1.79%	1.62%	0.0%	1.20%	2.75%	1.54%	1.14%	0.0%	2.61%	2.19%	1.17%	1.96%	2.63%	1.23%	0.0%	0.0%	2.88%	1.94%	2.94%	3.94%	1.20%	1.07%	0.68%	0.0%	1.29%	1.09%	1.19%	2.57%	1.6%	1.23%	2.29%	4.68%	7.27%	1.36%	1.05%	2.23%	3.22%	1.45%	4.34%	0.85%	0.0%	5.55%	4.31%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	67	0	0	0	0	2	3	0	0	0	0	1	0	0	3	1	1	3	6	0	5	0	2	0	0	1	0	1	0	1	0	0	0	0	1	0	0	4	1	2	1	6	6	0	2	1	0	0	4	1	3	0	2	1	1	0	0	1	0					
		0.72%	0.0%	0.0%	0.0%	0.0%	0.63%	1.91%	0.0%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.92%	0.44%	0.81%	4.0%	1.03%	0.0%	2.57%	0.0%	2.08%	0.0%	0.0%	1.17%	0.0%	0.87%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	1.37%	2.77%	2.59%	1.09%	0.71%	3.09%	0.0%	0.61%	1.14%	0.0%	0.0%	0.68%	1.05%	2.23%	0.0%	1.45%	1.08%	0.85%	0.0%	0.0%	0.71%	0.0%					
