Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Левокумская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК  712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717					
1	"Число избирателей, внесенных в списки"	29680	2201	2127	2006	2049	1735	2112	1030	1835	2943	1693	1673	387	1468	1225	1120	530	1021	313	854	1358					
2	"Число бюллетеней, полученных участковыми комиссиями"	29545	2170	2100	1980	2030	1760	2135	1015	1855	2955	1665	1670	370	1480	1220	1015	540	1020	315	870	1380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13619	928	944	859	962	887	863	526	960	1257	816	843	149	509	460	532	196	556	221	435	716					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	857	90	50	44	36	54	93	68	55	76	35	20	10	21	21	40	5	33	12	32	62					
6	Число погашенных бюллетеней	15069	1152	1106	1077	1032	819	1179	421	840	1622	814	807	211	950	739	443	339	431	82	403	602					
7	Число бюллетеней в переносных ящиках для голосования	857	90	50	44	36	54	93	68	55	76	35	20	10	21	21	40	5	33	12	32	62					
8	Число бюллетеней в стационарных ящиках для голосования	13618	928	944	859	962	887	863	526	960	1257	816	843	149	508	460	532	196	556	221	435	716					
9	Число недействительных бюллетеней	269	12	19	16	7	16	22	23	29	10	17	17	4	3	17	16	4	9	4	8	16					
10	Число действительных бюллетеней	14206	1006	975	887	991	925	934	571	986	1323	834	846	155	526	464	556	197	580	229	459	762					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	20	20	20	20	15	20	10	15	25	15	15	5	15	15	15	5	15	5	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	5	3	3	6	5	2	2	3	11	1	3	0	0	2	3	0	4	0	1	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	46	2	4	0	1	1	0	0	1	14	1	0	0	1	2	14	1	0	1	2	1					
