Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Сунская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144					
1	"Число избирателей, внесенных в список избирателей"	6064	1625	802	326	395	367	375	338	198	184	124	176	200	131	117	706					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6180	1645	820	335	410	380	365	345	210	180	125	185	205	150	130	695					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2854	831	340	147	131	194	167	161	103	115	55	81	113	51	81	284					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	598	96	83	57	76	9	52	36	13	15	14	29	15	19	13	71					
6	Число погашенных избирательных бюллетеней	2728	718	397	131	203	177	146	148	94	50	56	75	77	80	36	340					
7	Число избирательных бюллетеней в переносных ящиках для голосования	598	96	83	57	76	9	52	36	13	15	14	29	15	19	13	71					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2853	830	340	147	131	194	167	161	103	115	55	81	113	51	81	284					
9	Число недействительных избирательных бюллетеней	44	12	3	5	3	3	0	3	3	1	0	1	1	2	0	7					
10	Число действительных избирательных бюллетеней	3407	914	420	199	204	200	219	194	113	129	69	109	127	68	94	348					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	294	39	20	20	15	20	20	20	15	15	15	15	15	15	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	162	9	11	10	13	18	8	10	6	3	8	15	8	15	20	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	16	6	1	5	0	7	3	1	8	4	3	1	0	3	11					
14	Число погашенных неиспользованных открепительных удостоверений	132	30	9	10	2	2	12	10	9	12	7	0	7	0	0	22					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	720	201	96	34	46	25	38	67	20	22	12	27	28	24	13	67					
		20.86%	21.71%	22.70%	16.67%	22.22%	12.32%	17.35%	34.01%	17.24%	16.92%	17.39%	24.55%	21.88%	34.29%	13.83%	18.87%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	525	143	81	28	31	43	25	32	15	21	9	20	16	4	8	49					
		15.21%	15.44%	19.15%	13.73%	14.98%	21.18%	11.42%	16.24%	12.93%	16.15%	13.04%	18.18%	12.50%	5.71%	8.51%	13.80%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	27	6	2	2	2	1	2	2	2	1	0	2	0	1	0	4					
		0.78%	0.65%	0.47%	0.98%	0.97%	0.49%	0.91%	1.02%	1.72%	0.77%	0.00%	1.82%	0.00%	1.43%	0.00%	1.13%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	669	223	116	21	49	21	27	41	17	15	8	25	28	17	8	53					
		19.39%	24.08%	27.42%	10.29%	23.67%	10.34%	12.33%	20.81%	14.66%	11.54%	11.59%	22.73%	21.88%	24.29%	8.51%	14.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	14	2	1	4	4	0	1	2	1	0	1	2	0	0	6					
		1.10%	1.51%	0.47%	0.49%	1.93%	1.97%	0.00%	0.51%	1.72%	0.77%	0.00%	0.91%	1.56%	0.00%	0.00%	1.69%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1413	322	121	112	72	106	127	50	57	68	40	34	52	21	64	167					
		40.94%	34.77%	28.61%	54.90%	34.78%	52.22%	57.99%	25.38%	49.14%	52.31%	57.97%	30.91%	40.63%	30.00%	68.09%	47.04%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	5	2	1	0	0	0	1	0	1	0	0	1	1	1	2					
		0.43%	0.54%	0.47%	0.49%	0.00%	0.00%	0.00%	0.51%	0.00%	0.77%	0.00%	0.00%	0.78%	1.43%	1.06%	0.56%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
