Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Кикнурская																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №265	УИК №266	УИК №268	УИК №269	УИК №270	УИК №271					
1	"Число избирателей, внесенных в список избирателей"	8899	1647	1863	1512	210	381	478	153	74	524	162	120	480	186	437	209	317	146					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9580	1700	1950	1550	250	430	530	170	90	580	180	150	530	220	500	250	350	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4161	742	923	707	125	209	149	65	43	186	103	68	191	121	173	99	178	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1151	70	79	129	29	75	130	38	16	139	19	13	100	23	156	49	64	22					
6	Число погашенных избирательных бюллетеней	4268	888	948	714	96	146	251	67	31	255	58	69	239	76	171	102	108	49					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1151	70	79	129	29	75	130	38	16	139	19	13	100	23	156	49	64	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4161	742	923	707	125	209	149	65	43	186	103	68	191	121	173	99	178	79					
9	Число недействительных избирательных бюллетеней	42	8	11	6	1	4	3	0	0	0	0	1	3	3	1	0	0	1					
10	Число действительных избирательных бюллетеней	5270	804	991	830	153	280	276	103	59	325	122	80	288	141	328	148	242	100					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	339	30	31	29	15	20	30	10	10	30	10	10	30	15	20	23	20	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	311	30	28	29	15	20	16	10	10	30	10	10	25	15	20	23	14	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	11	20	11	3	3	0	5	3	4	1	2	5	8	7	0	2	6					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	3	0	0	0	14	0	0	0	0	0	5	0	0	0	6	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	5	6	4	1	0	2	0	0	1	0	0	0	11	10	16	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1086	152	184	171	29	62	60	21	33	84	27	11	55	12	61	40	58	26					
		20.44%	18.72%	18.36%	20.45%	18.83%	21.83%	21.51%	20.39%	55.93%	25.85%	22.13%	13.58%	18.90%	8.33%	18.54%	27.03%	23.97%	25.74%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	809	137	145	114	22	49	55	13	4	31	7	9	58	38	54	22	31	20					
		15.23%	16.87%	14.47%	13.64%	14.29%	17.25%	19.71%	12.62%	6.78%	9.54%	5.74%	11.11%	19.93%	26.39%	16.41%	14.86%	12.81%	19.80%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	42	8	7	4	2	2	2	1	0	3	0	1	4	0	4	1	3	0					
		0.79%	0.99%	0.70%	0.48%	1.30%	0.70%	0.72%	0.97%	0.00%	0.92%	0.00%	1.23%	1.37%	0.00%	1.22%	0.68%	1.24%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1376	256	345	219	23	60	80	21	12	76	21	15	44	29	96	12	44	23					
		25.90%	31.53%	34.43%	26.20%	14.94%	21.13%	28.67%	20.39%	20.34%	23.38%	17.21%	18.52%	15.12%	20.14%	29.18%	8.11%	18.18%	22.77%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	49	4	10	8	1	3	1	1	0	2	1	0	5	1	5	0	3	4					
		0.92%	0.49%	0.99%	0.96%	0.65%	1.06%	0.36%	0.97%	0.00%	0.62%	0.82%	0.00%	1.72%	0.69%	1.52%	0.00%	1.24%	3.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1893	246	297	313	75	104	76	46	10	129	66	43	121	60	107	72	102	26					
		35.64%	30.30%	29.64%	37.44%	48.70%	36.62%	27.24%	44.66%	16.95%	39.69%	54.10%	53.09%	41.58%	41.67%	32.52%	48.65%	42.15%	25.74%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	15	1	3	1	1	0	2	0	0	0	0	1	1	1	1	1	1	1					
		0.28%	0.12%	0.30%	0.12%	0.65%	0.00%	0.72%	0.00%	0.00%	0.00%	0.00%	1.23%	0.34%	0.69%	0.30%	0.68%	0.41%	0.99%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
