Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																						
Дата голосования: 04.12.2011																																																						
																																																						
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N1"																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895					
1	"Число избирателей, внесенных в список избирателей"	83203	1800	1695	1702	1571	1272	1599	1706	2033	2251	2254	2201	1719	1471	1883	2654	2634	1700	1662	2352	1553	1804	1738	1391	1697	798	1716	1708	1458	2123	2558	1848	1553	1781	1855	1532	1415	2411	1374	1194	1087	1582	2239	1735	1982	1565	1481	1866					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66800	1450	1350	1350	1300	1050	1300	1400	1600	1800	1850	1800	1400	1150	1500	2150	2150	1300	1300	1900	1250	1450	1400	1100	1350	800	1350	1350	1150	1700	2050	1500	1250	1450	1400	1250	1050	1950	1100	950	850	1200	1800	1450	1600	1250	1200	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	41718	936	1004	1018	904	647	903	802	941	1376	1140	1252	897	869	997	1331	1261	776	945	1233	826	829	889	601	848	414	920	904	687	1021	1218	869	685	686	957	742	675	1113	663	583	508	735	1123	699	780	740	727	1044					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1671	17	40	19	21	17	18	9	13	21	35	30	22	22	22	37	48	114	27	36	33	38	44	14	17	378	31	36	20	16	47	36	32	19	106	12	10	16	21	32	8	40	10	14	17	10	15	31					
6	Число погашенных избирательных бюллетеней	23411	497	306	313	375	386	379	589	646	403	675	518	481	259	481	782	841	410	328	631	391	583	467	485	485	8	399	410	443	663	785	595	533	745	337	496	365	821	416	335	334	425	667	737	803	500	458	425					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1671	17	40	19	21	17	18	9	13	21	35	30	22	22	22	37	48	114	27	36	33	38	44	14	17	378	31	36	20	16	47	36	32	19	106	12	10	16	21	32	8	40	10	14	17	10	15	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41641	936	1004	1018	904	647	903	802	938	1376	1140	1251	896	869	997	1331	1261	775	945	1233	826	829	887	599	791	414	919	904	687	1020	1218	869	685	686	957	742	675	1113	663	583	508	731	1123	699	780	740	723	1044					
9	Число недействительных избирательных бюллетеней	704	13	13	14	17	9	7	15	15	32	16	12	17	14	15	33	12	12	12	14	14	14	17	6	16	16	16	9	9	11	16	20	15	13	17	14	15	22	14	8	21	10	18	12	15	22	11	21					
10	Число действительных избирательных бюллетеней	42608	940	1031	1023	908	655	914	796	936	1365	1159	1269	901	877	1004	1335	1297	877	960	1255	845	853	914	607	792	776	934	931	698	1025	1249	885	702	692	1046	740	670	1107	670	607	495	761	1115	701	782	728	727	1054					
