Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Верхнекетская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13051	1593	2153	1813	562	499	1127	1651	1091	176	250	553	160	742	286	103	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10550	1300	1700	1450	450	400	900	1300	900	150	200	450	150	600	250	100	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4305	536	739	549	165	234	321	435	375	79	94	198	61	230	124	38	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	350	23	17	9	47	15	68	39	31	18	3	23	3	28	2	3	21									
6	Число погашенных избирательных бюллетеней	5895	741	944	892	238	151	511	826	494	53	103	229	86	342	124	59	102									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	350	23	17	9	47	15	68	39	31	18	3	23	3	28	2	3	21									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4305	536	739	549	165	234	321	435	375	79	94	198	61	230	124	38	127									
9	Число недействительных избирательных бюллетеней	129	15	36	18	3	5	15	4	16	2	5	4	0	4	0	0	2									
10	Число действительных избирательных бюллетеней	4526	544	720	540	209	244	374	470	390	95	92	217	64	254	126	41	146									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	30	30	30	30	10	20	30	20	5	5	10	5	15	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	58	15	11	10	1	6	0	0	5	1	2	0	0	1	2	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	4	7	1	1	1	3	5	4	0	1	1	0	1	1	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	197	15	19	20	29	4	20	30	15	4	3	10	5	14	3	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	1	4	2	0	0	0	0	1	0	0	0	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	5	9	7	0	2	5	5	4	0	0	0	1	5	1	0	1									
		0.97%	0.89%	1.19%	1.25%	0.00%	0.80%	1.29%	1.05%	0.99%	0.00%	0.00%	0.00%	1.56%	1.94%	0.79%	0.00%	0.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	189	14	33	30	11	13	18	11	21	3	5	13	0	6	4	0	7									
		4.06%	2.50%	4.37%	5.38%	5.19%	5.22%	4.63%	2.32%	5.17%	3.09%	5.15%	5.88%	0.00%	2.33%	3.17%	0.00%	4.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	96	9	15	12	2	8	2	19	11	1	2	5	0	4	2	1	3									
		2.06%	1.61%	1.98%	2.15%	0.94%	3.21%	0.51%	4.01%	2.71%	1.03%	2.06%	2.26%	0.00%	1.55%	1.59%	2.44%	2.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1956	231	243	202	78	91	174	241	175	42	38	95	39	134	72	34	67									
		42.02%	41.32%	32.14%	36.20%	36.79%	36.55%	44.73%	50.84%	43.10%	43.30%	39.18%	42.99%	60.94%	51.94%	57.14%	82.93%	45.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	10	5	2	0	2	6	4	1	0	2	2	0	0	0	0	2									
		0.77%	1.79%	0.66%	0.36%	0.00%	0.80%	1.54%	0.84%	0.25%	0.00%	2.06%	0.90%	0.00%	0.00%	0.00%	0.00%	1.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	2	1	0	2	0	1	1	0	0	0	0	0	0	0	0									
		0.17%	0.18%	0.26%	0.18%	0.00%	0.80%	0.00%	0.21%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1229	142	220	145	73	66	91	115	97	34	28	62	20	67	23	5	41									
		26.40%	25.40%	29.10%	25.99%	34.43%	26.51%	23.39%	24.26%	23.89%	35.05%	28.87%	28.05%	31.25%	25.97%	18.25%	12.20%	27.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	0	4	5	1	2	0	1	1	0	0	1	0	0	0	0	1									
		0.34%	0.00%	0.53%	0.90%	0.47%	0.80%	0.00%	0.21%	0.25%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.68%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	5	5	7	0	3	3	5	4	0	1	0	0	3	0	0	1									
		0.79%	0.89%	0.66%	1.25%	0.00%	1.20%	0.77%	1.05%	0.99%	0.00%	1.03%	0.00%	0.00%	1.16%	0.00%	0.00%	0.68%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	1	2	0	1	0	1	2	0	0	0	0	0	1	0	0	0									
		0.17%	0.18%	0.26%	0.00%	0.47%	0.00%	0.26%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	9	10	3	4	6	2	2	10	1	1	3	0	2	1	0	0									
		1.16%	1.61%	1.32%	0.54%	1.89%	2.41%	0.51%	0.42%	2.46%	1.03%	1.03%	1.36%	0.00%	0.78%	0.79%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	705	88	145	105	33	35	64	55	52	14	13	33	2	25	21	0	20									
		15.15%	15.74%	19.18%	18.82%	15.57%	14.06%	16.45%	11.60%	12.81%	14.43%	13.40%	14.93%	3.13%	9.69%	16.67%	0.00%	13.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	2	6	2	1	1	0	1	3	0	0	0	0	3	0	1	0									
		0.43%	0.36%	0.79%	0.36%	0.47%	0.40%	0.00%	0.21%	0.74%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	2.44%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	127	27	21	19	5	13	8	8	10	0	2	3	2	4	2	0	3									
		2.73%	4.83%	2.78%	3.41%	2.36%	5.22%	2.06%	1.69%	2.46%	0.00%	2.06%	1.36%	3.13%	1.55%	1.59%	0.00%	2.03%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
