Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Приморско-Ахтарская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №4001	УИК №4002	УИК №4003	УИК №4004	УИК №4005	УИК №4006	УИК №4007	УИК №4008	УИК №4009	УИК №4010	УИК №4011	УИК №4012	УИК №4013	УИК №4014	УИК №4015	УИК №4016	УИК №4017	УИК №4018	УИК №4019	УИК №4020	УИК №4021	УИК №4022	УИК №4023	УИК №4024	УИК №4025	УИК №4026	УИК №4027	УИК №4028	УИК №4029	УИК №4030	УИК №4031	УИК №4032	УИК №4033	УИК №4034	УИК №4035									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	43272	884	1497	1629	1660	1263	2111	2175	1978	1716	2067	1938	1754	1574	759	2084	1508	182	1404	1176	336	1686	1866	386	257	574	252	1377	1321	803	584	1697	683	517	1408	166									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40079	850	1350	1500	1500	1200	2100	2000	2000	1600	1800	1700	1650	1500	700	1700	1368	175	1250	1200	350	1500	1700	411	250	550	225	1250	1200	750	550	1600	650	500	1300	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22279	576	588	570	576	501	818	868	806	586	865	648	716	588	296	1018	643	133	914	902	263	1318	1348	160	159	425	185	1021	936	567	460	1089	420	320	921	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1952	58	59	48	48	53	40	46	59	65	32	114	39	74	80	73	20	8	75	62	25	58	34	20	28	50	31	55	81	58	42	215	50	18	72	62									
6	Число погашенных избирательных бюллетеней	15848	216	703	882	876	646	1242	1086	1135	949	903	938	895	838	324	609	705	34	261	236	62	124	318	231	63	75	9	174	183	125	48	296	180	162	307	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1952	58	59	48	48	53	40	46	59	65	32	114	39	74	80	73	20	8	75	62	25	58	34	20	28	50	31	55	81	58	42	215	50	18	72	62									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22268	576	588	567	576	499	818	868	806	584	862	648	716	588	296	1018	643	133	914	902	263	1318	1348	159	159	425	185	1021	936	567	460	1089	420	320	921	75									
9	Число недействительных избирательных бюллетеней	205	0	5	15	10	9	21	8	9	4	5	15	12	14	12	20	7	0	9	0	0	0	0	2	0	6	0	0	0	0	0	0	13	6	3	0									
10	Число действительных избирательных бюллетеней	24015	634	642	600	614	543	837	906	856	645	889	747	743	648	364	1071	656	141	980	964	288	1376	1382	177	187	469	216	1076	1017	625	502	1304	457	332	990	137									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	790	30	27	28	22	13	35	38	40	45	28	31	45	30	15	43	50	5	10	20	12	20	30	10	10	10	10	15	20	13	10	25	10	15	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	780	30	27	28	22	11	35	38	40	45	28	29	45	30	15	43	49	0	10	20	12	20	30	10	10	10	10	15	20	13	10	25	10	15	20	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	504	6	37	22	24	22	27	25	22	11	76	16	13	15	7	11	58	3	9	0	0	15	13	16	9	0	4	19	1	3	4	3	6	1	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	10	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	110	0	7	8	1	0	10	10	11	4	4	5	9	4	0	4	7	0	4	5	1	0	5	0	0	1	1	0	2	0	1	2	0	4	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	250	10	7	17	6	12	17	20	23	9	12	15	15	12	2	13	11	1	5	4	4	0	11	1	0	2	2	0	0	7	0	2	3	0	7	0									
		1.03%	1.58%	1.08%	2.76%	0.96%	2.17%	1.98%	2.19%	2.66%	1.39%	1.34%	1.97%	1.99%	1.81%	0.53%	1.19%	1.66%	0.71%	0.51%	0.41%	1.39%	0.00%	0.80%	0.56%	0.00%	0.42%	0.93%	0.00%	0.00%	1.12%	0.00%	0.15%	0.64%	0.00%	0.70%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	364	11	13	21	8	8	23	20	21	5	10	24	9	8	10	29	18	2	13	9	0	0	15	8	3	3	7	0	0	17	0	5	9	10	23	2									
		1.50%	1.74%	2.01%	3.41%	1.28%	1.45%	2.68%	2.19%	2.43%	0.77%	1.12%	3.15%	1.19%	1.21%	2.66%	2.66%	2.71%	1.42%	1.31%	0.93%	0.00%	0.00%	1.09%	4.47%	1.60%	0.63%	3.24%	0.00%	0.00%	2.72%	0.00%	0.38%	1.91%	2.96%	2.32%	1.46%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	278	14	16	13	12	9	13	14	11	3	5	18	6	11	8	17	18	2	10	0	0	0	15	5	3	0	1	15	0	11	0	4	5	2	16	1									
		1.15%	2.21%	2.47%	2.11%	1.92%	1.63%	1.52%	1.53%	1.27%	0.46%	0.56%	2.36%	0.79%	1.66%	2.13%	1.56%	2.71%	1.42%	1.01%	0.00%	0.00%	0.00%	1.09%	2.79%	1.60%	0.00%	0.46%	1.39%	0.00%	1.76%	0.00%	0.31%	1.06%	0.59%	1.61%	0.73%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14147	441	312	256	338	273	364	478	407	381	533	326	386	324	196	552	295	63	568	642	167	980	1023	93	107	358	141	653	587	425	339	849	273	190	741	86									
		58.41%	69.56%	48.22%	41.63%	54.17%	49.46%	42.42%	52.30%	47.05%	58.71%	59.62%	42.78%	51.13%	48.94%	52.13%	50.60%	44.49%	44.68%	57.43%	66.60%	57.99%	71.22%	74.02%	51.96%	57.22%	75.37%	65.28%	60.69%	57.72%	68.00%	67.53%	65.11%	58.09%	56.21%	74.62%	62.77%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	60	2	2	4	1	4	3	2	5	3	1	3	1	5	1	5	6	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0									
		0.25%	0.32%	0.31%	0.65%	0.16%	0.72%	0.35%	0.22%	0.58%	0.46%	0.11%	0.39%	0.13%	0.76%	0.27%	0.46%	0.90%	0.00%	0.71%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.30%	0.10%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	0	0	1	0	1	3	2	0	3	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0									
		0.08%	0.00%	0.00%	0.00%	0.16%	0.00%	0.12%	0.33%	0.23%	0.00%	0.34%	0.13%	0.00%	0.00%	0.27%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.56%	0.00%	0.00%	0.46%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3554	58	115	110	117	97	169	125	151	88	136	152	131	94	83	242	117	31	177	192	36	164	161	33	31	52	26	157	38	58	54	171	63	42	65	18									
		14.67%	9.15%	17.77%	17.89%	18.75%	17.57%	19.70%	13.68%	17.46%	13.56%	15.21%	19.95%	17.35%	14.20%	22.07%	22.18%	17.65%	21.99%	17.90%	19.92%	12.50%	11.92%	11.65%	18.44%	16.58%	10.95%	12.04%	14.59%	3.74%	9.28%	10.76%	13.11%	13.40%	12.43%	6.55%	13.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	63	0	3	3	1	2	3	2	4	2	7	4	3	7	0	3	8	0	1	0	2	0	0	1	0	5	0	0	0	0	0	0	0	0	2	0									
		0.26%	0.00%	0.46%	0.49%	0.16%	0.36%	0.35%	0.22%	0.46%	0.31%	0.78%	0.52%	0.40%	1.06%	0.00%	0.27%	1.21%	0.00%	0.10%	0.00%	0.69%	0.00%	0.00%	0.56%	0.00%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%									
