Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    район Восточный											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №932	УИК №933	УИК №934	УИК №935					
1	"Число избирателей, внесенных в списки избирателей"	7816	2127	1866	2704	1119					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8000	2200	1860	2860	1080					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	4536	1157	1109	1601	669					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	207	65	46	43	53					
6	Число погашенных избирательных бюллетеней	3257	978	705	1216	358					
7	Число избирательных бюллетеней в переносных ящиках для голосования	207	65	46	43	53					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4536	1157	1109	1601	669					
9	Число недействительных избирательных бюллетеней	78	27	16	20	15					
10	Число действительных избирательных бюллетеней	4665	1195	1139	1624	707					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	50	40	72	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	161	47	31	61	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	270	58	75	51	86					
14	Число погашенных неиспользованных открепительных удостоверений	31	3	9	11	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	186	51	46	73	16					
		3.92%	4.17%	3.98%	4.44%	2.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	69	21	16	23	9					
		1.45%	1.72%	1.39%	1.40%	1.25%					
20	3.Политическая партия «Демократическая партия России»	10	1	1	4	4					
		0.21%	0.08%	0.09%	0.24%	0.55%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	652	160	146	258	88					
		13.75%	13.09%	12.64%	15.69%	12.19%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	73	24	12	31	6					
		1.54%	1.96%	1.04%	1.89%	0.83%					
23	6.Политическая партия «Партия социальной справедливости»	27	10	7	7	3					
		0.57%	0.82%	0.61%	0.43%	0.42%					
24	7.Политическая партия «Либерально-демократическая партия России»	407	106	116	134	51					
		8.58%	8.67%	10.04%	8.15%	7.06%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	577	169	175	169	64					
		12.17%	13.83%	15.15%	10.28%	8.86%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	74	21	18	21	14					
		1.56%	1.72%	1.56%	1.28%	1.94%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2460	599	568	861	432					
		51.87%	49.02%	49.18%	52.37%	59.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	130	33	34	43	20					
		2.74%	2.70%	2.94%	2.62%	2.77%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
