Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    район Восточный											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №924	УИК №925	УИК №926	УИК №927					
1	"Число избирателей, внесенных в список избирателей"	7867	2080	2055	2649	1083					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	2150	2065	2685	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4254	1150	1100	1411	593					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	214	73	49	45	47					
6	Число погашенных избирательных бюллетеней	3532	927	916	1229	460					
7	Число избирательных бюллетеней в переносных ящиках для голосования	214	73	49	45	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4187	1088	1100	1406	593					
9	Число недействительных избирательных бюллетеней	104	21	25	41	17					
10	Число действительных избирательных бюллетеней	4297	1140	1124	1410	623					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	480	130	130	150	70					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	152	49	42	52	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	232	61	69	53	49					
14	Число погашенных неиспользованных открепительных удостоверений	328	81	88	98	61					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	2	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	908	233	269	278	128					
		20.63%	20.07%	23.41%	19.16%	20.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	678	178	163	229	108					
		15.41%	15.33%	14.19%	15.78%	16.88%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	55	18	19	12	6					
		1.25%	1.55%	1.65%	0.83%	0.94%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	935	234	239	321	141					
		21.25%	20.16%	20.80%	22.12%	22.03%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	335	87	85	124	39					
		7.61%	7.49%	7.40%	8.55%	6.09%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1350	380	340	435	195					
		30.67%	32.73%	29.59%	29.98%	30.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	36	10	9	11	6					
		0.82%	0.86%	0.78%	0.76%	0.94%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
