Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
"Наименование Избирательной комиссии:    Красноярск, Свердловская"																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390					
1	"Число избирателей, внесенных в списки"	101314	1939	1924	2651	1933	2124	2061	1965	2316	1904	1913	1988	1918	2254	2532	2840	2583	3015	2982	2610	2811	2855	1641	2857	1139	1252	1335	2907	2588	1393	2564	2694	2861	2550	2636	2375	2786	2187	2319	2153	1627	1739	2743	2124	1000	1572	1154					
2	"Число бюллетеней, полученных участковыми комиссиями"	100010	1940	1900	2650	1900	2100	2030	1970	2300	1900	1900	1980	1900	2250	2500	2790	2570	2950	2900	2600	2730	2800	1600	2800	1090	1200	1200	2850	2640	1380	2500	2650	2850	2500	2600	2380	2800	2170	2100	2130	1800	1740	2700	2130	990	1530	1120					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	40687	948	952	1175	709	700	889	841	1067	880	923	863	842	1091	1131	1143	1087	1163	1163	1242	1120	1345	448	980	349	384	490	882	1040	586	1032	1020	1063	984	1135	954	1086	812	1031	888	685	758	905	812	231	471	387					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1144	26	18	22	12	11	37	30	18	28	19	26	23	26	20	12	20	30	9	13	29	10	14	23	15	14	4	24	43	1	17	15	17	31	21	19	25	33	170	28	18	26	18	21	38	41	29					
6	Число погашенных бюллетеней	58169	966	930	1453	1179	1389	1104	1099	1215	992	958	1091	1035	1133	1342	1635	1463	1757	1728	1345	1581	1445	1138	1796	726	802	705	1944	1557	793	1451	1615	1770	1485	1444	1407	1688	1325	899	1214	1097	956	1777	1297	721	1018	704					
7	Число бюллетеней в переносных ящиках для голосования	1144	26	18	22	12	11	37	30	18	28	19	26	23	26	20	12	20	30	9	13	29	10	14	23	15	14	4	24	43	1	17	15	17	31	21	19	25	33	170	28	18	26	18	21	38	41	29					
8	Число бюллетеней в стационарных ящиках для голосования	40627	925	952	1175	709	700	889	841	1067	880	923	863	837	1088	1124	1141	1084	1158	1163	1242	1120	1345	448	979	349	384	490	882	1040	586	1030	1020	1062	983	1131	954	1086	809	1031	888	685	758	905	812	231	471	387					
9	Число недействительных бюллетеней	547	14	7	13	10	14	3	7	8	7	5	3	5	9	36	21	14	11	3	11	17	19	14	9	10	13	10	21	7	13	13	12	10	8	15	23	17	9	17	6	17	18	11	15	3	15	4					
10	Число действительных бюллетеней	41224	937	963	1184	711	697	923	864	1077	901	937	886	855	1105	1108	1132	1090	1177	1169	1244	1132	1336	448	993	354	385	484	885	1076	574	1034	1023	1069	1006	1137	950	1094	833	1184	910	686	766	912	818	266	497	412					
