Выборы Президента Российской Федерации																																																																																																		
																																																																																																		
"Наименование Избирательной комиссии:    Пермь, Свердловская"																																																																																																		
																																																																																																		
Итоги голосования 																																																																																																		
																																																																																																		
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490	УИК №3491					
1	"Число избирателей, внесенных в список"	173033	2304	2748	2318	2716	2853	2560	2419	1678	2018	2481	1969	3024	1416	1514	2221	1397	1133	1207	1594	1600	1201	1945	1865	1568	1616	1326	1499	2361	1992	1878	1779	1602	2254	2457	2309	2542	2217	2298	2184	2244	2212	1955	2655	1749	2399	2373	1999	2128	2173	2531	2018	1746	2255	1827	1873	1717	2432	1508	2253	1939	1857	1537	2073	2700	1422	2365	2694	2549	2833	2738	2203	1386	2675	2663	2296	2167	1478	1696	1235	573	486	2568	2340	2651	102	321	250	60	248	178	640					
2	Число полученных избирательных бюллетеней	160320	2100	2500	2100	2500	2600	2300	2200	1500	2000	2300	1800	2600	1300	1400	2000	1300	1100	1100	1500	1500	1100	1800	1700	1400	1500	1200	1400	2100	1800	1700	1600	1500	2200	2300	2100	2300	2000	2100	2000	2100	2000	1800	2500	1600	2200	2100	1900	2000	2000	2300	1900	1600	2000	1700	1700	1600	2200	1400	2100	1800	1700	1400	1900	2500	1200	2100	2500	2400	2700	2600	2000	1300	2400	2500	2100	2000	1500	1600	1100	900	500	2400	2200	2500	200	400	350	70	420	180	700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	95317	1222	1433	1348	1511	1568	1550	1344	943	1226	1400	1189	1831	875	925	1339	943	685	627	829	782	685	952	1086	992	893	846	920	1238	1079	1109	984	883	1407	1417	1313	1260	1273	1316	1118	1225	1230	1092	1440	946	1240	1158	1125	1187	1206	1331	999	853	1233	1076	897	953	1328	786	1235	1019	993	740	1104	1313	754	1146	1445	1195	1376	1471	1322	703	1518	1504	1309	1317	770	775	538	559	280	1135	1325	1584	102	318	246	52	248	173	102					
5	"Число избирательных бюллетеней, выданных вне помещения"	3808	39	36	45	38	24	14	35	12	35	12	55	31	40	38	38	36	46	23	37	49	38	14	31	21	26	38	34	59	45	42	56	26	43	13	17	10	27	36	34	33	41	16	47	58	35	108	13	12	7	15	52	72	23	24	5	16	24	34	41	74	19	96	18	21	74	54	40	38	69	8	17	11	19	32	34	25	85	230	159	14	18	52	41	45	0	0	0	8	0	0	538					
6	Число погашенных избирательных бюллетеней	61195	839	1031	707	951	1008	736	821	545	739	888	556	738	385	437	623	321	369	450	634	669	377	834	583	387	581	316	446	803	676	549	560	591	750	870	770	1030	700	748	848	842	729	692	1013	596	925	834	762	801	787	954	849	675	744	600	798	631	848	580	824	707	688	564	778	1166	372	900	1015	1167	1255	1121	661	586	863	964	757	658	645	595	403	327	202	1213	834	871	98	82	104	10	172	7	60					
7	Число избирательных бюллетеней в переносных ящиках	3807	39	36	45	38	24	14	35	12	35	12	55	31	40	38	38	36	46	23	37	49	38	14	31	20	26	38	34	59	45	42	56	26	43	13	17	10	27	36	34	33	41	16	47	58	35	108	13	12	7	15	52	72	23	24	5	16	24	34	41	74	19	96	18	21	74	54	40	38	69	8	17	11	19	32	34	25	85	230	159	14	18	52	41	45	0	0	0	8	0	0	538					
8	Число бюллетеней в стационарных ящиках для голосования	95259	1222	1432	1348	1509	1568	1536	1344	943	1226	1400	1189	1831	875	925	1339	943	685	627	829	782	683	951	1085	992	893	846	920	1238	1077	1109	984	883	1404	1417	1313	1260	1273	1314	1118	1225	1230	1092	1430	946	1239	1158	1125	1187	1206	1331	999	853	1233	1076	897	951	1328	786	1234	1019	993	740	1103	1311	753	1146	1445	1195	1373	1465	1322	703	1518	1504	1309	1317	770	775	538	559	280	1134	1325	1582	102	318	246	52	248	173	102					
9	Число недействительных избирательных бюллетеней	730	9	6	9	2	6	13	4	9	4	4	5	13	1	4	3	11	4	1	4	6	4	4	9	2	7	3	7	12	3	8	9	3	10	6	7	15	13	16	7	13	8	12	7	4	10	9	11	10	8	14	8	4	13	12	2	5	12	5	10	16	18	8	12	12	3	13	6	17	21	9	4	4	14	8	10	20	8	7	7	3	4	14	11	18	0	2	0	0	6	3	12					
10	Число действительных избирательных бюллетеней	98336	1252	1462	1384	1545	1586	1537	1375	946	1257	1408	1239	1849	914	959	1374	968	727	649	862	825	717	961	1107	1010	912	881	947	1285	1119	1143	1031	906	1437	1424	1323	1255	1287	1334	1145	1245	1263	1096	1470	1000	1264	1257	1127	1189	1205	1332	1043	921	1243	1088	900	962	1340	815	1265	1077	994	828	1109	1320	824	1187	1479	1216	1421	1464	1335	710	1523	1528	1333	1322	847	998	690	570	294	1172	1355	1609	102	316	246	60	242	170	628					
