Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																								
Дата голосования: 02.12.2007																																								
																																								
Наименование Избирательной комиссии:    Тербунская																																								
																																								
Сводная таблица результатов выборов																																								
																																								
		Сумма	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811					
1	"Число избирателей, внесенных в списки избирателей"	17837	615	346	506	509	167	540	509	199	366	521	215	132	567	239	106	541	102	185	472	329	105	480	1050	359	2085	1652	1887	1035	460	292	648	222	396					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17000	600	300	500	500	150	500	500	170	350	500	200	130	550	200	100	500	100	150	450	300	100	450	1050	350	2050	1600	1800	1000	450	250	600	200	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9132	321	168	278	276	93	232	305	113	198	240	93	99	322	64	36	290	53	104	240	261	71	249	439	189	1082	738	1002	440	312	164	374	86	200					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3805	145	118	67	100	53	176	138	52	105	172	84	17	126	117	56	137	24	42	106	29	22	145	300	101	168	249	181	307	64	64	122	96	122					
6	Число погашенных избирательных бюллетеней	4063	134	14	155	124	4	92	57	5	47	88	23	14	102	19	8	73	23	4	104	10	7	56	311	60	800	613	617	253	74	22	104	18	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3805	145	118	67	100	53	176	138	52	105	172	84	17	126	117	56	137	24	42	106	29	22	145	300	101	168	249	181	307	64	64	122	96	122					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9124	321	168	278	276	93	232	305	113	198	240	93	99	322	64	36	290	53	104	240	261	71	249	439	189	1082	738	994	440	312	164	374	86	200					
9	Число недействительных избирательных бюллетеней	100	2	4	4	3	0	2	4	0	0	4	1	0	5	2	0	3	2	1	4	5	0	5	1	0	8	9	11	7	4	2	4	0	3					
10	Число действительных избирательных бюллетеней	12829	464	282	341	373	146	406	439	165	303	408	176	116	443	179	92	424	75	145	342	285	93	389	738	290	1242	978	1164	740	372	226	492	182	319					
