Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Камызякская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220					
1	"Число избирателей, внесенных в списки"	37565	1004	1806	363	702	138	1027	355	528	1568	1253	1280	879	1042	793	782	1280	288	1845	607	979	296	763	682	176	111	272	1287	455	506	228	683	226	328	795	903	363	140	92	2190	338	210	778	1016	409	186	1060	110	164	1308	422	249	871	146	927	356					
2	"Число бюллетеней, полученных участковыми комиссиями"	37510	1014	1811	359	706	137	1015	355	527	1553	1236	1276	873	986	770	791	1305	287	1810	607	962	291	757	674	179	110	273	1287	451	510	227	684	230	331	802	896	366	138	92	2183	337	209	785	1012	412	187	1123	111	165	1306	428	248	879	146	940	361					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17996	411	848	174	297	84	447	159	304	920	623	652	418	456	439	382	658	138	850	289	471	147	282	247	84	56	162	629	186	240	92	359	193	163	347	394	209	89	61	767	166	112	294	433	188	80	615	80	108	662	216	114	424	84	476	217					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1418	82	99	139	41	3	37	2	10	10	17	13	20	61	18	22	13	0	21	0	45	13	11	10	8	1	16	20	23	10	8	28	5	27	52	59	14	0	7	114	24	15	18	73	32	3	35	0	0	36	20	6	29	17	7	24					
6	Число погашенных бюллетеней	18096	521	864	46	368	50	531	194	213	623	596	611	435	469	313	387	634	149	939	318	446	131	464	417	87	53	95	638	242	260	127	297	32	141	403	443	143	49	24	1302	147	82	473	506	192	104	473	31	57	608	192	128	426	45	457	120					
7	Число бюллетеней в переносных ящиках для голосования	1418	82	99	139	41	3	37	2	10	10	17	13	20	61	18	22	13	0	21	0	45	13	11	10	8	1	16	20	23	10	8	28	5	27	52	59	14	0	7	114	24	15	18	73	32	3	35	0	0	36	20	6	29	17	7	24					
8	Число бюллетеней в стационарных ящиках для голосования	17991	411	848	174	297	84	447	159	304	920	623	652	418	456	439	381	658	138	850	289	471	147	282	247	84	55	162	629	186	240	92	359	193	163	347	394	209	89	61	766	166	112	294	433	188	80	615	80	108	662	216	114	424	84	474	217					
9	Число недействительных бюллетеней	450	9	9	2	9	16	11	6	3	11	10	9	9	6	8	4	7	5	13	9	14	0	11	19	0	0	7	20	11	4	4	13	2	9	8	7	5	2	2	35	7	0	9	22	5	3	12	3	0	22	18	5	4	1	10	0					
10	Число действительных бюллетеней	18959	484	938	311	329	71	473	155	311	919	630	656	429	511	449	399	664	133	858	280	502	160	282	238	92	56	171	629	198	246	96	374	196	181	391	446	218	87	66	845	183	127	303	484	215	80	638	77	108	676	218	115	449	100	471	241					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	243	6	9	2	4	2	6	2	3	9	6	6	5	6	5	9	7	2	10	4	6	2	4	4	2	2	2	7	3	3	3	4	2	2	5	9	2	1	1	11	2	2	5	6	3	2	6	2	2	7	3	2	11	2	6	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	92	0	6	0	2	0	1	1	1	6	3	4	3	2	0	7	1	1	2	0	3	0	0	1	0	0	1	4	1	0	0	2	0	0	2	7	0	0	0	5	0	0	0	5	1	0	0	0	0	7	3	0	7	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	1	3	0	1	2	4	1	2	4	2	2	3	1	3	1	3	0	1	2	2	2	1	1	0	1	1	3	3	0	2	2	15	0	4	2	1	2	2	1	3	2	2	1	1	0	4	0	0	4	0	2	3	1	1	2					
14	Число погашенных открепительных удостоверений	151	6	3	2	2	2	5	1	2	3	3	2	2	4	5	2	6	1	8	4	3	2	4	3	2	2	1	3	2	3	3	2	2	2	3	2	2	1	1	6	2	2	5	1	2	2	6	2	2	0	0	2	4	2	3	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
18	"1. ""ЕДИНЕНИЕ"""	453	12	19	1	13	3	14	3	6	15	15	6	7	5	7	4	11	3	9	13	13	7	14	12	5	0	6	22	2	16	3	5	3	3	15	9	5	7	6	18	7	1	9	8	10	2	6	0	6	17	7	4	12	4	18	5					
		2.33%	2.43%	2.00%	0.31%	3.84%	3.44%	2.89%	1.86%	1.91%	1.61%	2.34%	0.90%	1.59%	0.96%	1.53%	0.99%	1.63%	2.17%	1.03%	4.49%	2.51%	4.37%	4.77%	4.66%	5.43%	0.0%	3.37%	3.38%	0.95%	6.4%	3.0%	1.29%	1.51%	1.57%	3.75%	1.98%	2.24%	7.86%	8.82%	2.04%	3.68%	0.78%	2.88%	1.58%	4.54%	2.40%	0.92%	0.0%	5.55%	2.43%	2.96%	3.33%	2.64%	3.96%	3.74%	2.07%					
