Выборы Президента Российской Федерации																																																																														
Дата голосования: 04.03.2012																																																																														
																																																																														
Наименование Избирательной комиссии:    Новосибирская 																																																																														
																																																																														
Сводная таблица итогов голосования																																																																														
																																																																														
	Число участковых избирательных комиссий	67																																																																												
	Число участковых избирательных комиссий, приступивших к передаче сведений	67																																																																												
																																																																														
		Сумма	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862									
1	Число избирателей, включенных в список избирателей	90722	1858	1083	1859	2573	2616	2786	2195	2574	2384	2650	364	1800	2271	559	1670	1127	266	1423	1361	180	2313	1014	2047	1206	651	1359	366	2396	570	1606	974	298	428	200	70	2895	1914	605	660	315	2456	2457	369	1792	428	2773	2648	2696	1636	2151	1565	938	759	1466	224	1534	2060	1200	204	267	1688	445	1106	435	1342	414	183									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	88974	1850	1050	1850	2500	2600	2500	2150	2500	2300	2600	345	1800	2200	550	1600	1100	276	1400	1350	176	2300	960	2000	1200	640	1400	360	2300	560	1550	950	290	410	198	65	2900	1900	600	650	320	2400	2400	420	1750	430	2700	2600	2600	1600	2100	1500	900	740	1350	228	1500	2000	1200	216	270	1700	450	1100	420	1550	420	180									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	52909	1151	742	1050	1740	1842	1797	1416	1725	1581	1307	175	882	1369	313	788	638	127	692	744	103	1204	669	1080	706	419	806	187	1284	304	967	619	183	268	149	46	1571	1070	327	325	162	1378	1293	265	1160	227	1589	1620	1535	858	1354	934	477	408	1152	124	780	1115	667	146	176	800	210	597	259	926	223	108									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2820	40	12	45	41	38	150	25	26	15	69	43	75	40	25	171	73	53	68	53	7	78	10	54	44	12	31	34	122	60	20	30	14	19	10	10	52	60	32	12	13	106	89	25	46	30	41	25	24	61	23	26	48	74	7	18	47	45	44	5	13	72	36	31	6	56	29	7									
6	Число погашенных избирательных бюллетеней	33245	659	296	755	719	720	553	709	749	704	1224	127	843	791	212	641	389	96	640	553	66	1018	281	866	450	209	563	139	894	196	563	301	93	123	39	9	1277	770	241	313	145	916	1018	130	544	173	1070	955	1041	681	723	540	375	258	191	86	673	840	489	65	81	828	204	472	155	568	168	65									
7	Число избирательных бюллетеней в переносных ящиках для голосования	2820	40	12	45	41	38	150	25	26	15	69	43	75	40	25	171	73	53	68	53	7	78	10	54	44	12	31	34	122	60	20	30	14	19	10	10	52	60	32	12	13	106	89	25	46	30	41	25	24	61	23	26	48	74	7	18	47	45	44	5	13	72	36	31	6	56	29	7									
