Выборы Президента Российской Федерации																																																																								
																																																																								
Наименование Избирательной комиссии:    Новосибирская																																																																								
																																																																								
Итоги голосования 																																																																								
																																																																								
		Сумма	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798					
1	"Число избирателей, внесенных в список"	90405	2542	2607	3165	3341	2231	1997	2031	2385	1378	1576	2833	2709	317	1407	1057	253	1557	434	119	2187	2296	387	1595	367	1277	906	191	2189	2387	2862	1411	1599	886	277	378	234	84	3356	798	1404	634	3076	1912	1810	923	594	1518	374	2110	394	2735	1692	568	556	219	293	2937	1006	142	216	2581	418	719	1835	133					
2	Число полученных избирательных бюллетеней	88600	2530	2600	3180	3200	2200	2040	2000	2400	1300	1500	2800	2630	320	1400	1050	280	1550	420	180	2180	2330	380	1550	350	1280	950	180	2150	2350	2700	1400	1500	860	260	350	230	80	3390	790	1350	600	3000	1870	1700	920	590	1350	330	2100	370	2600	1740	560	580	220	290	2900	1000	140	210	2500	400	715	1535	190					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48223	1523	1543	1793	1976	1417	1167	1182	1412	730	614	1407	1032	248	712	561	114	826	237	111	1068	1095	234	1035	182	634	442	121	1202	1256	1425	744	859	471	148	228	188	42	1709	419	842	379	935	950	836	368	296	866	270	988	194	1648	825	263	244	161	163	1865	573	85	152	1221	243	427	1201	121					
5	"Число избирательных бюллетеней, выданных вне помещения"	2556	39	19	20	17	26	17	20	6	14	83	57	99	0	9	30	19	39	4	8	94	95	7	17	15	33	34	0	23	13	29	6	15	22	19	10	0	11	23	9	49	7	628	36	70	64	25	46	10	71	49	21	54	30	15	0	13	54	10	31	15	145	23	44	33	12					
6	Число погашенных избирательных бюллетеней	37821	968	1038	1367	1207	757	856	798	982	556	803	1336	1499	72	679	459	147	685	179	61	1018	1140	139	498	153	613	474	59	925	1081	1246	650	626	367	93	112	42	27	1658	362	459	214	1437	884	794	488	269	438	50	1041	127	931	861	267	321	59	114	981	417	24	43	1134	134	244	301	57					
7	Число избирательных бюллетеней в переносных ящиках	2556	39	19	20	17	26	17	20	6	14	83	57	99	0	9	30	19	39	4	8	94	95	7	17	15	33	34	0	23	13	29	6	15	22	19	10	0	11	23	9	49	7	628	36	70	64	25	46	10	71	49	21	54	30	15	0	13	54	10	31	15	145	23	44	33	12					
8	Число бюллетеней в стационарных ящиках для голосования	48193	1519	1542	1789	1976	1416	1166	1181	1409	730	614	1407	1032	248	712	560	114	826	237	111	1068	1093	234	1032	182	634	442	121	1202	1253	1422	743	859	471	148	228	188	42	1709	419	842	379	935	950	836	368	295	866	270	988	194	1648	825	263	244	161	163	1865	573	85	152	1221	243	427	1200	121					
9	Число недействительных избирательных бюллетеней	720	3	6	16	14	5	7	8	7	2	6	26	24	0	7	15	2	11	0	3	15	24	4	13	0	6	15	1	18	20	24	28	17	18	8	3	5	1	23	5	14	3	30	23	47	10	5	14	3	16	5	23	18	7	4	5	2	34	8	2	4	9	6	8	10	0					
10	Число действительных избирательных бюллетеней	50029	1555	1555	1793	1979	1437	1176	1193	1408	742	691	1438	1107	248	714	575	131	854	241	116	1147	1164	237	1036	197	661	461	120	1207	1246	1427	721	857	475	159	235	183	52	1709	423	877	383	1533	963	859	422	315	898	277	1043	238	1646	861	286	255	156	174	1885	575	114	163	1357	260	463	1223	133					
11	Число полученных открепительных  удостоверений	595	20	20	20	20	15	20	20	15	15	10	13	5	5	10	5	5	10	5	5	10	10	10	5	5	9	6	5	10	10	10	5	5	5	5	5	5	5	15	5	5	5	20	10	10	5	5	10	5	15	5	10	10	5	5	5	5	10	5	5	5	10	5	5	27	5					
12	Число выданных открепительных удостоверений	250	5	14	13	7	13	7	8	8	3	4	10	5	0	6	1	0	5	0	0	3	0	0	5	0	5	6	0	0	2	0	1	1	1	0	0	0	0	12	0	2	1	19	3	10	2	2	6	1	12	0	10	1	2	1	1	0	1	1	2	0	7	0	0	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	310	4	3	5	13	7	6	8	12	2	5	5	13	0	5	3	0	12	3	1	2	7	0	0	0	2	0	0	1	5	5	2	4	0	4	9	1	1	11	1	5	2	7	2	0	1	7	9	8	7	4	10	10	1	2	0	0	3	3	1	0	3	2	1	60	0					
14	Число неиспользованных открепительных удостоверений	345	15	6	7	13	2	13	12	7	12	6	3	0	5	4	4	5	5	5	5	7	10	10	0	5	4	0	5	10	8	10	4	4	4	5	5	5	5	3	5	3	4	1	7	0	3	3	4	4	3	5	0	9	3	4	4	5	9	4	3	5	3	5	5	6	5					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																								
18	. Глазьев Сергей Юрьевич	2440	160	217	129	116	178	82	114	96	31	33	78	33	5	36	30	4	30	6	0	62	48	4	45	5	30	12	0	49	38	43	26	29	19	1	2	13	5	63	18	26	13	41	40	34	17	12	15	9	68	5	50	19	15	5	17	1	73	6	1	19	29	6	9	14	6					
		4.81%	10.27%	13.90%	7.13%	5.82%	12.34%	6.93%	9.49%	6.78%	4.17%	4.73%	5.33%	2.92%	2.02%	4.99%	5.08%	3.01%	3.47%	2.49%	0.00%	5.34%	4.04%	1.66%	4.29%	2.54%	4.50%	2.52%	0.00%	4.00%	3.00%	2.96%	3.47%	3.32%	3.85%	0.60%	0.84%	6.91%	9.43%	3.64%	4.21%	2.92%	3.37%	2.62%	4.06%	3.75%	3.94%	3.75%	1.64%	3.21%	6.42%	2.06%	3.00%	2.16%	5.12%	1.93%	10.56%	0.57%	3.80%	1.03%	0.86%	11.38%	2.12%	2.26%	1.91%	1.14%	4.51%					
19	. Малышкин Олег Александрович	943	10	12	19	12	2	15	7	21	12	11	29	28	4	14	9	6	18	12	6	22	24	6	10	4	23	12	1	34	49	33	12	14	2	9	11	4	1	42	14	13	8	30	31	7	4	4	25	20	20	4	28	16	8	6	3	1	70	8	0	5	20	6	7	21	4					
		1.86%	0.64%	0.77%	1.05%	0.60%	0.14%	1.27%	0.58%	1.48%	1.61%	1.58%	1.98%	2.48%	1.61%	1.94%	1.53%	4.51%	2.08%	4.98%	5.04%	1.89%	2.02%	2.49%	0.95%	2.03%	3.45%	2.52%	0.83%	2.78%	3.87%	2.27%	1.60%	1.60%	0.41%	5.39%	4.62%	2.13%	1.89%	2.42%	3.27%	1.46%	2.07%	1.92%	3.14%	0.77%	0.93%	1.25%	2.74%	7.14%	1.89%	1.65%	1.68%	1.82%	2.73%	2.32%	1.86%	0.57%	3.65%	1.37%	0.00%	2.99%	1.46%	2.26%	1.49%	1.70%	3.01%					
20	. Миронов Сергей Михайлович	304	4	13	5	11	4	7	4	8	4	5	8	7	4	3	4	3	4	0	1	7	5	0	2	1	9	3	1	2	7	0	3	7	4	2	0	5	1	6	2	3	4	5	7	4	4	2	8	4	8	2	11	4	0	0	0	0	47	4	1	0	5	2	5	8	0					
