Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Прилузская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №641	УИК №642	УИК №644	УИК №645	УИК №646	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17572	176	78	392	104	85	679	126	275	292	357	302	431	986	1446	1358	1655	547	308	318	265	445	799	281	119	150	116	122	1506	919	438	404	261	273	208	92	622	248	189	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16140	160	70	375	100	80	645	120	255	275	335	285	385	885	1300	1260	1520	505	275	285	255	410	755	260	105	140	110	105	1375	840	390	370	240	250	195	85	560	230	170	180									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	127	0	0	3	0	0	17	0	11	0	0	0	0	0	0	0	0	25	0	0	0	34	23	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7612	101	45	165	66	46	320	61	115	157	195	169	152	332	613	582	723	195	118	153	112	172	334	115	47	66	52	47	603	400	168	183	123	116	97	50	303	103	87	126									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	824	8	6	47	14	8	67	15	15	20	24	14	21	24	40	29	22	15	14	14	14	10	18	8	4	7	4	3	59	66	60	19	17	10	11	7	53	13	13	11									
6	Число погашенных избирательных бюллетеней	7577	51	19	160	20	26	241	44	114	98	116	102	212	529	647	649	775	270	143	118	129	194	380	123	54	67	54	55	713	374	162	168	100	124	87	28	204	114	70	43									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	951	8	6	50	14	8	84	15	26	20	24	14	21	24	40	29	22	40	14	14	14	44	41	22	4	7	4	3	59	66	60	19	17	10	11	7	53	13	13	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7611	101	45	165	66	46	320	61	115	157	195	169	152	332	613	582	723	195	118	153	112	172	334	115	47	66	52	47	602	400	168	183	123	116	97	50	303	103	87	126									
9	Число недействительных избирательных бюллетеней	306	2	1	6	0	1	8	6	11	0	14	4	7	10	49	33	28	11	6	7	2	13	18	7	5	8	0	1	8	13	1	7	3	0	2	2	6	4	1	1									
10	Число действительных избирательных бюллетеней	8256	107	50	209	80	53	396	70	130	177	205	179	166	346	604	578	717	224	126	160	124	203	357	130	46	65	56	49	653	453	227	195	137	126	106	55	350	112	99	136									
