Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Чагодощенская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899					
1	"Число избирателей, внесенных в списки"	12098	1111	1430	1087	914	741	637	864	877	869	478	92	429	326	402	364	393	571	513					
2	"Число бюллетеней, полученных участковыми комиссиями"	11394	1050	1400	1050	850	650	600	800	800	800	500	94	400	300	400	350	350	500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6268	529	853	481	448	322	277	469	377	392	277	50	255	217	223	197	269	413	219					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	580	31	7	30	22	24	9	30	29	19	45	20	21	39	56	42	18	48	90					
6	Число погашенных бюллетеней	4546	490	540	539	380	304	314	301	394	389	178	24	124	44	121	111	63	39	191					
7	Число бюллетеней в переносных ящиках для голосования	580	31	7	30	22	24	9	30	29	19	45	20	21	39	56	42	18	48	90					
8	Число бюллетеней в стационарных ящиках для голосования	6268	529	853	481	448	322	277	469	377	392	277	50	255	217	223	197	269	413	219					
9	Число недействительных бюллетеней	185	8	19	8	13	8	7	10	10	10	12	0	21	7	9	9	1	32	1					
10	Число действительных бюллетеней	6663	552	841	503	457	338	279	489	396	401	310	70	255	249	270	230	286	429	308					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	30	40	25	20	20	20	20	20	20	10	5	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	3	4	3	2	0	1	4	0	2	0	0	0	2	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	1	1	1	1	2	1	1	1	0	1	1	1	1	0	2	1	0					
14	Число погашенных открепительных удостоверений	278	27	36	22	18	20	19	16	20	18	10	5	10	8	9	10	10	10	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	64	4	9	8	6	6	0	5	1	3	1	0	1	2	0	0	4	8	6					
		0.93%	0.71%	1.04%	1.56%	1.27%	1.73%	0.0%	1.00%	0.24%	0.72%	0.31%	0.0%	0.36%	0.78%	0.0%	0.0%	1.39%	1.73%	1.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	110	12	19	9	6	9	11	3	2	7	7	2	7	1	3	0	4	4	4					
		1.60%	2.14%	2.20%	1.76%	1.27%	2.60%	3.84%	0.60%	0.49%	1.70%	2.17%	2.85%	2.53%	0.39%	1.07%	0.0%	1.39%	0.86%	1.29%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	215	21	32	14	15	13	5	13	22	9	11	0	10	6	7	1	3	15	18					
		3.13%	3.74%	3.72%	2.73%	3.19%	3.75%	1.74%	2.60%	5.41%	2.18%	3.41%	0.0%	3.62%	2.34%	2.50%	0.41%	1.04%	3.25%	5.82%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	102	4	17	15	8	4	3	13	7	13	3	1	1	0	6	0	1	4	2					
		1.48%	0.71%	1.97%	2.93%	1.70%	1.15%	1.04%	2.60%	1.72%	3.16%	0.93%	1.42%	0.36%	0.0%	2.15%	0.0%	0.34%	0.86%	0.64%					
22	"5. ""За Русь Святую"""	20	1	2	0	2	2	0	2	4	2	1	0	0	0	0	1	0	3	0					
		0.29%	0.17%	0.23%	0.0%	0.42%	0.57%	0.0%	0.40%	0.98%	0.48%	0.31%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.65%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	1	1	2	1	1	1	1	0	3	0	1	1	1	1	1	0	1	1					
		0.26%	0.17%	0.11%	0.39%	0.21%	0.28%	0.34%	0.20%	0.0%	0.72%	0.0%	1.42%	0.36%	0.39%	0.35%	0.41%	0.0%	0.21%	0.32%					
24	"7. ""Новый курс - Автомобильная Россия"""	39	6	3	1	1	2	2	3	2	2	3	0	5	0	1	1	1	3	3					
		0.56%	1.07%	0.34%	0.19%	0.21%	0.57%	0.69%	0.60%	0.49%	0.48%	0.93%	0.0%	1.81%	0.0%	0.35%	0.41%	0.34%	0.65%	0.97%					
25	"8. ""Народно-республиканская партия России"""	11	1	0	0	0	0	3	1	1	0	1	0	0	0	1	0	0	3	0					
