Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Татарская городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК  1413	УИК  1414	УИК  1415	УИК  1416	УИК  1417	УИК  1418	УИК  1419	УИК  1420	УИК  1421	УИК  1422	УИК  1423	УИК  1424	УИК  1425	УИК  1426	УИК  1427					
1	"Число избирателей, внесенных в список"	20667	2282	1132	1692	2168	1639	1849	1832	2131	915	998	623	725	905	1263	513					
2	Число полученных избирательных бюллетеней	21254	2320	1165	1761	2234	1676	1853	1879	2217	951	1042	640	739	928	1319	530					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9581	861	381	793	1158	820	852	876	1116	417	461	248	384	390	509	315					
5	"Число избирательных бюллетеней, выданных вне помещения"	1431	148	128	102	113	93	145	163	127	52	47	78	46	79	86	24					
6	Число погашенных избирательных бюллетеней	10242	1311	656	866	963	763	856	840	974	482	534	314	309	459	724	191					
7	Число избирательных бюллетеней в переносных ящиках	1431	148	128	102	113	93	145	163	127	52	47	78	46	79	86	24					
8	Число бюллетеней в стационарных ящиках для голосования	9581	861	381	793	1158	820	852	876	1116	417	461	248	384	390	509	315					
9	Число недействительных избирательных бюллетеней	107	14	5	6	9	7	10	9	11	3	11	6	4	5	5	2					
10	Число действительных избирательных бюллетеней	10905	995	504	889	1262	906	987	1030	1232	466	497	320	426	464	590	337					
11	Число полученных открепительных  удостоверений	964	104	42	118	75	118	79	38	116	39	39	40	39	38	39	40					
12	Число выданных открепительных удостоверений	137	8	4	8	23	15	12	27	22	3	4	0	1	1	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	81	5	5	2	5	7	6	11	14	2	2	3	7	5	5	2					
14	Число неиспользованных открепительных удостоверений	827	96	38	110	52	103	67	11	94	36	35	40	38	37	34	36					
15	"Число открепительных удостоверений, выданных в ТИК"	27	3	1	3	5	2	1	2	4	1	1	0	1	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	320	31	20	28	48	29	24	33	21	5	15	5	16	18	18	9					
		2.91%	3.07%	3.93%	3.13%	3.78%	3.18%	2.41%	3.18%	1.69%	1.07%	2.95%	1.53%	3.72%	3.84%	3.03%	2.65%					
19	. Малышкин Олег Александрович	235	25	11	17	23	23	17	17	22	12	9	9	8	14	24	4					
		2.13%	2.48%	2.16%	1.90%	1.81%	2.52%	1.71%	1.64%	1.77%	2.56%	1.77%	2.76%	1.86%	2.99%	4.03%	1.18%					
20	. Миронов Сергей Михайлович	68	5	1	3	8	7	4	4	11	2	4	3	2	4	6	4					
		0.62%	0.50%	0.20%	0.34%	0.63%	0.77%	0.40%	0.38%	0.88%	0.43%	0.79%	0.92%	0.47%	0.85%	1.01%	1.18%					
21	. Путин Владимир Владимирович	5392	464	242	407	626	445	490	490	557	263	261	216	214	248	302	167					
		48.96%	45.99%	47.54%	45.47%	49.25%	48.74%	49.15%	47.16%	44.81%	56.08%	51.38%	66.26%	49.77%	52.88%	50.76%	49.26%					
22	. Хакамада Ирина Муцуовна	264	21	9	15	26	24	23	26	33	13	11	10	13	16	12	12					
		2.40%	2.08%	1.77%	1.68%	2.05%	2.63%	2.31%	2.50%	2.65%	2.77%	2.17%	3.07%	3.02%	3.41%	2.02%	3.54%					
23	. Харитонов Николай Михайлович	4286	423	213	396	481	344	396	431	549	163	177	66	155	151	217	124					
		38.92%	41.92%	41.85%	44.25%	37.84%	37.68%	39.72%	41.48%	44.17%	34.75%	34.84%	20.25%	36.05%	32.20%	36.47%	36.58%					
																						
24	Против всех	340	26	8	23	50	34	33	29	39	8	20	11	18	13	11	17					
		3.09%	2.58%	1.57%	2.57%	3.93%	3.72%	3.31%	2.79%	3.14%	1.71%	3.94%	3.37%	4.19%	2.77%	1.85%	5.01%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
