Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																							
Дата голосования: 18.09.2016																																																																							
																																																																							
"Наименование Избирательной комиссии:    Дзержинская, Калининская"																																																																							
																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																							
																																																																							
		Сумма	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №962									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	97178	1409	1241	536	614	944	782	739	1208	1809	1740	1356	2488	1971	1750	1125	1555	1886	2129	2562	2719	1347	1157	1723	1043	1260	1805	2176	2324	1436	1265	2553	1333	1312	1643	1718	1372	1645	1939	2265	1757	2172	1228	2045	2042	1686	2420	1443	2516	240	2374	1188	1297	1963	2032	1898	2483	496	1001	1739	1279									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	90500	1300	1200	500	600	900	700	650	1100	1700	1600	1300	2300	1900	1600	1100	1400	1700	2000	2400	2500	1300	1100	1600	1000	1200	1700	2000	2100	1400	1200	2400	1300	1200	1500	1600	1300	1500	1800	2100	1600	2000	1200	1900	1900	1600	2200	1400	2300	200	2200	1100	1200	1800	1900	1800	2300	450	900	1600	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	36727	439	328	183	219	192	232	193	428	753	673	396	970	1171	683	357	633	761	1018	1100	1224	645	418	689	279	445	765	928	915	512	456	990	613	536	705	609	540	620	695	716	688	722	391	750	714	703	929	277	1004	11	773	417	515	738	729	745	998	102	355	645	492									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1845	66	110	57	101	103	165	68	16	46	14	14	48	11	28	10	25	45	23	21	33	14	5	14	7	9	15	19	36	7	11	22	19	18	19	24	7	24	13	8	13	13	7	30	10	17	31	7	20	113	19	11	39	9	30	35	35	47	46	11	7									
6	Число погашенных избирательных бюллетеней	51928	795	762	260	280	605	303	389	656	901	913	890	1282	718	889	733	742	894	959	1279	1243	641	677	897	714	746	920	1053	1149	881	733	1388	668	646	776	967	753	856	1092	1376	899	1265	802	1120	1176	880	1240	1116	1276	76	1408	672	646	1053	1141	1020	1267	301	499	944	701									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1845	66	110	57	101	103	165	68	16	46	14	14	48	11	28	10	25	45	23	21	33	14	5	14	7	9	15	19	36	7	11	22	19	18	19	24	7	24	13	8	13	13	7	30	10	17	31	7	20	113	19	11	39	9	30	35	35	47	46	11	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	36724	439	328	183	219	192	232	193	428	753	673	396	970	1171	683	357	633	761	1018	1100	1224	645	418	689	279	445	765	925	915	512	456	990	613	536	705	609	540	620	695	716	688	722	391	750	714	703	929	277	1004	11	773	417	515	738	729	745	998	102	355	645	492									
9	Число недействительных избирательных бюллетеней	974	5	3	4	6	0	4	1	8	20	26	17	15	22	13	10	8	24	29	23	27	10	6	28	5	12	20	29	39	22	8	18	26	7	24	12	8	15	20	15	31	11	11	17	19	31	17	13	36	0	24	11	6	37	22	16	29	4	12	19	19									
10	Число действительных избирательных бюллетеней	37595	500	435	236	314	295	393	260	436	779	661	393	1003	1160	698	357	650	782	1012	1098	1230	649	417	675	281	442	760	915	912	497	459	994	606	547	700	621	539	629	688	709	670	724	387	763	705	689	943	271	988	124	768	417	548	710	737	764	1004	145	389	637	480									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1080	15	15	15	15	15	15	15	15	15	15	20	15	25	15	15	20	20	20	25	15	20	15	15	15	20	15	25	15	15	15	15	15	20	15	20	20	25	20	20	25	15	15	15	30	35	25	15	15	15	15	25	15	25	15	15	25	15	15	15	15									
