Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Думиничская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10509	2118	2209	690	508	218	190	501	434	174	130	1147	416	642	240	122	186	114	230	240									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10725	2150	2250	700	500	225	200	500	450	175	125	1200	425	675	250	125	200	100	225	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4220	768	799	233	192	147	140	287	234	67	44	367	200	231	86	69	96	60	100	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	923	52	48	54	71	20	23	15	30	17	34	158	56	145	41	13	13	17	65	51									
6	Число погашенных избирательных бюллетеней	5582	1330	1403	413	237	58	37	198	186	91	47	675	169	299	123	43	91	23	60	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	923	52	48	54	71	20	23	15	30	17	34	158	56	145	41	13	13	17	65	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4220	768	799	233	192	147	140	287	234	67	44	367	200	231	86	69	96	60	100	100									
9	Число недействительных избирательных бюллетеней	88	13	19	3	4	2	1	4	10	0	2	16	4	3	0	0	2	0	1	4									
10	Число действительных избирательных бюллетеней	5055	807	828	284	259	165	162	298	254	84	76	509	252	373	127	82	107	77	164	147									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	732	140	150	50	35	15	15	25	30	15	10	85	28	47	18	7	20	6	18	18									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	438	52	52	13	14	15	15	5	18	15	10	81	28	43	18	0	20	3	18	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	12	13	1	7	3	4	9	11	2	6	1	3	3	2	2	7	3	3	4									
14	Число погашенных неиспользованных открепительных удостоверений	294	88	98	37	21	0	0	20	12	0	0	4	0	4	0	7	0	3	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	17	15	4	3	1	1	3	9	2	0	2	2	1	2	0	0	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	46	7	4	3	1	1	2	4	5	0	1	7	2	2	3	0	1	0	3	0									
		0.89%	0.85%	0.47%	1.05%	0.38%	0.60%	1.23%	1.32%	1.89%	0.00%	1.28%	1.33%	0.78%	0.53%	2.36%	0.00%	0.92%	0.00%	1.82%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	148	33	28	5	2	3	3	11	6	4	1	18	6	10	3	2	4	5	2	2									
		2.88%	4.02%	3.31%	1.74%	0.76%	1.80%	1.84%	3.64%	2.27%	4.76%	1.28%	3.43%	2.34%	2.66%	2.36%	2.44%	3.67%	6.49%	1.21%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	115	18	22	4	6	10	0	5	6	0	1	15	3	11	4	1	1	1	4	3									
		2.24%	2.20%	2.60%	1.39%	2.28%	5.99%	0.00%	1.66%	2.27%	0.00%	1.28%	2.86%	1.17%	2.93%	3.15%	1.22%	0.92%	1.30%	2.42%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2676	382	360	161	141	113	126	161	115	43	50	232	148	210	64	52	75	43	96	104									
		52.03%	46.59%	42.50%	56.10%	53.61%	67.66%	77.30%	53.31%	43.56%	51.19%	64.10%	44.19%	57.81%	55.85%	50.39%	63.41%	68.81%	55.84%	58.18%	68.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	3	5	2	1	0	0	2	1	1	0	2	0	1	2	0	1	3	0	0									
		0.47%	0.37%	0.59%	0.70%	0.38%	0.00%	0.00%	0.66%	0.38%	1.19%	0.00%	0.38%	0.00%	0.27%	1.57%	0.00%	0.92%	3.90%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0									
		0.10%	0.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	934	171	164	47	52	18	12	54	47	13	12	92	46	86	35	14	15	11	23	22									
